Nombre;Cantidad;FV;FC;Costo;PP;PROFIT;Bodega;Ubicacion
ATENOLOL 100 MG BLIST X A10 CAJA X 100 (ARGUS O CAPLIN);6;abr-26;abr-25;;Q2.50;;;SIN UBICACIÓN
BALSAMICO DEL DEPORTISTA LATA 12 GRS;2;abr-26;oct-24;;Q7.00;;;SIN UBICACIÓN
BISOPROLOL 5 MGS BLIST X 10;1;feb-26;nov-25;;Q55.00;;;SIN UBICACIÓN
CARDIOVITAL CAJA X 30 GELCPAS;1;may-27;feb-26;;Q65.00;;;SIN UBICACIÓN
CEPILLO DENTAL DENTITO;2;;ago-22;;Q4.00;;8;SIN UBICACIÓN
CHICLE BUBBA ROJO;1;abr-26;ago-25;;Q10.00;;1;SIN UBICACIÓN
CIRUELAX 75 MG BLISTER X 10  GARDEN;28;may-26;oct-25;;Q2.00;;;SIN UBICACIÓN
CREMA LUBRIDERM 400 ML ROSADA;1;;oct-21;;Q52.00;;;SIN UBICACIÓN
CREMA NIVEA 400 ML ALOE REFRESCANTE;1;mar-26;jul-25;;Q48.00;;2;SIN UBICACIÓN
DESENFRIOL-ITO PLUS CAJA X 24 TABLETAS MASTICABLES;13;;ene-24;;Q2.00;;;SIN UBICACIÓN
DESODORANTE GILLETTE GEL H 82 GRS;1;;dic-24;;Q22.00;;;SIN UBICACIÓN
DESODORANTE LADY SPEED ;1;jun-26;dic-24;;Q20.00;;;SIN UBICACIÓN
DESODORANTE REXONA BARRA CLINICAL MUJER;2;oct-27;dic-24;;Q29.00;;1;SIN UBICACIÓN
DEZZZCANSAR 50 MG BISTER X 10 CAJA 100;20;may-26;oct-24;;Q2.50;;;SIN UBICACIÓN
DIPIRONA+DEXAMETASONA X 3 DOSIS;1;feb-26;mar-23;;Q20.00;;0;SIN UBICACIÓN
DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 10;18;abr-26;sep-25;;Q3.00;;;SIN UBICACIÓN
ESPIRINOLACTONA;1;feb-27;feb-26;;Q60.00;;3;SIN UBICACIÓN
GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS ;27;abr-26;feb-25;;Q2.00;;;SIN UBICACIÓN
HIDRAVIDA NARANJA-MANDARINA;6;abr-26;jul-25;;Q15.00;;5;SIN UBICACIÓN
INDAPAMIDA SR 1.5 MGS CAJA X 100 BLIST X 10 QADIRA;4;may-26;may-25;;Q15.00;;1;SIN UBICACIÓN
KERAFILM CREMA 78 GRS;1;jul-27;dic-24;;Q50.00;;;SIN UBICACIÓN
LISTERINE 250 ML;1;mar-26;oct-24;;Q25.00;;;SIN UBICACIÓN
LUBRICANTE VIVE 120 ML S. FRESA;1;;;;Q30.00;;;SIN UBICACIÓN
MEMBRANA BIO FILM UNIDAD 10 X 10;1;may-26;oct-24;;Q125.00;;5;SIN UBICACIÓN
NEXT NOCHE CAJA X 40 BLISTER X 10;13;;;;Q2.00;;;SIN UBICACIÓN
PACHA 2,5 ONZAS BABY FEEDING BOTTLE y FARLIN;1;;nov-18;;Q8.00;;0;SIN UBICACIÓN
