No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACETAMINOFEN BAYER 500 MG CJ X 100 BLIST X 10,8.0,4.0,8.0,0.5,32.0,64.0
2,CURITAS HANSAPLAST TRANSPARENTE,96.0,0.176,0.5,0.648,16.896,48.0
3,JABON AZUFRE 100 GRS,1.0,10.61,17.0,0.3758823529411765,10.61,17.0
4,JABÒN HIPOALERGÈNICO  100G (NEUTRO),1.0,6.79,12.0,0.43416666666666665,6.79,12.0
5,LANCETAS NIPRO CAJA X 100,1.0,35.0,80.0,0.5625,35.0,80.0
6,LANCETAS NIPRO CAJA X 100 X UNIDAD,93.0,0.35,0.8,0.5625,32.55,74.4
7,MEDIDOR DE GLUCOSA PREMIER KIT,1.0,56.25,115.0,0.5108695652173914,56.25,115.0
8,MYDOCALM-A CAJA X 30 BLIST X 10 CAPS,32.0,3.93,6.5,0.39538461538461533,125.76,208.0
9,PARCHES PARA ACNE CAJA X 24 INVISIBLE,18.0,3.64,7.0,0.48,65.52,126.0
10,TINTE GALLO AMARILLO 15 grs,1.0,8.9,17.0,0.4764705882352941,8.9,17.0
11,TINTE GALLO ANARANJADO 15 grs,2.0,8.9,17.0,0.4764705882352941,17.8,34.0
12,TINTE GALLO AZUL MARINO 15 grs,1.0,8.9,17.0,0.4764705882352941,8.9,17.0
13,TINTE GALLO AZUL MEZCLILLA 15 grs,2.0,8.9,17.0,0.4764705882352941,17.8,34.0
14,TINTE GALLO CAFÉ 15 grs,2.0,7.78,17.0,0.5423529411764705,15.56,34.0
15,TINTE GALLO CASTAÑO  15 grs,1.0,8.9,17.0,0.4764705882352941,8.9,17.0
16,TINTE GALLO CELESTE  15 grs,1.0,8.9,17.0,0.4764705882352941,8.9,17.0
17,TINTE GALLO GRIS 15 grs,1.0,9.25,17.0,0.45588235294117646,9.25,17.0
18,TINTE GALLO NEGRO 15 grs,2.0,9.25,17.0,0.45588235294117646,18.5,34.0
19,TINTE GALLO ROJO 15 grs,2.0,8.93,17.0,0.4747058823529412,17.86,34.0
20,TINTE GALLO ROSADO 15 grs,1.0,9.1,17.0,0.4647058823529412,9.1,17.0
21,TINTE GALLO VERDE 15 grs,1.0,9.1,17.0,0.4647058823529412,9.1,17.0
22,TIRAS  PREMIER NIPRO CAJA X 50,1.0,145.0,235.0,0.3829787234042553,145.0,235.0
23,TIRAS  PREMIER NIPRO CAJA X 50 X UNIDAD,66.0,2.55,5.0,0.49000000000000005,168.29999999999998,330.0
24,TROJAN DOBLE ACCION X 3 CONDONES,1.0,15.57,26.0,0.40115384615384614,15.57,26.0
25,TROJAN PIEL DESNUDA X 3 CONDONES,2.0,15.57,26.0,0.40115384615384614,31.14,52.0
26,TROJAN SEGURIDAD X 3 CONDONES,1.0,15.57,26.0,0.40115384615384614,15.57,26.0
27,TROJAN TEXTURIZADO X 3 CONDONES,1.0,15.57,26.0,0.40115384615384614,15.57,26.0
28,X-ACTO PRUEBA DE EMBARAZO,5.0,19.18,32.0,0.400625,95.9,160.0
29,ZEPOL INHALADOR NASAL ,6.0,13.94,23.0,0.3939130434782609,83.64,138.0
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,1102.636,2026.4
34,,,,,,,
35,,,,,,,923.7640000000001
36,,,,,,,0.45586458744571656
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
