No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACETAMINOFEN MK GOTAS FCO 30 ML,4.0,18.0,31.0,0.41935483870967744,72.0,124.0
2,ACETAMINOFEN MK JBE NIÑOS 120 MG X 60 ML ,2.0,18.3,32.0,0.428125,36.6,64.0
3,ALGODÓN ROLLO LIBRA,1.0,25.3,45.0,0.43777777777777777,25.3,45.0
4,ALKA  AD CAJA X 72,66.0,0.56,2.0,0.72,36.96,132.0
5,ANADENT CAJA  X 100 BLIST X 4,99.0,1.3,2.25,0.4222222222222222,128.70000000000002,222.75
6,ARTRI AJO KING  X 100 TAB,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
7,ARTRI KING CAJA X 100 TABS,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
8,ARTRIBION FORTE FCO X 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
9,ARTRIBION VITAMINADO BLIST X 4 CAJA X 20 SOBRES,8.0,3.25,5.0,0.35,26.0,40.0
10,BARMICIL  TUBO 40 GRS,2.0,13.0,26.0,0.5,26.0,52.0
11,BETA 2 PAN KIT AMPOLLA,3.0,37.3,63.0,0.407936507936508,111.89999999999999,189.0
12,BISMUTO X 100 U,50.0,0.2,0.75,0.7333333333333334,10.0,37.5
13,BROMHEXINA 120 ML JBE SELEC (EXIFLEM),4.0,7.0,12.0,0.4166666666666667,28.0,48.0
14,BRONCUROL JBE 120 ML,3.0,12.3,30.0,0.59,36.900000000000006,90.0
15,BUSCAPINA COMPUESTA BLISTER X 12 CAJA X 24,24.0,0.43,2.5,0.828,10.32,60.0
16,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,9.0,2.5,10.0,0.75,22.5,90.0
17,CALCIO + MAGNESIO VESA FCO X 100 GELCAPS,1.0,38.3,68.0,0.436764705882353,38.3,68.0
18,CANESTEN EXTRA ,2.0,15.0,45.0,0.6666666666666666,30.0,90.0
19,CARDIOASPIRINA 81 MG X 30 TAB FCO,3.0,32.3,65.0,0.5030769230769231,96.89999999999999,195.0
20,CEFTRIAXONA 1GR+LIDOC KIT PROMEGAL,10.0,11.3,20.0,0.43499999999999994,113.0,200.0
