No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1, ACEITE DE HIGADO X 100 SIETE MARES,2.0,24.0,37.0,0.35135135135135137,48.0,74.0
2,ACEITE DE OLIVA PREDILECTO 120 ML,2.0,4.69,8.0,0.41374999999999995,9.38,16.0
3,ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100 ,17.0,4.83,8.0,0.39625,82.11,136.0
4,AGUJA 18G X 1-1/2 ROSADA,107.0,0.28,0.5,0.43999999999999995,29.960000000000004,53.5
5,AGUJA 18G X 1-1/4 ROSADA,0.0,0.23,0.5,0.54,0.0,0.0
6,AGUJA 20G X 1 -1/2  AMARILLA,109.0,0.23,0.5,0.54,25.07,54.5
7,AGUJA 21G X 1 X 1/2 VERDE,78.0,0.23,0.5,0.54,17.94,39.0
8,AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),40.0,0.31,0.5,0.38,12.4,20.0
9,"AGUJA 23G X 1""   AZUL (NIPRO) PED",10.0,0.28,0.5,0.43999999999999995,2.8000000000000003,5.0
10,"AGUJA 23G X 1-1/2"" AZUL (NIPRO)",6.0,0.31,0.5,0.38,1.8599999999999999,3.0
11,AGUJA 24G X 1 MORADA ,153.0,0.25,0.5,0.5,38.25,76.5
12,AGUJA 25G X 1 NARANJA X 100 NIPRO,75.0,0.23,0.5,0.54,17.25,37.5
13,AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,85.0,0.23,0.5,0.54,19.55,42.5
14,AGUJA 27G X 1/2,23.0,0.24,0.5,0.52,5.52,11.5
15,AGUJA 30G X 1/2  AMARILLA (NIPRO),33.0,0.43,1.0,0.5700000000000001,14.19,33.0
16,ALCOHOL  ELITICO LORALVA 70% 960 ML,2.0,16.79,28.0,0.4003571428571429,33.58,56.0
17,ALCOHOL ETILICO VESA 70% SPRAY 120 ML,2.0,8.65,15.0,0.4233333333333333,17.3,30.0
18,ALEVE EXTRA FUERTE X 36 TAB,27.0,1.24,2.5,0.504,33.48,67.5
19,ALEVE LQUID GELS X 24,30.0,2.25,3.75,0.4,67.5,112.5
20,ALEVE MAX CAJA X 10 TAB,24.0,2.32,3.5,0.3371428571428572,55.67999999999999,84.0
21,ALGODÓN BOLSA X 25,7.0,0.3,0.5,0.4,2.1,3.5
