No,ARTICULO  ESTUARDO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,AGUAPURA 500 ML MEMBERS,4.0,1.76,3.0,0.41333333333333333,7.04,12.0
2,ALGODÓN ZUUM 25 GRS,3.0,4.5,8.0,0.4375,13.5,24.0
3,ALGODÓN ZUUM 50 GRS,4.0,6.2,12.0,0.48333333333333334,24.8,48.0
4,APROVEL (IRBERSARTAN 150 MGS) BLIST X 14,1.0,25.0,85.0,0.7058823529411765,25.0,85.0
5,BETAMETASONA 8 MGS AMP 2 ML ERISPAN MEXICO,1.0,14.0,65.0,0.7846153846153846,14.0,65.0
6,BRONCOTOS ( CARB+CLORFE+DEXTRO) FCO 120 ML GEBEQUIMIC,3.0,32.5,55.0,0.4090909090909091,97.5,165.0
7,"BUDENA 0,5 MG AMPOLLA CAJA X 5",5.0,25.0,38.0,0.34210526315789475,125.0,190.0
8,"CALLOSOL LIQUIDO (CALLOS, VERRUGAS Y MEZQUIINOS)",2.0,10.2,30.0,0.66,20.4,60.0
9,CEREBREX CAPSULA BLIST X 10 CAJA X 60,1.0,11.0,20.0,0.45,11.0,20.0
10,CETAMIN CC BLISTER X 10 LAPRIN,49.0,4.42,7.0,0.3685714285714286,216.57999999999998,343.0
11,CITRATO DE MAGNESIO FCO DE 60 CAPSULAS,1.0,65.0,110.0,0.4090909090909091,65.0,110.0
12,CLEVIUM DEXKETOPROFENO 25 MG X 10 TAB,89.0,2.1,4.5,0.5333333333333333,186.9,400.5
13,CLEVIUM DEXKETOPROFENO 50 MG AMPOLLA,11.0,8.0,17.0,0.5294117647058824,88.0,187.0
14,CLORURO DE MAGNESIO 100 GRAMOS QUIMICA U,1.0,15.0,25.0,0.4,15.0,25.0
15,CLORURO DE MAGNESIO CAJA X 100 TAB ,1.0,25.0,50.0,0.5,25.0,50.0
16,COFAL FORTE TARRO 60 GRS ROJO,0.0,30.0,47.0,0.3617021276595745,0.0,0.0
17,COFAL TARRO 60 GRS AZUL,1.0,30.0,45.0,0.3333333333333333,30.0,45.0
18,DEZZZCANSAR 50 MG BISTER X 10 CAJA 100,95.0,1.804,3.0,0.39866666666666667,171.38,285.0
19,DIOSMINA CAJA X 30 BLISTER X 10 (DIOSMIL),7.0,21.25,45.0,0.5277777777777778,148.75,315.0
20,DOLGENAL 20 MG ,3.0,5.0,10.0,0.5,15.0,30.0
21,DOLO TETRAVIT BLIST X 10,119.0,2.66,4.3,0.38139534883720927,316.54,511.7
22,DOLODIROL (ACETA+ TRAMA) CJ X 100 BLIST X 5,44.0,3.4,7.0,0.5142857142857143,149.6,308.0
23,DOLOFIN DISP X 100,100.0,0.65,1.5,0.5666666666666667,65.0,150.0
24,DONOFLAT PLUS BLIST X 10 CAJA X 120,29.0,3.373,5.2,0.3513461538461538,97.81700000000001,150.8
25,DORIXINA RELAX BLIST X 10 TABS,11.0,8.0,12.0,0.3333333333333333,88.0,132.0
