No,ARTICULO GENESIS,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE BEBE BABY CHIC MEDIANO 115 ML ,3.0,5.5,10.0,0.45,16.5,30.0
2,AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,3.0,17.0,45.0,0.6222222222222222,51.0,135.0
3,ARCO CORT 40MG KIT,2.0,26.0,44.0,0.4090909090909091,52.0,88.0
4,AVAMIGRAN BLISTER X 10,8.0,3.3,5.5,0.4,26.4,44.0
5,BACTID SPRAY TOPICO 30 ML ,2.0,22.0,44.0,0.5,44.0,88.0
6,BIFONAZOL GOTAS TOPICAS 15 ML ,2.0,23.0,44.0,0.4772727272727273,46.0,88.0
7,BINOTAL (AMPICILINA) 1000MG BLISTER X 6,8.0,2.66,5.0,0.46799999999999997,21.28,40.0
8,BROMHEXINA CAPLIN JARABE 120 ML,3.0,4.5,8.0,0.4375,13.5,24.0
9,BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,3.0,55.0,109.0,0.4954128440366973,165.0,327.0
10,CANDERSARTAN 32  BLS X 10 CAJA X 30 TABS CAPLIN,5.0,21.0,38.0,0.4473684210526316,105.0,190.0
11,CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,1.0,30.0,60.0,0.5,30.0,60.0
12,CLARITROMICINA 500 MGS BLIST X 10 BALAXI,4.0,16.75,30.0,0.44166666666666665,67.0,120.0
13,CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO ,2.0,59.9,92.0,0.3489130434782609,119.8,184.0
14,CUERPO AMARILLO AMPOLLA KIT PIERSAN,2.0,26.9,45.0,0.40222222222222226,53.8,90.0
15,CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,2.0,34.0,56.0,0.39285714285714285,68.0,112.0
16,DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,4.0,17.75,30.0,0.4083333333333333,71.0,120.0
17,DEAREXIN SUSPENSIÓN 120 ML ,2.0,29.99,51.0,0.4119607843137255,59.98,102.0
18,DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),1.0,17.5,35.0,0.5,17.5,35.0
19,DEXAVITANERVO KIT AMPOLLA,4.0,11.5,19.0,0.39473684210526316,46.0,76.0
20,DOLO MENALGIL KIT AMPOLLA MENARINI ,2.0,35.0,57.0,0.38596491228070173,70.0,114.0
21,ENANTYUM 25 MG SOLUCION ORAL 10 ML,6.0,15.0,25.0,0.4,90.0,150.0
22,ENZIFLAT (ENZIMAS) BLIST X 10 CAJA X 120 TABS,82.0,0.766,1.5,0.48933333333333334,62.812,123.0
23,EQUILIV GOTAS 10 ML ,1.0,90.0,138.0,0.34782608695652173,90.0,138.0
24,FARLABORIN PHARLAND ,8.0,3.4,5.0,0.32,27.2,40.0
25,FEMITAB (KETO +CLINDA) OVULOS CAJA X 7,3.0,51.0,90.0,0.43333333333333335,153.0,270.0
26,GARGADIN FRAMBUESA CAJA X 56 PASTI,38.0,1.16,2.0,0.42000000000000004,44.08,76.0
27,GARGADIN MIEL LIMON CAJA X 56 PASTI ,56.0,1.09,2.0,0.45499999999999996,61.040000000000006,112.0
28,GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS ,35.0,1.09,2.0,0.45499999999999996,38.150000000000006,70.0
29,GLICITOS C (AMBROXOL+CLEMBUTEROL) 120 ML SELEC,3.0,12.95,23.0,0.43695652173913047,38.849999999999994,69.0
30,GLICITOS S (AMBROXOL+SALBUTAMOL) 120ML SELEC,1.0,18.8,33.0,0.4303030303030303,18.8,33.0
31,GUANTES LATEX GRANDE X 100,70.0,0.39,1.15,0.6608695652173913,27.3,80.5
32,GUANTES LATEX MEDIANO X 100 ,89.0,0.39,1.15,0.6608695652173913,34.71,102.35
33,GUANTES LATEX PEQUEÑO X 100,44.0,0.475,1.15,0.5869565217391304,20.9,50.599999999999994
34,HIERRO SACAROSA 100/MG AMP 5ML IV CAPLIN CJ X 10,0.0,22.5,45.0,0.5,0.0,0.0
35,HIGO MIEL  120 ML ,2.0,39.75,58.0,0.3146551724137931,79.5,116.0
36,HISTAPRIN CAJA X20 TAB BLIS X10,10.0,2.392,4.5,0.46844444444444444,23.919999999999998,45.0
37,JABON PARA BEBE JOHNSON ANTES DE DORMIR 75 GRS,2.0,9.05,14.0,0.35357142857142854,18.1,28.0
38,JABON PARA BEBE JOHNSON ORIGINAL CREMOSO 75 GRS,1.0,9.05,14.0,0.35357142857142854,9.05,14.0
39,KOACT 1 GR AMOX+CLAV CAJA X 15 TAB BLISTER X 5,24.0,3.13,6.0,0.47833333333333333,75.12,144.0
40,KOACT 62.5 AMOXI 500 ACIDOCLAV X 15 TAB BLISTER X 5,0.0,1.92,4.0,0.52,0.0,0.0
41,KOREOFIN CAPLIN,3.0,10.0,18.0,0.4444444444444444,30.0,54.0
42,LEVOTIROXINA MERCK BLISTER X 25 CAJA X 100,8.0,17.5,50.0,0.65,140.0,400.0
43,LOSART50/12.5MG HIDRO CJ X 30  BLIST X 10 TABS CAPLIN,4.0,9.0,17.0,0.47058823529411764,36.0,68.0
44,LOSARTAN 50 MG BLIS X 10 CAJA X 100 CAPLIN,17.0,6.0,10.0,0.4,102.0,170.0
45,LUSIA FX CAJA X 28 TAB ,2.0,9.9,19.0,0.4789473684210526,19.8,38.0
46,MASCARILLA QUIRURGICA CELESTE CAJA X 50 ,71.0,0.16,1.0,0.84,11.36,71.0
47,MASCARILLA QUIRURGICA NEGRA CAJA X 50,67.0,0.4,1.0,0.6,26.8,67.0
48,MASCARILLA QUIRURGICA NIÑO CAJA X 50,48.0,0.4,1.0,0.6,19.200000000000003,48.0
49,MAVIFEM CREMA VAGINAL CAJA X 6 (CLINDA+KETO),1.0,47.0,85.0,0.4470588235294118,47.0,85.0
50,MESI 3 ( ANTICONCEPTIVO 3 MESES) PIERSAN,2.0,33.0,53.0,0.37735849056603776,66.0,106.0
51,METAFE SPRAY 60 ML VESA ,0.0,8.35,14.0,0.4035714285714286,0.0,0.0
52,METFORMINA 1000 MG C SEVEN CAJA X 100,13.0,4.3,9.0,0.5222222222222223,55.9,117.0
53,MICROPORE BLANCO 1 X 10 YDS,3.0,8.0,15.0,0.4666666666666667,24.0,45.0
54,MICROPORE BLANCO 1/2 PULGADA ,5.0,3.9,9.0,0.5666666666666667,19.5,45.0
55,MICROPORE PIEL 1 PULGADA ,2.0,8.0,15.0,0.4666666666666667,16.0,30.0
56,MICROPORE PIEL 1/2 PULGADA,4.0,3.9,9.0,0.5666666666666667,15.6,36.0
57,MIGRADOLOSINA PIERSAN BLIST X 10,140.0,0.75,1.4,0.46428571428571425,105.0,196.0
58,PARACETAMOL 500 MGS BLIST X 10 CAJA X 100 ,13.0,2.0,4.0,0.5,26.0,52.0
59,PEDIAFLORA GRANU DISP X 50 SOBRES PAHIL,23.0,10.556,18.0,0.4135555555555556,242.78799999999998,414.0
60,PREBALIX CAJA X 30 BLIST X 10 (PREGABALINA 75 MGS),6.0,2.25,4.0,0.4375,13.5,24.0
61,RELAFLEX KIT AMPOLLA VIJOSA,3.0,24.93,45.0,0.446,74.78999999999999,135.0
62,ROYALINE 5MG CAJA  X 30 TAB BLIST X 10,18.0,1.933,3.3,0.4142424242424242,34.794000000000004,59.4
63,SALBUTAMOL INHALADOR CAPLIN,5.0,19.0,33.0,0.42424242424242425,95.0,165.0
64,SANTEMICINA 7.5 GRS SOBRE CAJA X 50,48.0,1.2,2.0,0.4,57.599999999999994,96.0
65,SARPIOL FCO 30 ML,2.0,10.45,25.0,0.5820000000000001,20.9,50.0
66,SELLO DE HEPARINA ESTERIL OPERSON,11.0,1.5,5.0,0.7,16.5,55.0
67,SENOSIAIN ADULTO SUPOSITORIO CAJA X 20,9.0,2.05,3.5,0.4142857142857143,18.45,31.5
68,SENOSIAIN NIÑO SUPOSITORIO CAJA X 20,21.0,2.1,3.5,0.39999999999999997,44.1,73.5
69,SOLUCION SALINA 100 ML BOLSA,6.0,7.75,14.0,0.44642857142857145,46.5,84.0
70,SPASMO-UROLONG BLIST X 10TAB,27.0,3.3,6.8,0.5147058823529412,89.1,183.6
71,SUERO ORAL ANCALMO COCO X 54,41.0,1.223,2.0,0.38849999999999996,50.143,82.0
72,SUERO ORAL ANCALMO NARANJA X 54,35.0,1.036,2.0,0.482,36.26,70.0
73,SUERO ORAL VIT ANCALMO X 54,35.0,1.2,2.0,0.4,42.0,70.0
74,TERMOMETRO DIGITAL MICROLIFE,1.0,30.0,55.0,0.45454545454545453,30.0,55.0
75,VIROGRIP 3 DOBLE TERAPIA INYECTADO,2.0,16.9,29.0,0.4172413793103449,33.8,58.0
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,3762.677,7062.45
81,,,,,,,
82,,,,,,,3299.7729999999997
83,,,,,,,
84,,,,,,,
85,,,,,,,0.4672278033826788
86,,,,,,,
87,,,,,,,
88,,,,,,,
