No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1.0,AMOXICILINA 500 MG BLISTER X 10 CAJA X50,9.0,11.7,20.0,0.41500000000000004,105.3,180.0
2.0,ARGININA FORTE 10 AMP BEBIBLES,7.0,10.5,16.0,0.34375,73.5,112.0
3.0,AZITROMICINA 500 MG B X 5 CAJA X 30,15.0,33.0,49.0,0.32653061224489793,495.0,735.0
4.0,AZITROMICINA POLVO SUSP 200 MG/5ML 15ML,1.0,31.68,51.0,0.3788235294117647,31.68,51.0
5.0,CEFRADOXILO 500 MG CAP CAJA X 30 BLIS X 10,6.0,17.85,29.0,0.3844827586206896,107.10000000000001,174.0
6.0,CIPROFLOXACINA 500 MG CAJA X 60 BL X 10,7.0,14.2,27.0,0.4740740740740741,99.39999999999999,189.0
7.0,DEXTRIUM PLUS 75MG/25MG CAJA X 10 (DEX/TRAM),14.0,9.6,17.0,0.43529411764705883,134.4,238.0
8.0,DICLOFENACO GOTAS DE 15 ML,2.0,11.09,20.0,0.4455,22.18,40.0
9.0,DONADAX CAJA X 10 TABS,14.0,5.68,9.0,0.36888888888888893,79.52,126.0
10.0,ESOGASTRIC 10 MG CAJA X  15 SOBRES ,20.0,11.52,19.0,0.3936842105263158,230.39999999999998,380.0
11.0,FAMOXIDE 40 MG CAJA DE 10 COMPRIMIDOS,20.0,2.15,4.0,0.4625,43.0,80.0
12.0,FENITOINA SOD 100MG CAJA X  100 CAPS BLIST X 10,12.0,5.85,10.0,0.41500000000000004,70.19999999999999,120.0
13.0,FERKEL F-800 CAJA X 30 CAPS BLIST X 5,2.0,33.35,51.0,0.346078431372549,66.7,102.0
14.0,IRS GOTAS DE 20 ML,4.0,44.6,72.0,0.38055555555555554,178.4,288.0
15.0,IRS JARABE DE 120 ML,5.0,48.89,75.0,0.34813333333333335,244.45,375.0
16.0,IRS TABELTA BLIST X 10 CAJA X 20,68.0,2.444,3.75,0.34826666666666667,166.192,255.0
17.0,LORATADINA 10 MG BLIST X 10 CAJA X 100,13.0,3.42,6.0,0.43,44.46,78.0
18.0,METOCARBAN AC 500 MG BLIST X 10 CAJA X 30 TAB,27.0,2.6,4.0,0.35,70.2,108.0
19.0,NEUROFORTAN BLISTER X 5 CAJA X 60,9.0,3.63,6.0,0.395,32.67,54.0
20.0,NUTRISON H3 PLUS CAJA X 30,1.0,44.38,68.0,0.34735294117647053,44.38,68.0
21.0,NUTRISON JBE NIÑOS 240 ML,1.0,21.82,41.0,0.46780487804878046,21.82,41.0
22.0,PASINERVA CAJA X 30 CAPS BLISTER X 5,4.0,1.17,2.2,0.46818181818181825,4.68,8.8
23.0,PAVERIN COMPUESTO CAJA X 20 TAB BLIST X 5,24.0,1.96,3.0,0.3466666666666667,47.04,72.0
24.0,PIREX 100 MGS DISPENSADOR X 12 CAJA X 2 TAB,14.0,5.8,12.0,0.5166666666666667,81.2,168.0
25.0,VITAMINAS PRENATALES X 100 BLIST X 10,14.0,2.94,5.0,0.41200000000000003,41.16,70.0
26.0,ZINC 20 MG KIPP B X 10 TAB CAJA X 30,3.0,11.68,20.0,0.41600000000000004,35.04,60.0
27.0,,,,,,2570.072,4172.8
,,,,,,,
,,,,,,,1602.728
,,,,,,,0.38408934049079757
