No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,  ,1 MES,2 MESES
1, ACEITE DE HIGADO X 100 SIETE MARES,2.0,,,,,,,,,,,,2.0,8.0,37.0,,2028-09-01,1.0,,2024-10-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
2,ACEITE DE OLIVA PREDILECTO 120 ML,2.0,,,,,,,,,,,,2.0,10.0,8.0,,2027-06-01,1.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
3,ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100 ,17.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,9.0,63.0,8.0,,2027-12-01,11.0,,2024-10-01,10.0,10.0,8.0,8.0,36.0,9.0,36.0,72.0
4,AGUJA 18G X 1-1/2 ROSADA,107.0,,,,,,,,,,,,107.0,-73.0,0.5,,2029-04-01,0.0,,2025-01-01,1.0,5.0,2.0,9.0,17.0,4.25,17.0,34.0
5,AGUJA 18G X 1-1/4 ROSADA,0.0,,,,,,,,,,,,0.0,16.0,0.5,,,0.0,,2021-04-01,1.0,4.0,2.0,1.0,8.0,2.0,8.0,16.0
6,AGUJA 20G X 1 -1/2  AMARILLA,109.0,,,,,,,,,,,,109.0,-89.0,0.5,,,0.0,,2021-04-01,3.0,1.0,2.0,4.0,10.0,2.5,10.0,20.0
7,AGUJA 21G X 1 X 1/2 VERDE,78.0,,,,,,,,,,,,78.0,-40.0,0.5,,2027-12-01,0.0,,2024-08-01,2.0,2.0,10.0,5.0,19.0,4.75,19.0,38.0
8,AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),40.0,,,,,,,,,,,,40.0,16.0,0.5,BENDICION,2028-03-01,0.0,,2024-11-01,2.0,3.0,9.0,14.0,28.0,7.0,28.0,56.0
9,"AGUJA 23G X 1""   AZUL (NIPRO) PED",10.0,,,,,,,,,,,,10.0,68.0,0.5,,2026-02-01,0.0,,2021-11-01,20.0,12.0,1.0,6.0,39.0,9.75,39.0,78.0
10,"AGUJA 23G X 1-1/2"" AZUL (NIPRO)",6.0,,,,,,,,,,,,6.0,14.0,0.5,,2025-07-01,1.0,,2024-12-01,4.0,1.0,4.0,1.0,10.0,2.5,10.0,20.0
11,AGUJA 24G X 1 MORADA ,153.0,,,,,,,,,,,,153.0,-125.0,0.5,,,0.0,,2020-01-01,1.0,2.0,9.0,2.0,14.0,3.5,14.0,28.0
12,AGUJA 25G X 1 NARANJA X 100 NIPRO,75.0,,,,,,,,,,,,75.0,-67.0,0.5,,,0.0,,2018-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
13,AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,85.0,,,,,,,,,,,,85.0,-79.0,0.5,,,0.0,,2019-07-01,,2.0,1.0,,3.0,0.75,3.0,6.0
14,AGUJA 27G X 1/2,23.0,,,,,,,,,,,,23.0,11.0,0.5,,,0.0,,2019-08-01,10.0,6.0,1.0,,17.0,4.25,17.0,34.0
15,AGUJA 30G X 1/2  AMARILLA (NIPRO),33.0,,,,,,,,,,,,33.0,-11.0,1.0,,,0.0,,2019-11-01,2.0,6.0,1.0,2.0,11.0,2.75,11.0,22.0
16,ALCOHOL  ELITICO LORALVA 70% 960 ML,2.0,,,,,,,,,,,,2.0,4.0,28.0,,2029-09-01,1.0,,2025-01-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
17,ALCOHOL ETILICO VESA 70% SPRAY 120 ML,2.0,,,,,,,,,,,,2.0,6.0,15.0,,2027-01-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
18,ALEVE EXTRA FUERTE X 36 TAB,27.0,,,,,,,,,,,,27.0,-1.0,2.5,BAYER,2025-05-01,0.0,,2024-07-01,2.0,8.0,2.0,1.0,13.0,3.25,13.0,26.0
19,ALEVE LQUID GELS X 24,30.0,,,,,,,,,,,,30.0,-2.0,3.75,BAYER,2026-01-01,1.0,1.0,2025-03-01,2.0,3.0,1.0,8.0,14.0,3.5,14.0,28.0
20,ALEVE MAX CAJA X 10 TAB,24.0,,,,,,,,,,,,24.0,-10.0,3.5,BAYER,2026-11-01,0.0,,2024-11-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
21,ALGODÓN BOLSA X 25,7.0,,,,,,,,,,,,7.0,29.0,0.5,,,2.0,,2025-01-01,6.0,2.0,2.0,8.0,18.0,4.5,18.0,36.0
22,ALGODÓN ZUUM 50 GRS,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,
23,ALKA GASTRIC DISP. X 36 TAB,39.0,,6.0,,,,,,,,,,33.0,-5.0,3.0,BAYER,2028-12-01,0.0,,2024-12-01,2.0,3.0,4.0,5.0,14.0,3.5,14.0,28.0
24,ALKA SELTZER DISP X 60,108.0,3.0,,,2.0,,,,,,,,103.0,15.0,1.5,BAYER,2026-05-01,1.0,,2025-02-01,3.0,11.0,22.0,23.0,59.0,14.75,59.0,118.0
25,ANESTENCA TUBO X 5 ML,1.0,,,,,,,,,,,,1.0,7.0,32.0,,2028-06-01,0.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
26,ANGIOCAT # 16,2.0,,,,,,,,,,,,2.0,6.0,10.0,,2027-02-01,0.0,,2024-05-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
27,ANGIOCAT # 18,7.0,,,,,,,,,,,,7.0,-1.0,10.0,,2026-07-01,0.0,,2022-07-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
28,ANGIOCAT # 20 ,4.0,,,,,,,,,,,,4.0,20.0,10.0,,2027-02-01,0.0,,2024-05-01,1.0,8.0,2.0,1.0,12.0,3.0,12.0,24.0
29,ANGIOCAT # 22 ,5.0,,,,,,,,,,,,5.0,13.0,10.0,,2029-07-01,0.0,6.0,2025-03-01,2.0,2.0,3.0,2.0,9.0,2.25,9.0,18.0
30,ANGIOCAT # 24,4.0,,,,,,,,,,,,4.0,14.0,10.0,,2028-11-01,6.0,,2024-11-01,4.0,2.0,1.0,2.0,9.0,2.25,9.0,18.0
31,APOSITOS PARA CAYOS HANSAPLAST  X 6,1.0,,,,,,,,,,,,1.0,15.0,7.0,,2026-10-01,1.0,,2024-12-01,1.0,3.0,3.0,1.0,8.0,2.0,8.0,16.0
32,AQUAMAR FCO 50 ML SPRAY NASAL,1.0,,,,,,,,,,,,1.0,-1.0,8.0,,2027-04-01,0.0,,2025-01-01,,,,,0.0,0.0,0.0,0.0
33,ARCO PULMIN INY ADULTO PIERSAN,2.0,,,,,,,,,1.0,,,1.0,9.0,19.0,,2028-02-01,0.0,,2024-05-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
34,ASPIRADOR NASAL GERBER,1.0,,,,,,,,,,,,1.0,7.0,30.0,,,0.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
35,ASPIRINA ADULTO BLIST X 10 CAJA X 100,72.0,,10.0,,,,,,,,,,62.0,-18.0,1.0,BAYER,2026-08-01,0.0,2.0,2025-03-01,4.0,12.0,4.0,2.0,22.0,5.5,22.0,44.0
36,ASPIRINA FORTE CAJA X 100 BLIST X 10 ,0.0,,,,,,,,,,,,0.0,0.0,1.0,PB,,,,,,,,,0.0,0.0,0.0,0.0
37,ASPIRINA NIÑOS BLIST X 10 CAJA X 100 ,130.0,,,5.0,,,,,,,,,125.0,201.0,1.0,BAYER,2026-05-01,4.0,,2025-01-01,33.0,50.0,50.0,30.0,163.0,40.75,163.0,326.0
38,BALLENA AZUL 200 ml,3.0,,,,,,,,,,,,3.0,5.0,51.0,,2027-05-01,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
39,BALSAMICO GMS 12 GRS,3.0,,,,,,,,,,,,3.0,7.0,10.0,,2027-06-01,4.0,4.0,2025-03-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
40,BAYKID DOLOR Y FIEBRE CAJA X 36 BLIST X 12 TAB ,36.0,,6.0,,,,,,,,,,30.0,34.0,1.75,BAYER,2026-07-01,0.0,1.0,2025-01-01,16.0,3.0,12.0,1.0,32.0,8.0,32.0,64.0
41,BEBETINA  BLIST X 10 CAJA X 100 TAB ,92.0,,,,,,,,,,,,92.0,-4.0,0.9,,2026-04-01,0.0,,2024-11-01,2.0,12.0,20.0,10.0,44.0,11.0,44.0,88.0
42,BEPHANTHENE CREMA 5% 30G QUEMADURAS,2.0,,,,,,,1.0,,,,,1.0,7.0,81.0,BAYER,2027-01-01,0.0,1.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
43,BEPHANTHENE POMADA 5% 30G PROTECTORA,2.0,,,,,,,,,,,,2.0,4.0,78.0,BAYER,2025-10-01,1.0,,2024-09-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
44,BICARBONATO  X 25 SOBRES DE 10 GRS VESA,30.0,,,,,,,,,,4.0,,26.0,68.0,0.5,,2028-02-01,4.0,,2025-02-01,20.0,16.0,3.0,8.0,47.0,11.75,47.0,94.0
45,BICARBONATO X 1 LIBRA DISFAVIL,9.0,,,1.0,,1.0,,,1.0,,,,6.0,6.0,16.0,,2026-07-01,10.0,24.0,2025-03-01,,1.0,5.0,,6.0,1.5,6.0,12.0
46,BICARBONATO X 16 SOBRES DE 28 GRS DISFAVIL,45.0,,,2.0,,4.0,2.0,10.0,,,,,27.0,29.0,1.0,,2026-09-01,0.0,1.0,2025-03-01,1.0,14.0,6.0,7.0,28.0,7.0,28.0,56.0
47,BOLSA DE ALGODÓN 160 BOLITAS SUPERIOR,1.0,,,,,,,,,,,,1.0,7.0,16.0,,2028-06-01,2.0,,2023-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
48,CALCIO VITAMINADO AMPOLLA,2.0,,,,,,,,,,,,2.0,8.0,20.0,,2026-04-01,0.0,,2024-08-01,4.0,1.0,,,5.0,1.25,5.0,10.0
49,CALLOFIN POMADA 12 GRS,1.0,,,,,,,,,,,,1.0,7.0,7.0,,2026-04-01,0.0,,2024-07-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
50,CALMANTE SOBRE BOLSA X 100 ,40.0,,,,,,,,,,,,40.0,32.0,0.25,,2026-01-01,0.0,,2024-12-01,4.0,4.0,24.0,4.0,36.0,9.0,36.0,72.0
51,CANESTEN 100 MG X 18 OVULOS VAG,7.0,,,,,,,,,,,,7.0,13.0,20.0,BAYER,2026-10-01,1.0,,2024-09-01,3.0,4.0,2.0,1.0,10.0,2.5,10.0,20.0
52,CANESTEN ORAL 150 MG X 1 CAP,0.0,,,,,,,,,,,,0.0,0.0,114.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
53,CANESTEN TRIPLE ACCION 15 GRS,1.0,,,,,,,,,,,,1.0,7.0,77.0,BAYER,2027-05-01,2.0,,2025-02-01,,1.0,1.0,2.0,4.0,1.0,4.0,8.0
54,CARDIOASPIRINA CAJA X 48 TAB ,64.0,,,,4.0,,2.0,,,,3.0,,55.0,53.0,3.0,BAYER,2026-01-01,3.0,2.0,2025-03-01,7.0,8.0,13.0,26.0,54.0,13.5,54.0,108.0
55,CEREBREX GINKO AMP BEBIBLES X 10 ,20.0,,,4.0,,,,,,,,,16.0,92.0,8.5,,2027-02-01,2.0,3.0,2025-03-01,10.0,10.0,10.0,24.0,54.0,13.5,54.0,108.0
56,CIRBRAL 25 MG BLIST X 20 CAJA X 60,104.0,,,10.0,5.0,,,,,,,,89.0,5.0,1.0,,2027-03-01,3.0,,2024-12-01,2.0,20.0,5.0,20.0,47.0,11.75,47.0,94.0
57,CIRBRAL FORTE 75 MG BLIST X 10 CAJA X 30 ,41.0,,,,3.0,,,,,,,,38.0,4.0,2.8,,2027-03-01,0.0,,2024-11-01,7.0,6.0,6.0,2.0,21.0,5.25,21.0,42.0
58,CITRATO DE MAGNESIA BOLSA X 16 SOBRES ,14.0,,,,1.0,,,,1.0,,,,12.0,30.0,2.5,,2026-04-01,1.0,16.0,2025-03-01,1.0,15.0,4.0,1.0,21.0,5.25,21.0,42.0
59,CLO-PRIM 0.1MG/GOTAS 15 ML,2.0,,,,,,,,,,,,2.0,8.0,55.0,,2028-01-01,0.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
60,CLO-PRIM 10MG BLIST X 10 CAJA X 40 TABS,30.0,,,,,,,,,,,,30.0,6.0,3.0,,2026-01-01,0.0,,2024-06-01,1.0,5.0,1.0,11.0,18.0,4.5,18.0,36.0
61,CLOPRIM 5MG/5ML JARABE 120 ML,1.0,,,,,,,,,,,,1.0,1.0,77.0,,2025-10-01,0.0,,2024-09-01,,1.0,,,1.0,0.25,1.0,2.0
62,CLOPRIM CAJA X 3 AMPOLLAS,3.0,,,,,,,,,,,,3.0,3.0,19.0,,2027-04-01,0.0,,2025-01-01,,2.0,,1.0,3.0,0.75,3.0,6.0
63,CODERPINA JBE 60 ML,1.0,,,,,,,,,,,,1.0,5.0,41.0,,2027-06-01,0.0,,2025-01-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
64,CUAJO CAJA X 100 BLISTER X 10,74.0,,,,,,,,,,,,74.0,-34.0,1.8,BENDICION,2026-03-01,0.0,,2024-10-01,10.0,2.0,2.0,6.0,20.0,5.0,20.0,40.0
65,CURADERMA LATITA,2.0,,,,,,,,,,,,2.0,18.0,18.0,,2028-04-01,6.0,6.0,2025-03-01,2.0,3.0,1.0,4.0,10.0,2.5,10.0,20.0
66,CURITA REDONDA  CUREBAND CAJA X 100,34.0,,,,,,,,,,,,34.0,14.0,0.25,,2026-09-01,0.0,,2024-01-01,10.0,6.0,4.0,4.0,24.0,6.0,24.0,48.0
67,CURITAS CUREBAND CAJA X 100 + 10,127.0,,,,,,,,,,,,127.0,-39.0,0.25,,2027-07-01,0.0,,2024-01-01,20.0,4.0,12.0,8.0,44.0,11.0,44.0,88.0
68,DAPAZ (AMITRIP + CLORDIA)  CAJA X 30 BLIST X 10,33.0,,,,,,,,,,,,33.0,41.0,3.0,,2027-11-01,1.0,,2025-02-01,10.0,7.0,10.0,10.0,37.0,9.25,37.0,74.0
69,DEXAMICINA GOTASX 5 ML QUALIPHARM,1.0,,,,,,,,,,,,1.0,7.0,69.0,,2025-10-01,0.0,,2022-12-01,1.0,2.0,,1.0,4.0,1.0,4.0,8.0
70,DEXTROVITA AL 10% 1/2 LITRO,1.0,,,,,,,,,,,,1.0,7.0,40.0,,2025-08-01,1.0,,2023-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
71,DEXTROVITA AL 5% 1 LITRO ,1.0,,,,,,,,,,,,1.0,5.0,61.0,,2026-07-01,0.0,,2024-11-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
72,DEXTROVITA AL 5% 1/2 LITRO,1.0,,,,,,,,,,,,1.0,7.0,38.0,,2026-12-01,0.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
73,DIYODO 650  BLIST X 10TAB,33.0,,,,,,,,,,,,33.0,37.0,1.8,,2028-02-01,1.0,,2024-09-01,1.0,20.0,4.0,10.0,35.0,8.75,35.0,70.0
74,DOLOFIN DISP X 60,0.0,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,0.0,0.0,0.0,0.0
75,DOLOVITANERVO KIT AMPOLLA,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-10-01,9.0,,2025-02-01,2.0,2.0,1.0,1.0,6.0,1.5,6.0,12.0
76,DORIVAL GEL 200MG CAJA X 36 GELCAPS,26.0,,,,,,,,,,,,26.0,26.0,4.0,BAYER,2026-04-01,0.0,,2025-01-01,1.0,6.0,10.0,9.0,26.0,6.5,26.0,52.0
77,ENTEROGUANIL ADULTO DIS X 200 BLIST X 4 TABS ,200.0,,,,,,,,,,,,200.0,-152.0,1.0,,2028-01-01,0.0,,2025-02-01,4.0,4.0,4.0,12.0,24.0,6.0,24.0,48.0
78,ENTEROGUANIL NIÑO DIS X 200 BLIST X 4 TABS ,0.0,,,,,,,,,,,,0.0,48.0,0.5,,,0.0,,2022-08-01,8.0,6.0,6.0,4.0,24.0,6.0,24.0,48.0
79,ESCABIN JABON DE AZUFRE 80 GRS SANTE,2.0,,,,,,,,,,,,2.0,8.0,9.0,,2026-02-01,3.0,,2024-11-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
80,ESENCIA MARAVILLOSA SIERRA FCO,3.0,,,,,,,,,,,,3.0,7.0,18.0,,2026-11-01,3.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
81,FERRIDOCE CAJA X 30TAB BLIST X 10,6.0,,,,,,,,,,,,6.0,8.0,14.0,,2026-02-01,0.0,,2024-12-01,1.0,2.0,3.0,1.0,7.0,1.75,7.0,14.0
82,GASA ENFERMERITA  1/2 X 1 YD.,5.0,,,,1.0,,,,1.0,,,,3.0,13.0,7.0,,,7.0,6.0,2025-03-01,1.0,2.0,3.0,2.0,8.0,2.0,8.0,16.0
83,GASA ENFERMERITA 3 X 1,3.0,,,,,,,,,,,,3.0,5.0,29.0,,,2.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
84,GASA SUPERIOR  3 X 10 YD,2.0,,,,,,,,,,,,2.0,6.0,12.0,,2029-04-01,1.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
85,GASA SUPERIOR  4 X 10,2.0,,,,,,,,,,,,2.0,6.0,13.0,,2029-05-01,1.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
