No,ARTICULO   ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,ACEITE DE BEBE BABY CHIC MEDIANO 115 ML ,3.0,,,,,,,,,,,,3.0,2.0,10.0,,,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
2.0,AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,3.0,,,,,,,,,,,,3.0,11.0,45.0,,2027-02-01,6.0,6.0,2025-03-01,1.0,1.0,3.0,2.0,7.0,1.75,7.0,14.0
3.0,ARCO CORT 40MG KIT,2.0,,,,,,,,,,,,2.0,8.0,44.0,,2029-04-01,2.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
4.0,AVAMIGRAN BLISTER X 10,8.0,,3.0,2.0,,,,,,,,,3.0,11.0,6.0,,2026-04-01,0.0,,2024-08-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
5.0,BACTID SPRAY TOPICO 30 ML ,2.0,,,,,,,,,,,,2.0,4.0,44.0,,2026-06-01,0.0,,2024-11-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
6.0,BIFONAZOL GOTAS TOPICAS 15 ML ,2.0,,,,,,,,,,,,2.0,8.0,44.0,,2028-10-01,0.0,,2024-08-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
7.0,BINOTAL (AMPICILINA) 1000MG BLISTER X 6,8.0,,,,,,,,,,,,8.0,10.0,5.0,,2025-12-01,2.0,,2024-08-01,3.0,1.0,3.0,2.0,9.0,2.25,9.0,18.0
8.0,BROMHEXINA CAPLIN JARABE 120 ML,3.0,,,,,,,,,,,,3.0,5.0,8.0,,2026-05-01,4.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
9.0,BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,3.0,,,,,,,,,,,,3.0,5.0,109.0,,2026-10-01,3.0,,2024-12-01,1.0,1.0,2.0,,4.0,1.0,4.0,8.0
10.0,CANDERSARTAN 32  BLS X 10 CAJA X 30 TABS CAPLIN,5.0,,,,1.0,,,,,,,,4.0,10.0,38.0,ROSADEL,2027-02-01,7.0,4.0,2025-03-01,1.0,1.0,1.0,4.0,7.0,1.75,7.0,14.0
11.0,CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,1.0,,,,,,,,,,,,1.0,-1.0,60.0,,,,,,,,,,0.0,0.0,0.0,0.0
12.0,CLARITROMICINA 500 MGS BLIST X 10 BALAXI,4.0,,,,,,,,,,,,4.0,4.0,30.0,,2026-07-01,0.0,,2024-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
13.0,CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO ,2.0,,,,,,,,,,,,2.0,0.0,92.0,,2027-07-01,0.0,,2024-06-01,,,1.0,,1.0,0.25,1.0,2.0
14.0,CUERPO AMARILLO AMPOLLA KIT PIERSAN,2.0,,,,,,,,,,,,2.0,4.0,45.0,,2027-11-01,2.0,,2025-02-01,1.0,1.0,0.0,1.0,3.0,0.75,3.0,6.0
15.0,CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,2.0,,,,,,,,,,,,2.0,6.0,56.0,,2029-12-01,0.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
16.0,DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,4.0,,,,,,,,,,,,4.0,18.0,30.0,,2028-01-01,9.0,6.0,2025-03-01,1.0,4.0,4.0,2.0,11.0,2.75,11.0,22.0
17.0,DEAREXIN SUSPENSIÓN 120 ML ,2.0,,,,,,,,,,,,2.0,6.0,51.0,SOLER,2029-05-01,3.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
18.0,DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),1.0,,,,,,,,,,,,1.0,7.0,35.0,,2026-03-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
19.0,DEXAVITANERVO KIT AMPOLLA,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-10-01,3.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
20.0,DOLO MENALGIL KIT AMPOLLA MENARINI ,2.0,,,,,,,,,,,,2.0,14.0,57.0,,2025-06-01,0.0,,2025-01-01,1.0,2.0,2.0,3.0,8.0,2.0,8.0,16.0
21.0,ENANTYUM 25 MG SOLUCION ORAL 10 ML,6.0,,,,,,,,,,,,6.0,22.0,25.0,,2027-04-01,6.0,6.0,2025-03-01,4.0,5.0,4.0,1.0,14.0,3.5,14.0,28.0
