No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
1,ACEITE COCO 120 ML ,3.0,,,,,,,,,,,,3.0,7.0,29.0,,2026-05-01,2.0,,2024-11-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0,20.0
2,AFLAC GOTAS PEDIATRICAS 15 ML  (DICLOFENACO),3.0,,,,,,,,,,,,3.0,-3.0,29.0,,2026-10-01,0.0,,2024-09-01,,,,,0.0,0.0,0.0,0.0,
3,AGUA FLORIDA 4 ROSAS VESA  FCO 70 ML,2.0,,,,,,,,,,,,2.0,12.0,4.0,,,3.0,,2024-10-01,1.0,3.0,1.0,2.0,7.0,1.75,7.0,14.0,0.0
4,AGUA OXIGENADA 480 ML LA ENFERMERITA,3.0,,,,,,,,,,,,3.0,13.0,10.0,,2026-11-01,3.0,,2025-01-01,1.0,5.0,1.0,1.0,8.0,2.0,8.0,16.0,0.0
5,ALCANFOR PURO POLVO LATA 3 GRS DISFAVIL,2.0,,,,,,,,,,,,2.0,6.0,5.0,,2026-04-01,10.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,58.0
6,ALCOHOL GEL 60 GRS (FQUIMICA),1.0,,,,,,,,,,,,1.0,1.0,15.0,,,2.0,,2024-01-01,,,,1.0,1.0,0.25,1.0,2.0,16.0
7,ALFER NICOL UNGÜENTO TUBO 5 GRS,2.0,,,,,,,,,,,,2.0,2.0,53.0,,2027-03-01,0.0,,2024-10-01,,1.0,1.0,,2.0,0.5,2.0,4.0,4.0
8,AMOXI+CLAVU SUSP 312.5MG/5ML 60 ML BALAXI,2.0,,,,,,,,,,,,2.0,4.0,20.0,,2026-10-01,0.0,,2024-09-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0,
9,AMOXICILINA + ACIDO CLAVULANICO IV 1.2 VIAL 20ML ,3.0,,,,,,,,,,,,3.0,-3.0,59.0,,2025-12-01,0.0,,2024-09-01,,,,,0.0,0.0,0.0,0.0,0.0
10,AMOXIPLUS 1 G (AMOXI+CLAV) BALAXI CJ X 14 BLIST X 7,9.0,,1.0,2.0,1.0,,,,,,,,5.0,33.0,30.0,GENE,2026-10-01,21.0,,2025-02-01,3.0,7.0,4.0,5.0,19.0,4.75,19.0,38.0,4.0
11,AMPICILINA+SULBACTAM 1.5 G POLVO P/SOL INYEC,6.0,,,,,,,,,,,,6.0,16.0,22.0,,2025-10-01,0.0,,2024-12-01,4.0,3.0,1.0,3.0,11.0,2.75,11.0,22.0,0.0
12,ANESTEVIL GOTAS 5 ML (ANESTESICO LOCAL),1.0,,,,,,,,,,,,1.0,4.0,20.0,,2026-10-01,0.0,,2025-01-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0,4.0
13,ARNICA + MANZANILLA GEL 120 ML ,0.0,,,,,,,,,,,,0.0,12.0,24.0,,,0.0,,2024-11-01,1.0,1.0,2.0,2.0,6.0,1.5,6.0,12.0,0.0
14,ARNICA GEL 120 ML,2.0,,,,,,,,,,,,2.0,4.0,17.0,,2026-02-01,0.0,,2024-10-01,2.0,2.0,1.0,2.0,7.0,1.75,7.0,14.0,0.0
15,ARNIDOL POMADA ARNICA 12 GRS,3.0,,,,,,,,,,,,3.0,5.0,15.0,,2025-09-01,0.0,,2024-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,0.0
16,ARTROSIL (GLUCOSAMINA + CONDROITINA ),0.0,,,,,,,,,,,,0.0,0.0,16.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0
