No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,AGUAPURA 500 ML MEMBERS,4.0,,1.0,,,,,,,,,,3.0,21.0,3.0,PRICESM,2026-05-01,20.0,,2024-10-01,4.0,2.0,5.0,1.0,12.0,3.0,12.0,24.0
2.0,ALGODÓN ZUUM 25 GRS,3.0,,,,,,,,,,,,3.0,11.0,8.0,ESQUINITA,2029-08-01,14.0,,2025-01-01,2.0,1.0,2.0,2.0,7.0,1.75,7.0,14.0
3.0,ALGODÓN ZUUM 50 GRS,4.0,,1.0,,,,,,,,,,3.0,7.0,12.0,ESQUINITA,2028-09-01,10.0,,2024-12-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
4.0,APROVEL (IRBERSARTAN 150 MGS) BLIST X 14,1.0,,,,,,,,,1.0,,,0.0,6.0,85.0,GEORGINA,2026-07-01,,,2024-07-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
5.0,BETAMETASONA 8 MGS AMP 2 ML ERISPAN MEXICO,1.0,,,,,,,,,,,,1.0,-1.0,65.0,TAPACH,2026-05-01,3.0,4.0,2025-03-01,,,,,0.0,0.0,0.0,0.0
6.0,BRONCOTOS ( CARB+CLORFE+DEXTRO) FCO 120 ML GEBEQUIMIC,3.0,,,,,,,,1.0,,,,2.0,8.0,55.0,SOLER,2026-11-01,0.0,,2025-02-01,1.0,,1.0,3.0,5.0,1.25,5.0,10.0
7.0,"BUDENA 0,5 MG AMPOLLA CAJA X 5",5.0,,,,,,,,,,,,5.0,25.0,38.0,HOSPIGEN ,2026-09-01,1.0,,2025-02-01,6.0,1.0,7.0,1.0,15.0,3.75,15.0,30.0
8.0,"CALLOSOL LIQUIDO (CALLOS, VERRUGAS Y MEZQUIINOS)",2.0,,,,,,,,,,,,2.0,4.0,30.0,B PRECIO,2027-12-01,4.0,,2024-07-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
9.0,CEREBREX CAPSULA BLIST X 10 CAJA X 60,1.0,,,,,,,,,,,,1.0,7.0,20.0,SOLER,2025-06-01,,,2023-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
10.0,CETAMIN CC BLISTER X 10 LAPRIN,49.0,,,,,,,,,,,,49.0,-19.0,7.0,CELIA,2026-07-01,,,2021-08-01,3.0,10.0,1.0,1.0,15.0,3.75,15.0,30.0
11.0,CITRATO DE MAGNESIO FCO DE 60 CAPSULAS,1.0,,,,,,,,,,,,1.0,5.0,110.0,TAPACH,2027-07-01,11.0,,2024-12-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
12.0,CLEVIUM DEXKETOPROFENO 25 MG X 10 TAB,89.0,13.0,,,,,10.0,,,,8.0,,58.0,240.0,4.5,CELIA,2028-05-01,13.0,,2025-01-01,21.0,47.0,21.0,60.0,149.0,37.25,149.0,298.0
13.0,CLEVIUM DEXKETOPROFENO 50 MG AMPOLLA,11.0,,,,,,,,,,,,11.0,7.0,17.0,CELIA,2028-04-01,0.0,,2025-01-01,4.0,1.0,3.0,1.0,9.0,2.25,9.0,18.0
14.0,CLORURO DE MAGNESIO 100 GRAMOS QUIMICA U,1.0,,,,,,,,,,,,1.0,9.0,25.0,QUIMICA UN,2026-01-01,0.0,,2024-11-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
