No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE AJENJO 30 ML 1 ONZ ,3.0,4.75,12.0,0.6041666666666666,14.25,36.0
2,ACEITE DE ALMENDRAS 30 ML,3.0,4.75,9.0,0.4722222222222222,14.25,27.0
3,ACEITE DE NERVINO 30 ML,2.0,4.5,8.0,0.4375,9.0,16.0
4,ACEITE MINERAL 60 ML,2.0,5.75,10.0,0.425,11.5,20.0
5,ACETONA 120 ML PURA,6.0,7.5,15.0,0.5,45.0,90.0
6,ACETONA 60 ML PURA,5.0,5.5,10.0,0.45,27.5,50.0
7,ACHICORIA JBE 30 ML,2.0,4.25,12.0,0.6458333333333334,8.5,24.0
8,AGUA DE ROSAS 120 ML,0.0,4.25,8.0,0.46875,0.0,0.0
9,AÑILINA 1 GR CARTON X 9 0 UNID,71.0,0.79,1.5,0.47333333333333333,56.09,106.5
10,AÑILINA AMARILLA ,19.0,0.79,1.5,0.47333333333333333,15.010000000000002,28.5
11,AÑILINA CELESTE ,20.0,0.79,1.5,0.47333333333333333,15.8,30.0
12,AÑILINA CORINTA ,0.0,0.79,1.5,0.47333333333333333,0.0,0.0
13,AÑILINA NEGRA,17.0,0.79,1.5,0.47333333333333333,13.43,25.5
14,AÑILINA ROJA ,13.0,0.79,1.5,0.47333333333333333,10.27,19.5
15,AÑILINA ROSADA ,0.0,0.79,1.5,0.47333333333333333,0.0,0.0
16,AÑILINA TURQUESA ,1.0,0.79,1.5,0.47333333333333333,0.79,1.5
17,AÑILINA VERDE ,16.0,0.79,1.5,0.47333333333333333,12.64,24.0
18,AZUCAR DE ANIZ 1 ONZA,6.0,2.0,3.5,0.42857142857142855,12.0,21.0
19,AZUCAR DE LECHE 1 ONZ ,5.0,4.75,8.0,0.40625,23.75,40.0
20,AZUFRE SUBLIMADO POLVO 1 ONZ,1.0,2.25,4.0,0.4375,2.25,4.0
21,BICARBONATO DE SODIO LIBRA,0.0,8.4,16.0,0.475,0.0,0.0
22,BORAX 1 ONZ,6.0,2.25,4.0,0.4375,13.5,24.0
23,COLOR VEGETAL AMARILLO CARTON X 24,16.0,0.72,1.5,0.52,11.52,24.0
24,COLOR VEGETAL ANARANJADO,25.0,0.72,1.5,0.52,18.0,37.5
25,COLOR VEGETAL AZUL,22.0,0.72,1.5,0.52,15.84,33.0
26,COLOR VEGETAL CAFÉ,1.0,0.72,1.5,0.52,0.72,1.5
27,COLOR VEGETAL CELESTE,13.0,0.72,1.5,0.52,9.36,19.5
28,COLOR VEGETAL CORINTO,19.0,0.72,1.5,0.52,13.68,28.5
29,COLOR VEGETAL FUSIA,2.0,0.72,1.5,0.52,1.44,3.0
30,COLOR VEGETAL MORADO,15.0,0.72,1.5,0.52,10.799999999999999,22.5
31,COLOR VEGETAL NEGRO,19.0,0.72,1.5,0.52,13.68,28.5
32,COLOR VEGETAL ROJO,5.0,0.72,1.5,0.52,3.5999999999999996,7.5
33,COLOR VEGETAL ROSADO,13.0,0.72,1.5,0.52,9.36,19.5
34,COLOR VEGETAL TURQUESA,4.0,0.72,1.5,0.52,2.88,6.0
35,COLOR VEGETAL VERDE,23.0,0.72,1.5,0.52,16.56,34.5
36,CREOLINA COMERCIAL 120 ML,2.0,6.5,14.0,0.5357142857142857,13.0,28.0
37,CREOLINA COMERCIAL 240 ML,1.0,9.0,20.0,0.55,9.0,20.0
38,CREOLINA COMERCIAL 500 ML,2.0,14.0,25.0,0.44,28.0,50.0
39,ENVASES DE PLASTICO 120ML ,3.0,1.25,3.0,0.5833333333333334,3.75,9.0
40,ESENCIA DE CLAVO  30 ML,2.0,27.0,40.0,0.325,54.0,80.0
41,GLICERINA 22 ML ,0.0,4.0,8.0,0.5,0.0,0.0
42,GLICERINA LIQUIDA 38 ML,3.0,7.0,15.0,0.5333333333333333,21.0,45.0
43,MERCURIO CROMO 30 ML,3.0,7.5,14.0,0.4642857142857143,22.5,42.0
44,MERCURIO CROMO 2% SPRAY 120 ML,2.0,8.0,17.0,0.5294117647058824,16.0,34.0
45,NEFTALINA  BOLSA X 5 UNIDADES,9.0,1.0,4.0,0.75,9.0,36.0
46,POMADA DE SULFATIAZOL 1 ONZA ,4.0,4.25,10.0,0.575,17.0,40.0
47,RUIBARBO TINTURA 30 ML,2.0,3.75,9.0,0.5833333333333334,7.5,18.0
48,SIETE ESPIRITUS 30 ML ,2.0,4.25,10.0,0.575,8.5,20.0
49,SODA CAUSTICA EN ESCAMAS LIBRA,2.0,9.75,24.0,0.59375,19.5,48.0
50,SOLUCION DE IBITANE AL 5% FCO  120 ML,5.0,5.35,10.0,0.465,26.75,50.0
51,THIMEROSAL 120 ML SPRAY,2.0,10.0,18.0,0.4444444444444444,20.0,36.0
52,THIMEROSAL 30 ML,2.0,7.75,14.0,0.44642857142857145,15.5,28.0
53,VASELINA BLANCA 1 ONZA,0.0,3.75,7.0,0.4642857142857143,0.0,0.0
54,VASELINA BLANCA 58 GRS,2.0,7.0,13.0,0.46153846153846156,14.0,26.0
55,VIOLETA DE GENCIANA SOLUCION 2% 30 ML,2.0,5.75,10.0,0.425,11.5,20.0
56,,0.0,,,,0.0,0.0
57,,,,,,0.0,0.0
58,,,,,,0.0,0.0
59,,,,,,749.47,1483.0
60,,,,,,,
61,,,,,,,733.53
62,,,,,,,0.4946257585974376
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
