No,ARTICULO NO SISTEMA ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PP,FECHA DE VENCIMIENTO,BODEGA,FECHA DE COMPRA
1,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,2.0,,,,,,,,,,,,2.0,8.0,,,
2,ANARA CAJA X 50 SOBRES BLIST X 4,38.0,,,,,,,,,,,,38.0,2.0,,,2022-02-01
3,BABY STAR SHAMPOO BURBUJA ,19.0,,,,,,,,,,,,19.0,1.0,,,
4,BLOQUEADOR SUN CREAM SOLAR 130 ML,1.0,,,,,,,,,,,,1.0,80.0,2027-11-01 00:00:00,0.0,2024-02-01
5,BROMUTIL (BROMURO DE OTILONIO)  BLIST X 10,9.0,,,,,,,,,,,,9.0,20.0,2025-01-01 00:00:00,,
6,BRONCO-GRIP TOS ,27.0,,,,,,,,,,,,27.0,1.8,2026-11-01 00:00:00,,2023-12-01
7,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,1.0,,,,,,,,,,,,1.0,5.0,,,
8,CARDIO MARIANO FCO X 60 (PROTECTOR HIGADO),1.0,,,,,,,,,,,,1.0,78.0,2027-12-01 00:00:00,,2023-03-01
9,CEPILLO COLGATE PLUS 2 X 1,1.0,,,,,,,,,,,,1.0,10.0,,0.0,2022-09-01
10,CEPILLO DENTAL DENTITO,6.0,,,,,,2.0,,,,,,4.0,4.0,,8.0,2022-08-01
11,CEPILLO DURA CLEAN ECONOMICO,2.0,,,,,,,,,,,,2.0,8.0,,,2022-11-01
12,CEPILLO ORAL SUAVE SUAVE 35,1.0,,,,,,,,,,,,1.0,5.0,,3.0,
13,CITOCOL AZUL No 43,1.0,,,,,,,,,,,,1.0,10.0,,,
14,CREMA ALOE VERA 150 ML,1.0,,,,,,,,,,,,1.0,25.0,,,
15,CREMA LUBRIDERM 1.5 LT,1.0,,,,,,,,,,,,1.0,150.0,,,
16,CREMA TEATRICAL ACLARADORA 100 GRS,1.0,,,,,,,,,,,,1.0,23.0,,0.0,2022-12-01
17,CREMA TEATRICAL ANTI ARRUGAS 100 GRS,1.0,,,,,,,,,,,,1.0,23.0,2026-03-01 00:00:00,0.0,2021-07-01
18,DESENFRIOL-ITO PLUS CAJA X 24 TABLETAS MASTICABLES,18.0,,,,,,,,,,,,18.0,2.0,0.5,,2024-01-01
19,DESODORANTE GILLETTE GEL H 82 GRS,2.0,,,,,,,,,,,,2.0,35.0,,,
20,DESODORANTE LADY SPEED ,2.0,,,,,,,,,,,,2.0,25.0,,,
21,DESODORANTE NIVEA MUJER BARRA,1.0,,,,,,,,,,,,1.0,30.0,2025-07-01 00:00:00,,2022-02-01
22,DESODORANTE NIVEA SPRAY HOMBRE150 ML,2.0,,,,,,,,,,,,2.0,22.0,2025-07-01 00:00:00,0.0,2024-01-01
23,DESODORANTE REXONA BARRA CLINICAL MUJER,2.0,,,,,,,,,,,,2.0,33.0,,2.0,
24,DESODORANTE REXONA BARRA MUJER,2.0,,,,,,,,,,,,2.0,25.0,,,
25,DEXA NEUROTROPAS X 3 DOSIS,1.0,1.0,,,,,,,,,,,0.0,40.0,2026-02-01 00:00:00,,
26,DOLOFIN DISP X 100,16.0,,,,,,,,,,,,16.0,1.0,,,
27,ETORICOXIB 60 MG CAJA X 10 TAB CAPLIN,4.0,,,,,,,,,,,,4.0,6.0,,0.0,2022-07-01
28,GLUCOSAMINA+CONDROITINA3 BLIST X 10 CONAMEP,3.5,,,,,,,,,,,,3.5,20.0,2025-01-01 00:00:00,0.0,2022-10-01
29,HILO DENTAL ALL NATURALE,1.0,,,,,,,,,,,,1.0,12.0,,,
30,IBUPROFENO 800 GELCAPS ARGUS BLIST X 10 CAJA X 100,0.0,,,,,,,,,,,,0.0,15.0,2028-08-01 00:00:00,,2024-11-01
31,JABON CONSENTIDO 100 GRS,2.0,,,,,,,,,,,,2.0,8.0,,1.0,2021-04-01
32,JABON PTT 100 GRS,3.0,,,,,,,,,,,,3.0,8.0,,4.0,2022-05-01
33,LAGRIMAS OCULARES SIN CAJA,3.0,,,,,,,1.0,,,,,2.0,22.0,,,
34,LICOPODIO BOLSA X 32 SOBRES DISFAVIL,7.0,,,,,,,,,,,,7.0,5.0,,,
35,MICROGYNON CAJA X 21,1.0,,,,,,,,,,,,1.0,150.0,2026-11-01 00:00:00,,2025-03-01
36,"NERVISEL 10,000 KIT",1.0,,,,,,,,,,,,1.0,10.0,2024-09-01 00:00:00,,2022-03-01
37,"PACHA 2,5 ONZAS BABY FEEDING BOTTLE y FARLIN",1.0,,,,,,,,,,,,1.0,8.0,,0.0,2018-11-01
38,RAID CASA JARDIN ,1.0,,,,,,,,,,,,1.0,29.0,,1.0,2024-09-01
39,RIÑODREM FCO 100 TABS,1.0,,,,,,,,,,,,1.0,40.0,2025-12-01 00:00:00,,2022-08-01
40,S.C.I.40 MG  BLISTER X 5 CAJA X 20,24.0,,,,,,,,,,,,24.0,6.0,,,
