No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE COCO 120 ML ,3.0,17.65,29.0,0.39137931034482765,52.949999999999996,87.0
2,AFLAC GOTAS PEDIATRICAS 15 ML  (DICLOFENACO),3.0,16.95,29.0,0.41551724137931034,50.849999999999994,87.0
3,AGUA FLOLORIDA 4 ROSAS VESA  FCO 70 ML,2.0,2.2,4.0,0.44999999999999996,4.4,8.0
4,AGUA OXIGENADA 480 ML LA ENFERMERITA,3.0,5.57,10.0,0.44299999999999995,16.71,30.0
5,ALCANFOR PURO POLVO LATA 3 GRS DISFAVIL,2.0,2.35,5.0,0.53,4.7,10.0
6,ALCOHOL GEL 60 GRS (FQUIMICA),1.0,9.95,15.0,0.3366666666666667,9.95,15.0
7,ALFER NICOL UNGÜENTO TUBO 5 GRS,2.0,32.25,53.0,0.3915094339622642,64.5,106.0
8,AMOXI+CLAVU SUSP 312.5MG/5ML 60 ML BALAXI,2.0,11.25,20.0,0.4375,22.5,40.0
9,AMOXICILINA + ACIDO CLAVULANICO IV 1.2 VIAL 20ML ,3.0,34.95,59.0,0.40762711864406775,104.85000000000001,177.0
10,AMOXIPLUS 1 G (AMOXI+CLAV) BALAXI CJ X 14 BLIST X 7,9.0,16.795,30.0,0.4401666666666666,151.15500000000003,270.0
11,AMPICILINA+SULBACTAM 1.5 G POLVO P/SOL INYEC,6.0,5.45,22.0,0.7522727272727273,32.7,132.0
12,ANESTEVIL GOTAS 5 ML (ANESTESICO LOCAL),1.0,11.75,20.0,0.4125,11.75,20.0
13,ARNICA + MANZANILLA GEL 120 ML ,0.0,13.98,24.0,0.4175,0.0,0.0
14,ARNICA GEL 120 ML,2.0,8.75,17.0,0.4852941176470588,17.5,34.0
15,ARNIDOL POMADA ARNICA 12 GRS,3.0,9.14,15.0,0.3906666666666666,27.42,45.0
16,ARTROSIL (GLUCOSAMINA + CONDROITINA ),0.0,9.75,16.0,0.390625,0.0,0.0
17,BAJA LENGUAS  DE MADERA CAJA X 100,84.0,0.139,0.25,0.44399999999999995,11.676000000000002,21.0
18,BALSAMICO DEL DEPORTISTA LATA 12 GRS,2.0,5.65,9.0,0.3722222222222222,11.3,18.0
19,BISMUTO BEBIBLE CAJA X 10 UNIDOSIS HIPER,5.0,3.08,5.0,0.384,15.4,25.0
20,CARDIOVITAL CAJA X 60 BLISTER X 10,4.0,13.0,20.0,0.35,52.0,80.0
21,CEFIXIMA 400 MG CAJA X 10 TAB ,2.0,46.75,80.0,0.415625,93.5,160.0
22,CEFTRIAXONA 1G VITALIS VIAL INY,7.0,8.94,17.0,0.47411764705882353,62.58,119.0
23,CERENERVOL CJ X 10 AMP BEBIBLES,2.0,59.95,102.0,0.4122549019607843,119.9,204.0
24,CIRUELA SEN CAJA X 15 H & V,35.0,1.22,2.333,0.47706815259322766,42.699999999999996,81.655
25,COLIVERIO PLUS CJ X30 CAPS  BLIST X 5,20.0,4.665,7.0,0.3335714285714286,93.3,140.0
26,DIPRONOVA 1 ML AMP,6.0,31.97,57.0,0.43912280701754386,191.82,342.0
27,ESENCIA DE CLAVO 15 ML DISFAVIL ,2.0,21.0,32.0,0.34375,42.0,64.0
28,ESOMEPRAZOL 40 MG IV AMPOLLA LOTUS BALAXI,4.0,10.77,30.0,0.641,43.08,120.0
29,FERULA TIPO BASBALL TALLA M,1.0,18.95,32.0,0.4078125,18.95,32.0
30,FERULA TIPO RANITA TALLA M,1.0,18.75,32.0,0.4140625,18.75,32.0
31,FUROSEMIDA 10 MG ML AMP BALAXI,4.0,1.2,4.0,0.7,4.8,16.0
32,GLIMEPIRIDA 4 MG BLISTER X 10 WASHINGTON,14.0,4.0,7.0,0.42857142857142855,56.0,98.0
33,GLORANTA JENGIBRE- MENTA CAJA X 25 SOB X 4,38.0,7.398,12.0,0.3835,281.12399999999997,456.0
34,GLORANTA MIEL MENTA  CAJA X 25 SOB X 4,21.0,7.4,12.0,0.3833333333333333,155.4,252.0
35,JERINGA 20 CC X 21 X 1 1/2,0.0,1.95,3.0,0.35000000000000003,0.0,0.0
36,JERINGA 60 ML SIN AGUJA  ALFA,0.0,2.25,6.0,0.625,0.0,0.0
37,KURAX (LEVAMISOL HCI) ,0.0,12.4,21.0,0.4095238095238095,0.0,0.0
38,LIDOCAINA 2 % C/PRESERVANTE VIAL 50 ML LOTUS,1.0,8.65,18.0,0.5194444444444444,8.65,18.0
39,MANTECA DE CACAO MENTOLADA LATA ,2.0,9.95,16.0,0.37812500000000004,19.9,32.0
40,MASCARILLA NEBULIZAR  (NEONATO) OPERSON,1.0,13.95,29.0,0.5189655172413793,13.95,29.0
41,MASCARILLA NEBULIZAR  (NIÑO) OPERSON,1.0,15.97,29.0,0.4493103448275862,15.97,29.0
42,MASCARILLA NEBULIZAR (ADULTO) OPERSON,1.0,13.95,29.0,0.5189655172413793,13.95,29.0
43,METOCLOPRAMIDA 10 MG CJX100 TAB BLIST X 10,7.8,1.1,18.0,0.9388888888888888,8.58,140.4
44,MINISEC 1GM SOBRE BEBIBLE 5ML(SUCRALFATO),9.0,3.65,6.0,0.39166666666666666,32.85,54.0
