No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ANARA SOLUCION GOTAS 20ML,2.0,50.03,68.0,0.2642647058823529,100.06,136.0
2,ASPIRINA FORTE CAJA X 100 BLIST X 10 ,70.0,0.76,1.0,0.24,53.2,70.0
3,BRONCODIL GOTAS DE 30 ML,2.0,43.46,59.0,0.2633898305084746,86.92,118.0
4,BRONCODIL JBE. 120ML,2.0,59.14,79.0,0.25139240506329114,118.28,158.0
5,CHOCOLATES GRANDES,4.0,7.5,10.0,0.25,30.0,40.0
6,CHOCOLATES PEQUEÑOS,140.0,0.91,1.25,0.27199999999999996,127.4,175.0
7,DESODORANTE GILLET GEL 107 GRS,2.0,35.0,46.0,0.2391304347826087,70.0,92.0
8,DEXA NEUROBION JER  PRELL,0.0,75.3,105.0,0.28285714285714286,0.0,0.0
9,DOLO KALORUB LINIM SPRAY 180 ML,1.0,28.0,40.0,0.3,28.0,40.0
10,FERRIDOCE JBE 240ML,1.0,40.8,55.0,0.25818181818181823,40.8,55.0
11,GLUCOSORAL 450 ML CEREZA,2.0,16.5,22.0,0.25,33.0,44.0
12,GLUCOSORAL 450 ML COCO,0.0,16.5,22.0,0.25,0.0,0.0
13,GLUCOSORAL 450 ML FRAMBUESA,2.0,16.5,22.0,0.25,33.0,44.0
14,GLUCOSORAL 450 ML MANZANA,2.0,16.5,22.0,0.25,33.0,44.0
15,GLUCOSORAL 450 ML MELOCOTON,2.0,16.5,22.0,0.25,33.0,44.0
16,GLUCOSORAL 450 ML UVA,0.0,16.5,22.0,0.25,0.0,0.0
17,HIPOPRESS GOTAS 20 ML,1.0,50.71,72.0,0.2956944444444444,50.71,72.0
18,LECHE DE MAGNESIA PHILIPS 120 ML,2.0,29.47,38.0,0.22447368421052635,58.94,76.0
19,LEVUSOL 500 ML CEREZA,4.0,16.5,22.0,0.25,66.0,88.0
20,LEVUSOL 500 ML COCO,1.0,16.5,22.0,0.25,16.5,22.0
21,LEVUSOL 500 ML MANZANA,2.0,16.5,22.0,0.25,33.0,44.0
22,LEVUSOL 500 ML PIÑA,1.0,16.5,22.0,0.25,16.5,22.0
23,M & M,2.0,7.5,10.0,0.25,15.0,20.0
24,METHYCOBAL 500 MG BLIST X 10 TAB ,21.0,4.9,6.5,0.2461538461538461,102.9,136.5
25,MILORIX CREMA HEMORROIDAL 20MG ,1.0,66.0,89.0,0.25842696629213485,66.0,89.0
26,MOMMEX SPRAY NASAL 18G/18ML 140 DOSIS,1.0,217.64,290.0,0.2495172413793104,217.64,290.0
27,PANADOL MULTISINTOMAS CAJA X 8 SOBRES,1.0,27.0,37.0,0.2702702702702703,27.0,37.0
28,PASTA COLGATE TOTAL 12   150 ML,2.0,22.08,29.0,0.23862068965517247,44.16,58.0
29,PRELONE 20 MGS CAJA X 10 ,0.0,0.0,0.0,,0.0,0.0
30,REUMETAN CREMA 30 GRS. TUBO ,0.0,22.75,35.0,0.35,0.0,0.0
31,S.C.I.40 MG  BLISTER X 5 CAJA X 20,0.0,4.15,6.0,0.3083333333333333,0.0,0.0
32,S.S.N. GOTAS,1.0,27.0,35.0,0.22857142857142856,27.0,35.0
33,S.S.N. SPRAY NASAL 50 ML,1.0,52.0,69.0,0.2463768115942029,52.0,69.0
34,SKITTLES,0.0,8.0,11.0,0.2727272727272727,0.0,0.0
35,SUKROL VIGOR MUJER X 30 TABS,1.0,49.2,65.0,0.24307692307692302,49.2,65.0
36,TOALLA HUMEDA FAMILY CHOICE,0.0,8.6,13.0,0.3384615384615385,0.0,0.0
37,TOALLA HUMEDA POM POM X 80,3.0,7.67,11.0,0.30272727272727273,23.009999999999998,33.0
38,VICK INHALADOR,4.0,17.92,25.0,0.28319999999999995,71.68,100.0
39,VITAFLENACO 25 MG CAJA X 30 BLISTER X 15,140.0,1.08,1.5,0.27999999999999997,151.20000000000002,210.0
40,VITAL FUERTE H3 X 30,1.0,45.4,59.0,0.23050847457627122,45.4,59.0
41,,0.0,,,,1920.5000000000002,2585.5
42,,0.0,,,,,
43,,,,,,,664.9999999999998
44,,,,,,,
45,,,,,,,0.25720363566041377
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
