No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ABREXIL SUSP 120ML,3.0,20.4,45.0,0.5466666666666667,61.199999999999996,135.0
2,ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,3.0,10.0,18.0,0.4444444444444444,30.0,54.0
3,ACETAMINOFEN JBE 120 ML SELEC,6.0,8.0,13.0,0.38461538461538464,48.0,78.0
4,ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,2.0,10.18,20.0,0.491,20.36,40.0
5,ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,10.0,6.025,12.0,0.4979166666666666,60.25,120.0
6,ACICLOVIR 5% CREMA 10 GMS SELEC,4.0,5.15,9.0,0.42777777777777776,20.6,36.0
7,ACICLOVIR 5% CREMA 15 GMS CAPLIN,3.0,6.6,11.0,0.4,19.799999999999997,33.0
8,ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,9.0,2.25,5.0,0.55,20.25,45.0
9,AGUA DESTILADA PARA INYE 10 ML PROMEGAL,16.0,1.2,2.5,0.52,19.2,40.0
10,AGUA OXIGENADA 3% SOL LORALVA 120 ML,15.0,1.1,2.0,0.44999999999999996,16.5,30.0
11,ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,5.0,4.65,8.0,0.41874999999999996,23.25,40.0
12,ALCOHOL 120 ML ENFERMERITA 50 %,10.0,1.5,2.5,0.4,15.0,25.0
13,ALERMINE CORT CAJA X 10 TABS,19.0,5.8,10.0,0.42000000000000004,110.2,190.0
14,ALERMINE CORT JBE 60 ML,1.0,38.6,65.0,0.40615384615384614,38.6,65.0
15,AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,2.0,35.1,59.0,0.40508474576271186,70.2,118.0
16,AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,2.0,43.15,72.0,0.40069444444444446,86.3,144.0
17,AMOXICILINA 250 MG/ 120 ML SELECT,5.0,8.6,19.0,0.5473684210526316,43.0,95.0
18,AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,0.0,11.5,22.5,0.4888888888888889,0.0,0.0
19,ANTIGRIP SOBRE X 4 TAB DISP X 100 ,8.0,3.44,6.0,0.4266666666666667,27.52,48.0
20,ANTIGRIPITO INFANIL JBE 60 ML,0.0,16.8,29.0,0.42068965517241375,0.0,0.0
21,ANTIGRIPITO SOBRE X 4 TAB DISP X 100,5.0,2.51,4.5,0.4422222222222223,12.549999999999999,22.5
22,ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,2.0,27.28,47.0,0.41957446808510634,54.56,94.0
23,AZITROMICINA 500 MGS CAJA X 3 UMEDICA,7.0,6.65,15.0,0.5566666666666666,46.550000000000004,105.0
24,AZITROMICINA 500 MGS CAJA X 5 SELECT,5.0,15.8,27.0,0.4148148148148148,79.0,135.0
25,BABY OR NOT PRUEBA DE EMBARAZO DISMEV,6.0,4.5,10.0,0.55,27.0,60.0
26,BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,3.0,13.05,23.0,0.43260869565217386,39.150000000000006,69.0
27,BIFONEX  CREMA 1% 15G SELEC TUBO,2.0,19.9,34.0,0.4147058823529412,39.8,68.0
28,BIFONEX  SPRAY 1% 40 G SELEC,1.0,35.3,59.0,0.40169491525423734,35.3,59.0
29,BISALEX LAXANTE BLISTER X 10,39.0,0.6,1.0,0.4,23.4,39.0
30,BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,9.0,0.84,1.67,0.49700598802395207,7.56,15.03
31,BROMURO DE OTILONIO CAJA X 30 BLIST X 15,33.0,2.335,3.8,0.38552631578947366,77.05499999999999,125.39999999999999
32,BRONCOMAT 15 ML SOL/PARA RAESPIRAR,3.0,35.0,58.0,0.39655172413793105,105.0,174.0
33,BRONCUROL NF BLIST X 10 TABS,90.0,1.26,2.5,0.496,113.4,225.0
34,CALAMINA LOCION 100ML CAPLIN,2.0,7.8,14.0,0.4428571428571429,15.6,28.0
35,CEFADROXILO 250MG/60ML SUS SELEC,5.0,12.55,22.0,0.4295454545454545,62.75,110.0
36,CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,5.0,8.67,15.0,0.422,43.35,75.0
37,CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,2.0,32.4,52.0,0.37692307692307697,64.8,104.0
38,CIKRASEL 40G SPRAY,1.0,40.05,66.0,0.39318181818181824,40.05,66.0
39,CIKRASEL CREMA TUBO 30GMS,1.0,19.1,35.0,0.45428571428571424,19.1,35.0
40,CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,6.0,18.9,33.0,0.4272727272727273,113.39999999999999,198.0
41,CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,9.0,2.64,7.0,0.6228571428571428,23.76,63.0
42,CIRUELAX 75 MG BLISTER X 10  GARDEN,37.0,1.53,2.5,0.388,56.61,92.5
43,CIRUELAX FORTE CAJA X 24 BLIST X 12,44.0,2.764,4.33,0.3616628175519631,121.61599999999999,190.52
44,CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,6.0,18.75,32.0,0.4140625,112.5,192.0
45,CLORA+DEXA+NAFA GOTAS SELEC,3.0,15.7,28.0,0.43928571428571433,47.099999999999994,84.0
46,CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,4.0,13.7,24.0,0.4291666666666667,54.8,96.0
47,CLORANFENICOL 0.5% GOTAS 15 ML SELEC,2.0,8.8,16.0,0.44999999999999996,17.6,32.0
48,CLORFENIRAMINA 10 MG AMP SELEC,6.0,1.89,3.5,0.46,11.34,21.0
49,CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,4.0,1.9,4.0,0.525,7.6,16.0
50,CLORFENIRAMINA MALEATO 2MG JBE. SELECT,3.0,6.05,10.0,0.395,18.15,30.0
51,CLOROMILAN CAJA X 102,110.0,0.376,1.0,0.624,41.36,110.0
52,CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,2.0,5.65,10.0,0.43499999999999994,11.3,20.0
53,CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,2.0,3.6,9.0,0.6000000000000001,7.2,18.0
54,CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,2.0,11.7,20.0,0.41500000000000004,23.4,40.0
55,CLOTRIPLEX TUBO 15 GMS ,2.0,9.5,16.0,0.40625,19.0,32.0
56,COFAL FORTE TARRO 60 GRS ROJO,0.0,0.0,0.0,,0.0,0.0
57,COFAL TARRO 60 GRS AZUL,0.0,0.0,0.0,,0.0,0.0
58,COLAGENO CAJA X 100 CAP GEL BLISTER X 10,11.0,9.195,17.0,0.4591176470588235,101.14500000000001,187.0
59,COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,8.0,11.7,20.0,0.41500000000000004,93.6,160.0
60,COLCHICINA 0.5MG BLISTER X 10 CAPLIN,8.0,6.09,10.0,0.391,48.72,80.0
61,COLECTOR DE HECES C/PALETA 60ML,13.0,1.2,3.0,0.6,15.6,39.0
62,COLECTOR DE ORINA 120ML,11.0,1.35,3.0,0.5499999999999999,14.850000000000001,33.0
63,COLECTOR ORINA PEDIATRICO BOLSA OPERSON,2.0,1.35,3.0,0.5499999999999999,2.7,6.0
64,CROSPOVIDONA 20%  SUSP 60 ML SELEC,1.0,34.05,58.0,0.4129310344827587,34.05,58.0
65,CYCLOFEM AMPOLLA PANAL 1 ML,2.0,24.0,40.0,0.4,48.0,80.0
66,DENGUINA CAJA X 100 BLIST X 10 ,68.0,0.48,1.0,0.52,32.64,68.0
67,DEXA+NEOMICINA 1 % OFTALMICA SELEC,2.0,14.3,26.0,0.44999999999999996,28.6,52.0
68,DEXAMETASONA AMPOLLA 8 MG CAPLIN,12.0,1.92,4.0,0.52,23.04,48.0
69,DEXANERVISEL KIT ,3.0,11.4,19.0,0.39999999999999997,34.2,57.0
70,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),0.0,0.47,0.95,0.5052631578947369,0.0,0.0
71,DICLOFENACO 1% GEL TUBO 20 GR SELECT,2.0,6.7,12.0,0.44166666666666665,13.4,24.0
72,DICLOFENACO 1% GEL TUBO 25 GR BALAXI,2.0,4.8,9.0,0.4666666666666667,9.6,18.0
73,DICLOFENACO ACIDO LIBRE 9MG FCO 120 ML SELE,4.0,11.9,20.0,0.40499999999999997,47.6,80.0
74,DICLOFENACO AMPOLLA 75 MGS,17.0,0.75,4.0,0.8125,12.75,68.0
75,DICLOFENACO POT 50 MGS BLIST X 10 CAJA X 100 SELEC,35.0,1.26,2.5,0.496,44.1,87.5
76,DOLOFOR 500 MGS (DIPIRONA MAGNESICA) BLIST X 10,2.0,1.12,2.0,0.43999999999999995,2.24,4.0
77,DOLONERVISEL BLIST X 10 CAJA X 100,10.0,6.52,11.0,0.4072727272727273,65.19999999999999,110.0
78,DROPA GEL (KETOPROFENO 2.5%) 50G,1.0,21.15,40.0,0.47125000000000006,21.15,40.0
79,EFFCEE + ZINC  CAJA X 12 TAB. SOBRE X 4,2.0,9.6,18.0,0.4666666666666667,19.2,36.0
80,ENALAPRIL 10 MGS BLISTER X 20  CAJA X 100 SELEC,11.0,3.52,8.0,0.56,38.72,88.0
81,ENALAPRIL 20 MG BLISTER X 10 CAJA X 100  CAPLIN,24.0,1.85,3.5,0.4714285714285714,44.400000000000006,84.0
82,ESOMEPRAZOL 40 MG BLIS X 10  CAJA X 100 BALAXI,9.0,4.5,20.0,0.775,40.5,180.0
83,EX -FLU ANTIGRIPAL GOTAS 30ML SELEC,2.0,14.15,25.0,0.434,28.3,50.0
84,EX -FLU TOS 120 ML SELEC,5.0,24.55,41.0,0.4012195121951219,122.75,205.0
85,EXFLU AMPOLLA PANAL SELEC ,5.0,4.21,8.0,0.47375,21.05,40.0
