No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,BACAOLINA JARABE 480 ML,1.0,25.0,47.0,0.46808510638297873,25.0,47.0
2,BOLSA HORINA P/PIERNA,2.0,9.1,15.0,0.39333333333333337,18.2,30.0
3,CABESTRILLO  L,1.0,39.85,68.0,0.4139705882352941,39.85,68.0
4,CABESTRILLO S Y M,2.0,40.925,68.0,0.3981617647058824,81.85,136.0
5,CURITAS CAJA X 100 CUREFAST,2.0,10.0,17.0,0.4117647058823529,20.0,34.0
6,ESPARADRAPO 1/2,2.0,8.0,13.0,0.38461538461538464,16.0,26.0
7,ESPARADRAPO DE 1,0.0,15.0,25.0,0.4,0.0,0.0
8,GASA SIMPLE ESTERIL CAJA X 100 SOBRES,83.0,0.68,1.25,0.45599999999999996,56.440000000000005,103.75
9,GELPROFEN 600 MG CJ X50 CAPS,9.0,5.6,12.0,0.5333333333333333,50.4,108.0
10,GUANTES ESTERILES CAJA X 50 ,46.0,3.95,7.0,0.43571428571428567,181.70000000000002,322.0
11,HOJA DE BISTURI No 21,0.0,0.85,3.0,0.7166666666666667,0.0,0.0
12,HOJA DE BISTURI No 22,2.0,0.85,3.0,0.7166666666666667,1.7,6.0
13,HOJA DE BISTURI No 24,4.0,0.85,3.0,0.7166666666666667,3.4,12.0
14,KETOC (KETOCONAZOL OVULOS ) X 3 U,2.0,37.95,65.0,0.4161538461538461,75.9,130.0
15,LIGADURA PARA TORNIQUETE,3.0,4.75,8.0,0.40625,14.25,24.0
16,METHYCOBAL KIT INYEC,4.0,10.0,25.0,0.6,40.0,100.0
17,MIXAGRIP  GOTAS PEDIATRICAS 15 ML,0.0,8.0,14.0,0.42857142857142855,0.0,0.0
18,PERILLA DE HULE (SACA MOCOS) No 1,2.0,9.1,16.0,0.43125,18.2,32.0
19,REDECILLA NEGRA,3.0,1.35,2.5,0.45999999999999996,4.050000000000001,7.5
20,ROCEFORT (CEFTRIAXONA) 1 GRAMO,13.0,20.81,45.0,0.5375555555555556,270.53,585.0
21,SERTAL GOTAS 20 ML,2.0,20.0,50.0,0.6,40.0,100.0
22,SUKROL NIÑO JARABE 240 ML,0.0,12.0,25.0,0.52,0.0,0.0
23,SUTURA NYLON NEGRA No 3-0,3.0,17.5,30.0,0.4166666666666667,52.5,90.0
24,SUTURA SEDA NEGRA No 3-0,8.0,17.5,30.0,0.4166666666666667,140.0,240.0
25,VITABALANCE FEM CAJA X 40 GOMITAS,1.0,30.0,70.0,0.5714285714285714,30.0,70.0
26,VITABALANCE KIDS CAJA X 60 GOMITAS,1.0,30.0,70.0,0.5714285714285714,30.0,70.0
27,,,,,,0.0,0.0
28,,,,,,0.0,0.0
29,,,,,,1209.97,2341.25
30,,,,,,,
31,,,,,,,1131.28
32,,,,,,,
33,,,,,,,0.483194874532835
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
