No,ARTICULO   TIAENDA,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE COCO  SAN LUCAS 450 ML,2.0,40.0,65.0,0.38461538461538464,80.0,130.0
2,ACETONA 100 ML DAROSA,3.0,4.33,9.0,0.5188888888888888,12.99,27.0
3,ACETONA 60 ML DAROSA,4.0,3.0,5.0,0.4,12.0,20.0
4,ALMENDRA ENTERA BOLSITA,4.0,4.65,10.0,0.5349999999999999,18.6,40.0
5,ALMENDRA RAYADA BOLSITA,6.0,6.16,10.0,0.384,36.96,60.0
6,ARANDANOS BOLSA,3.0,5.0,10.0,0.5,15.0,30.0
7,BATERIA RAYOVAC DOBLE A X 6,6.0,3.34,5.5,0.39272727272727276,20.04,33.0
8,BATERIA RAYOVAC TRIPLE A X 6,6.0,2.5,5.5,0.5454545454545454,15.0,33.0
9,BLOQUADOR SOLAR RADICAL F60 120 GRS,1.0,47.5,80.0,0.40625,47.5,80.0
10,BLOQUEADOR INSIGNIS SOLAR 70 GRS,3.0,17.0,30.0,0.43333333333333335,51.0,90.0
11,CHICLE TRIDENT,8.0,5.45,10.0,0.45499999999999996,43.6,80.0
12,CHICLES BUBA BUBA METRO,2.0,8.32,14.0,0.4057142857142857,16.64,28.0
13,CHISPITAS DE CHOCOLATES ,4.0,6.0,12.0,0.5,24.0,48.0
14,CHOCOLATE HERSHEYS BLANCO PEQ,19.0,1.01,1.5,0.32666666666666666,19.19,28.5
15,CHOCOLATES KISSES ,4.0,3.33,5.0,0.33399999999999996,13.32,20.0
16,CORTA UÑAS CORONA MEDIANA CAJA X 12,8.0,3.08,16.0,0.8075,24.64,128.0
17,CREMA BABY HERER 8 ONZ,1.0,8.75,14.0,0.375,8.75,14.0
18,CREMA DIABETEX  TX 400 ML,1.0,60.0,98.0,0.3877551020408163,60.0,98.0
19,CREMA GOICOCHEA ARNICA Y MANZANAILLA 400 ML,0.0,40.0,68.0,0.4117647058823529,0.0,0.0
20,CREMA GOICOCHEA DOBLE MENTOL,0.0,45.0,73.0,0.3835616438356164,0.0,0.0
21,CREMA GOICOCHEA GINKO BILOBA 400 ML,1.0,40.0,68.0,0.4117647058823529,40.0,68.0
22,CREMA GOICOCHEA SERUM PIEL DESHIDRATADA 400 ML,1.0,40.0,68.0,0.4117647058823529,40.0,68.0
23,CREMA GOICOCHEA SERUM PIEL SECA 400 ML,0.0,40.0,68.0,0.4117647058823529,0.0,0.0
24,CREMA LUBRIDERM 400 ML AZUL,1.0,30.0,58.0,0.4827586206896552,30.0,58.0
25,CREMA LUBRIDERM 400 ML DORADA,1.0,40.0,63.0,0.36507936507936506,40.0,63.0
26,CREMA LUBRIDERM 400 ML MORADA,1.0,42.0,69.0,0.391304347826087,42.0,69.0
27,CREMA LUBRIDERM 400 ML PIEL SENSIBLE,1.0,35.0,58.0,0.39655172413793105,35.0,58.0
28,CREMA LUBRIDERM 400 ML ROSADA,1.0,30.0,58.0,0.4827586206896552,30.0,58.0
29,CREMA LUBRIDERM 750 ML DORADA ,1.0,75.0,121.0,0.38016528925619836,75.0,121.0
30,CREMA LUBRIDERM MORADA LT,1.0,90.0,137.0,0.34306569343065696,90.0,137.0
31,CREMA NIVEA 400 ML  MILK,1.0,30.0,49.0,0.3877551020408163,30.0,49.0
32,CREMA NIVEA 400 ML EXPRESS HYDRATATION,1.0,25.0,42.0,0.40476190476190477,25.0,42.0
33,CREMA NIVEA 400 ML SOFT MILK,1.0,30.0,49.0,0.3877551020408163,30.0,49.0
34,CREMA NIVEA LATITA 20 ML ,12.0,4.5,8.0,0.4375,54.0,96.0
35,CREMA NIVEA LITRO AZUL,1.0,65.0,98.0,0.336734693877551,65.0,98.0
36,CREMA NIVEA LITRO AZUL,1.0,60.0,88.0,0.3181818181818182,60.0,88.0
37,CREMA NIVEA TARRO 400 ML,2.0,40.8,65.0,0.37230769230769234,81.6,130.0
38,DESODORANTE DEGREE H 76 GRS,3.0,23.6,35.0,0.3257142857142857,70.80000000000001,105.0
39,DESODORANTE DEGREE M 74 GRS,3.0,19.6,30.0,0.3466666666666666,58.800000000000004,90.0
40,DESODORANTE DOVE BARRA M 50 GRS,3.0,22.5,33.0,0.3181818181818182,67.5,99.0
41,DESODORANTE DOVE SPRAY 169 ML GRANADA,1.0,21.75,33.0,0.3409090909090909,21.75,33.0
42,DESODORANTE DOVE SPRAY 169 ML ORIGINAL,1.0,21.75,33.0,0.3409090909090909,21.75,33.0
43,DESODORANTE DOVE SPRAY 169 ML TONO UNIFOR,1.0,22.5,33.0,0.3181818181818182,22.5,33.0
44,DESODORANTE NIVEA ROLL-ON  EFECTO SATIN,1.0,10.08,16.0,0.37,10.08,16.0
45,DESODORANTE NIVEA ROLL-ON BEAUTY TOUCH,1.0,10.08,16.0,0.37,10.08,16.0
46,DESODORANTE NIVEA ROLL-ON PEARL & BEAUTY,1.0,10.08,16.0,0.37,10.08,16.0
47,DESODORANTE OLD SPICE 85 GRS,4.0,25.5,38.0,0.32894736842105265,102.0,152.0
48,DESODORANTE SECRET 73 GRS MUJER,2.0,20.0,32.0,0.375,40.0,64.0
49,DULCES   MENTA,3.0,2.94,5.0,0.41200000000000003,8.82,15.0
50,DULCES JOLLY RANCHER,3.0,3.29,5.0,0.34199999999999997,9.870000000000001,15.0
51,GATITO (TAMARINDO TAJIN) CAJA X 50,4.0,0.66,1.5,0.5599999999999999,2.64,6.0
52,GOMITAS  BOLITAS AZUCAR,4.0,2.5,5.0,0.5,10.0,20.0
53,GOMITAS  FRESITAS ,4.0,2.5,5.0,0.5,10.0,20.0
54,GOMITAS  HUEVITOS ,3.0,2.5,5.0,0.5,7.5,15.0
55,GOMITAS  MANGITOS ,3.0,2.5,5.0,0.5,7.5,15.0
56,GOMITAS CULEBRITAS ,4.0,2.5,5.0,0.5,10.0,20.0
57,GOMITAS DONITAS ,3.0,2.5,5.0,0.5,7.5,15.0
58,GOMITAS MORITAS,4.0,2.5,5.0,0.5,10.0,20.0
59,GOMITAS OSITOS ,3.0,2.5,5.0,0.5,7.5,15.0
60,GOMITAS TENYS,4.0,2.5,5.0,0.5,10.0,20.0
61,GOMITAS UNICORNIO,4.0,2.5,5.0,0.5,10.0,20.0
62,GOTAS PAPILLON BOLSA X 11,2.0,8.03,14.0,0.4264285714285715,16.06,28.0
63,HALLS CAJA X 12 SABORES NEGRO ,4.0,3.06,5.0,0.388,12.24,20.0
64,HALLS CAJA X 18 SABORES,9.0,2.25,4.0,0.4375,20.25,36.0
65,HILO DENTAL ORAL B,1.0,16.67,25.0,0.33319999999999994,16.67,25.0
66,HISOPOS X 100 ,8.0,1.4,5.0,0.72,11.2,40.0
67,JABON DOVE 135 GRS,2.0,10.0,15.0,0.3333333333333333,20.0,30.0
68,LASAR MIMO TUBO 120 GRS,2.0,15.0,25.0,0.4,30.0,50.0
