No,ARTICULO   BENDICION,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACETAMINOFEN MK GOTAS FCO 30 ML,4.0,18.0,31.0,0.41935483870967744,72.0,124.0
2,ACETAMINOFEN MK JBE NIÑOS 120 MG X 60 ML ,2.0,18.3,32.0,0.428125,36.6,64.0
3,ALGODÓN ROLLO LIBRA,1.0,25.3,45.0,0.43777777777777777,25.3,45.0
4,ALKA  AD CAJA X 72,41.0,0.56,2.0,0.72,22.96,82.0
5,ANADENT CAJA  X 100 BLIST X 4,99.0,1.3,2.25,0.4222222222222222,128.70000000000002,222.75
6,ARTRI AJO KING  X 100 TAB,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
7,ARTRI KING CAJA X 100 TABS,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
8,ARTRIBION FORTE FCO X 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
9,ARTRIBION VITAMINADO BLIST X 4 CAJA X 20 SOBRES,22.0,3.25,5.0,0.35,71.5,110.0
10,AXTAR CEFTRIAXONA 1 G,3.0,30.0,60.0,0.5,90.0,180.0
11,BARMICIL  TUBO 40 GRS,6.0,13.0,26.0,0.5,78.0,156.0
12,BETA 2 PAN KIT AMPOLLA,5.0,37.3,63.0,0.407936507936508,186.5,315.0
13,BISMUTO X 100 U,96.0,0.2,0.75,0.7333333333333334,19.200000000000003,72.0
14,BROMHEXINA 120 ML JBE SELEC (EXIFLEM),6.0,7.0,12.0,0.4166666666666667,42.0,72.0
15,BRONCUROL JBE 120 ML,3.0,12.3,30.0,0.59,36.900000000000006,90.0
16,BUSCAPINA COMPUESTA BLISTER X 12 CAJA X 24,33.0,0.43,2.5,0.828,14.19,82.5
17,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,9.0,2.5,10.0,0.75,22.5,90.0
18,CALCIO + MAGNESIO VESA FCO X 100 GELCAPS,1.0,38.3,68.0,0.436764705882353,38.3,68.0
19,CANESTEN EXTRA ,2.0,15.0,45.0,0.6666666666666666,30.0,90.0
20,CARDIOASPIRINA 81 MG X 30 TAB FCO,4.0,32.3,65.0,0.5030769230769231,129.2,260.0
