No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1, ACEITE DE HIGADO X 100 SIETE MARES,2.0,24.0,37.0,0.35135135135135137,48.0,74.0
2,ACEITE DE OLIVA PREDILECTO 120 ML,5.0,4.51,8.0,0.43625,22.549999999999997,40.0
3,ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100 ,21.0,4.83,8.0,0.39625,101.43,168.0
4,AGUJA 18G X 1-1/2 ROSADA,105.0,0.28,0.5,0.43999999999999995,29.400000000000002,52.5
5,AGUJA 20G X 1 -1/2  AMARILLA,107.0,0.23,0.5,0.54,24.61,53.5
6,AGUJA 21G X 1 X 1/2 VERDE,74.0,0.23,0.5,0.54,17.02,37.0
7,AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),32.0,0.31,0.5,0.38,9.92,16.0
8,"AGUJA 23G X 1""   AZUL (NIPRO) PED",110.0,0.197,0.5,0.606,21.67,55.0
9,"AGUJA 23G X 1-1/2"" AZUL (NIPRO)",108.0,0.31,0.5,0.38,33.48,54.0
10,AGUJA 24G X 1 MORADA ,151.0,0.25,0.5,0.5,37.75,75.5
11,AGUJA 25G X 1 NARANJA X 100 NIPRO,75.0,0.23,0.5,0.54,17.25,37.5
12,AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,83.0,0.23,0.5,0.54,19.09,41.5
13,AGUJA 27G X 1/2,21.0,0.24,0.5,0.52,5.04,10.5
14,AGUJA 30G X 1/2  AMARILLA (NIPRO),31.0,0.43,1.0,0.5700000000000001,13.33,31.0
15,ALCOHOL  ELITICO LORALVA 70% 960 ML,2.0,16.79,28.0,0.4003571428571429,33.58,56.0
16,ALCOHOL ETILICO VESA 70% SPRAY 120 ML,2.0,8.65,15.0,0.4233333333333333,17.3,30.0
17,ALEVE EXTRA FUERTE X 36 TAB,19.0,1.24,2.5,0.504,23.56,47.5
18,ALEVE LQUID GELS X 24,30.0,2.25,3.75,0.4,67.5,112.5
19,ALEVE MAX CAJA X 10 TAB,22.0,2.32,3.5,0.3371428571428572,51.04,77.0
20,ALGODÓN BOLSA X 25,37.0,0.3,0.5,0.4,11.1,18.5
21,ALKA GASTRIC DISP. X 36 TAB,20.0,2.07,3.5,0.40857142857142864,41.4,70.0
22,ALKA SELTZER DISP X 60,61.0,1.01,1.5,0.32666666666666666,61.61,91.5
23,ANESTENCA TUBO X 5 ML,2.0,19.96,32.0,0.37625,39.92,64.0
24,ANESTEVIL GOTAS 5 ML (ANESTESICO LOCAL),2.0,12.4,22.0,0.43636363636363634,24.8,44.0
25,ANGIOCAT # 16,1.0,5.4,10.0,0.45999999999999996,5.4,10.0
26,ANGIOCAT # 18,5.0,5.65,10.0,0.43499999999999994,28.25,50.0
27,ANGIOCAT # 20 ,3.0,5.4,10.0,0.45999999999999996,16.200000000000003,30.0
28,ANGIOCAT # 22 ,4.0,5.4,10.0,0.45999999999999996,21.6,40.0
29,ANGIOCAT # 24,3.0,5.4,10.0,0.45999999999999996,16.200000000000003,30.0
30,APOSITOS PARA CAYOS HANSAPLAST  X 6,7.0,4.08,7.0,0.41714285714285715,28.560000000000002,49.0
31,AQUAMAR FCO 50 ML SPRAY NASAL,1.0,66.6,110.0,0.3945454545454546,66.6,110.0
32,ARCO PULMIN INY ADULTO PIERSAN,1.0,9.32,19.0,0.5094736842105263,9.32,19.0
33,ASPIRADOR NASAL GERBER,1.0,18.59,30.0,0.38033333333333336,18.59,30.0
34,ASPIRINA ADULTO BLIST X 10 CAJA X 100,137.0,0.713,1.2,0.4058333333333333,97.681,164.4
35,ASPIRINA FORTE CAJA X 100 BLIST X 10 ,147.0,0.79,1.2,0.3416666666666666,116.13000000000001,176.4
36,ASPIRINA NIÑOS BLIST X 10 CAJA X 100 ,125.0,0.66,1.0,0.33999999999999997,82.5,125.0
37,BALLENA AZUL 200 ml,2.0,33.9,51.0,0.33529411764705885,67.8,102.0
38,BALSAMICO GMS 12 GRS,4.0,5.78,10.0,0.422,23.12,40.0
39,BAYKID DOLOR Y FIEBRE CAJA X 36 BLIST X 12 TAB ,30.0,1.1,1.75,0.3714285714285714,33.0,52.5
40,BEBETINA  BLIST X 10 CAJA X 100 TAB ,92.0,0.58,0.9,0.3555555555555556,53.36,82.8
41,BEPHANTHENE CREMA 5% 30G QUEMADURAS,1.0,53.37,81.0,0.34111111111111114,53.37,81.0
