No,ARTICULO  ESTUARDO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,AGUAPURA 500 ML MEMBERS,6.0,1.76,3.0,0.41333333333333333,10.56,18.0
2,ALGODÓN ZUUM 25 GRS,1.0,4.5,8.0,0.4375,4.5,8.0
3,ALGODÓN ZUUM 50 GRS,3.0,6.2,12.0,0.48333333333333334,18.6,36.0
4,APROVEL (IRBERSARTAN 150 MGS) BLIST X 14,0.0,25.0,85.0,0.7058823529411765,0.0,0.0
5,BETAMETASONA 8 MGS AMP 2 ML ERISPAN MEXICO,1.0,14.0,65.0,0.7846153846153846,14.0,65.0
6,BRONCOTOS ( CARB+CLORFE+DEXTRO) FCO 120 ML GEBEQUIMIC,2.0,32.5,55.0,0.4090909090909091,65.0,110.0
7,"BUDENA 0,5 MG AMPOLLA CAJA X 5",5.0,25.0,38.0,0.34210526315789475,125.0,190.0
8,"CALLOSOL LIQUIDO (CALLOS, VERRUGAS Y MEZQUIINOS)",2.0,10.2,30.0,0.66,20.4,60.0
9,CEREBREX CAPSULA BLIST X 10 CAJA X 60,0.0,11.0,20.0,0.45,0.0,0.0
10,CETAMIN CC BLISTER X 10 LAPRIN,44.0,4.42,7.0,0.3685714285714286,194.48,308.0
11,CITRATO DE MAGNESIO FCO DE 60 CAPSULAS,1.0,65.0,110.0,0.4090909090909091,65.0,110.0
12,CLEVIUM DEXKETOPROFENO 25 MG X 10 TAB,142.0,2.1,4.5,0.5333333333333333,298.2,639.0
13,CLEVIUM DEXKETOPROFENO 50 MG AMPOLLA,7.0,8.0,17.0,0.5294117647058824,56.0,119.0
14,CLORURO DE MAGNESIO 100 GRAMOS QUIMICA U,0.0,15.0,25.0,0.4,0.0,0.0
15,CLORURO DE MAGNESIO CAJA X 100 TAB ,1.0,25.0,50.0,0.5,25.0,50.0
16,COFAL FORTE TARRO 60 GRS ROJO,3.0,30.0,47.0,0.3617021276595745,90.0,141.0
17,COFAL TARRO 60 GRS AZUL,1.0,30.0,45.0,0.3333333333333333,30.0,45.0
18,DEZZZCANSAR 50 MG BISTER X 10 CAJA 100,91.0,1.804,3.0,0.39866666666666667,164.16400000000002,273.0
19,DIOSMINA CAJA X 30 BLISTER X 10 (DIOSMIL) (BRSESIS),6.0,21.25,45.0,0.5277777777777778,127.5,270.0
20,DOLGENAL 20 MG ,6.0,5.0,10.0,0.5,30.0,60.0
21,DOLO TETRAVIT BLIST X 10,79.0,2.66,4.3,0.38139534883720927,210.14000000000001,339.7
22,DOLODIROL (ACETA+ TRAMA) CJ X 100 BLIST X 5,44.0,3.4,7.0,0.5142857142857143,149.6,308.0
