No,ARTICULO GENESIS,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE BEBE BABY CHIC MEDIANO 115 ML ,3.0,5.5,10.0,0.45,16.5,30.0
2,AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,3.0,17.0,45.0,0.6222222222222222,51.0,135.0
3,ARCO CORT 40MG KIT,2.0,26.0,44.0,0.4090909090909091,52.0,88.0
4,AVAMIGRAN BLISTER X 10,15.0,3.0,5.5,0.45454545454545453,45.0,82.5
5,BACTID SPRAY TOPICO 30 ML ,1.0,22.0,44.0,0.5,22.0,44.0
6,BIFONAZOL GOTAS TOPICAS 15 ML ,2.0,23.0,44.0,0.4772727272727273,46.0,88.0
7,BINOTAL (AMPICILINA) 1000MG BLISTER X 6,20.0,2.66,5.0,0.46799999999999997,53.2,100.0
8,BROMHEXINA CAPLIN JARABE 120 ML,4.0,4.5,8.0,0.4375,18.0,32.0
9,BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,3.0,55.0,109.0,0.4954128440366973,165.0,327.0
10,CANDERSARTAN 32  BLS X 10 CAJA X 30 TABS CAPLIN,5.0,21.0,38.0,0.4473684210526316,105.0,190.0
11,CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,1.0,30.0,60.0,0.5,30.0,60.0
12,CLARITROMICINA 500 MGS BLIST X 10 BALAXI,3.0,16.75,30.0,0.44166666666666665,50.25,90.0
13,CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO ,2.0,59.9,92.0,0.3489130434782609,119.8,184.0
14,CUERPO AMARILLO AMPOLLA KIT PIERSAN,2.0,26.9,45.0,0.40222222222222226,53.8,90.0
15,CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,1.0,34.0,56.0,0.39285714285714285,34.0,56.0
16,DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,9.0,17.75,30.0,0.4083333333333333,159.75,270.0
17,DEAREXIN SUSPENSIÓN 120 ML ,2.0,29.99,51.0,0.4119607843137255,59.98,102.0
18,DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),3.0,17.5,35.0,0.5,52.5,105.0
19,DEXAVITANERVO KIT AMPOLLA,3.0,11.5,19.0,0.39473684210526316,34.5,57.0
20,DOLO MENALGIL KIT AMPOLLA MENARINI ,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
21,ENANTYUM 25 MG SOLUCION ORAL 10 ML,5.0,15.0,25.0,0.4,75.0,125.0
22,ENZIFLAT (ENZIMAS) BLIST X 10 CAJA X 120 TABS,82.0,0.766,1.5,0.48933333333333334,62.812,123.0
23,EQUILIV GOTAS 10 ML ,2.0,90.0,138.0,0.34782608695652173,180.0,276.0
24,FARLABORIN PHARLAND ,4.0,3.4,5.0,0.32,13.6,20.0
25,FEMITAB (KETO +CLINDA) OVULOS CAJA X 7,2.0,51.0,90.0,0.43333333333333335,102.0,180.0
26,GARGADIN FRAMBUESA CAJA X 56 PASTI,69.0,1.16,2.0,0.42000000000000004,80.03999999999999,138.0
27,GARGADIN MIEL LIMON CAJA X 56 PASTI ,25.0,1.09,2.0,0.45499999999999996,27.250000000000004,50.0
28,GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS ,29.0,1.09,2.0,0.45499999999999996,31.610000000000003,58.0
29,GLICITOS C (AMBROXOL+CLEMBUTEROL) 120 ML SELEC,4.0,12.95,23.0,0.43695652173913047,51.8,92.0
30,GLICITOS S (AMBROXOL+SALBUTAMOL) 120ML SELEC,4.0,18.5,33.0,0.4393939393939394,74.0,132.0
31,GUANTES LATEX GRANDE X 100,52.0,0.39,1.15,0.6608695652173913,20.28,59.8
32,GUANTES LATEX MEDIANO X 100 ,59.0,0.39,1.15,0.6608695652173913,23.01,67.85
33,GUANTES LATEX PEQUEÑO X 100,42.0,0.475,1.15,0.5869565217391304,19.95,48.3
34,HIGO MIEL  120 ML ,3.0,39.75,58.0,0.3146551724137931,119.25,174.0
35,HISTAPRIN CAJA X20 TAB BLIS X10,18.0,2.7,5.0,0.45999999999999996,48.6,90.0
36,JABON PARA BEBE JOHNSON ANTES DE DORMIR 75 GRS,2.0,9.05,14.0,0.35357142857142854,18.1,28.0
37,JABON PARA BEBE JOHNSON ORIGINAL CREMOSO 75 GRS,0.0,9.05,14.0,0.35357142857142854,0.0,0.0
38,KOACT 1 GR AMOX+CLAV CAJA X 15 TAB BLISTER X 5,8.0,3.13,6.0,0.47833333333333333,25.04,48.0
39,KOACT 62.5 AMOXI 500 ACIDOCLAV X 15 TAB BLISTER X 5,12.0,2.08,4.0,0.48,24.96,48.0
40,KOREOFIN CAPLIN,5.0,10.0,18.0,0.4444444444444444,50.0,90.0
41,LEVOTIROXINA MERCK BLISTER X 25 CAJA X 100,6.0,17.5,50.0,0.65,105.0,300.0
42,LOSART50/12.5MG HIDRO CJ X 30  BLIST X 10 TABS CAPLIN,7.0,9.0,17.0,0.47058823529411764,63.0,119.0
43,LOSARTAN 50 MG BLIS X 10 CAJA X 100 CAPLIN,32.0,6.0,10.0,0.4,192.0,320.0
44,LUSIA FX CAJA X 28 TAB ,3.0,9.9,19.0,0.4789473684210526,29.700000000000003,57.0
45,MASCARILLA QUIRURGICA CELESTE CAJA X 50 ,45.0,0.16,1.0,0.84,7.2,45.0
46,MASCARILLA QUIRURGICA NEGRA CAJA X 50,54.0,0.4,1.0,0.6,21.6,54.0
47,MASCARILLA QUIRURGICA NIÑO CAJA X 50,44.0,0.4,1.0,0.6,17.6,44.0
48,MAVIFEM CREMA VAGINAL CAJA X 6 (CLINDA+KETO),1.0,47.0,85.0,0.4470588235294118,47.0,85.0
49,MESI 3 ( ANTICONCEPTIVO 3 MESES) PIERSAN,1.0,33.0,53.0,0.37735849056603776,33.0,53.0
50,METAFE SPRAY 60 ML VESA ,0.0,8.35,14.0,0.4035714285714286,0.0,0.0
51,METFORMINA 1000 MG C SEVEN CAJA X 100,11.0,4.3,9.0,0.5222222222222223,47.3,99.0
52,MICROPORE BLANCO 1 X 10 YDS,3.0,8.0,15.0,0.4666666666666667,24.0,45.0
53,MICROPORE BLANCO 1/2 PULGADA ,3.0,3.9,9.0,0.5666666666666667,11.7,27.0
54,MICROPORE PIEL 1 PULGADA ,4.0,8.0,15.0,0.4666666666666667,32.0,60.0
55,MICROPORE PIEL 1/2 PULGADA,4.0,3.9,9.0,0.5666666666666667,15.6,36.0
56,MIGRADOLOSINA PIERSAN BLIST X 10,128.0,0.75,1.4,0.46428571428571425,96.0,179.2
57,PARACETAMOL 500 MGS BLIST X 10 CAJA X 100 ,10.0,2.0,4.0,0.5,20.0,40.0
58,PEDIAFLORA GRANU DISP X 50 SOBRES PAHIL,23.0,10.556,18.0,0.4135555555555556,242.78799999999998,414.0
59,PREBALIX CAJA X 30 BLIST X 10 (PREGABALINA 75 MGS),0.0,2.25,4.0,0.4375,0.0,0.0
60,RELAFLEX KIT AMPOLLA VIJOSA,3.0,24.93,45.0,0.446,74.78999999999999,135.0
61,ROYALINE 5MG CAJA  X 30 TAB BLIST X 10,37.0,1.933,3.3,0.4142424242424242,71.521,122.1
62,SALBUTAMOL INHALADOR CAPLIN,5.0,19.0,33.0,0.42424242424242425,95.0,165.0
63,SANTEMICINA 7.5 GRS SOBRE CAJA X 50,57.0,1.26,2.0,0.37,71.82000000000001,114.0
64,SARPIOL FCO 30 ML,2.0,10.45,25.0,0.5820000000000001,20.9,50.0
65,SELLO DE HEPARINA ESTERIL OPERSON,8.0,1.5,5.0,0.7,12.0,40.0
66,SENOSIAIN ADULTO SUPOSITORIO CAJA X 20,22.0,2.05,3.5,0.4142857142857143,45.099999999999994,77.0
67,SENOSIAIN NIÑO SUPOSITORIO CAJA X 20,21.0,2.1,3.5,0.39999999999999997,44.1,73.5
68,SOLUCION SALINA 100 ML BOLSA,6.0,7.75,14.0,0.44642857142857145,46.5,84.0
69,SPASMO-UROLONG BLIST X 10TAB,30.0,3.3,6.8,0.5147058823529412,99.0,204.0
70,SUERO ORAL ANCALMO COCO X 54,34.0,1.11,2.0,0.44499999999999995,37.74,68.0
71,SUERO ORAL ANCALMO NARANJA X 54,24.0,1.036,2.0,0.482,24.864,48.0
72,SUERO ORAL VIT ANCALMO X 54,48.0,1.11,2.0,0.44499999999999995,53.28,96.0
73,TERMOMETRO DIGITAL MICROLIFE,0.0,30.0,55.0,0.45454545454545453,0.0,0.0
74,VIROGRIP 3 DOBLE TERAPIA INYECTADO,4.0,16.9,29.0,0.4172413793103449,67.6,116.0
75,ZIGNET PLUS CAJA X 10 TABS ,88.0,1.2,2.3,0.47826086956521735,105.6,202.39999999999998
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,4125.884999999999,7607.650000000001
81,,,,,,,
82,,,,,,,3481.7650000000012
83,,,,,,,
84,,,,,,,
85,,,,,,,0.45766629642530887
86,,,,,,,
87,,,,,,,
88,,,,,,,
