No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,  ,1 MES,2 MESES
1, ACEITE DE HIGADO X 100 SIETE MARES,2.0,,,,,,,,,,,,2.0,8.0,37.0,,2028-09-01 00:00:00,1.0,,2024-10-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
2,ACEITE DE OLIVA PREDILECTO 120 ML,5.0,,,,,,,,,,,,5.0,7.0,8.0,SN FRAN,2027-02-01 00:00:00,7.0,,2025-04-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
3,ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100 ,21.0,3.0,,1.0,,1.0,,,,1.0,,,15.0,35.0,8.0,,2027-12-01 00:00:00,7.0,,2024-10-01,6.0,7.0,5.0,7.0,25.0,6.25,25.0,50.0
4,AGUJA 18G X 1-1/2 ROSADA,105.0,,,,,,,,,,,,105.0,-89.0,0.5,,2029-04-01 00:00:00,0.0,,2025-01-01,1.0,5.0,1.0,1.0,8.0,2.0,8.0,16.0
5,AGUJA 20G X 1 -1/2  AMARILLA,107.0,,,,,,,,,,,,107.0,-95.0,0.5,,,0.0,,2021-04-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
6,AGUJA 21G X 1 X 1/2 VERDE,74.0,,,,,,,,,,,,74.0,-62.0,0.5,,2027-12-01 00:00:00,0.0,,2024-08-01,2.0,2.0,1.0,1.0,6.0,1.5,6.0,12.0
7,AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),32.0,,,,,5.0,,,,,,,27.0,-11.0,0.5,OLAM,2028-03-01 00:00:00,0.0,,2024-11-01,4.0,2.0,1.0,1.0,8.0,2.0,8.0,16.0
8,"AGUJA 23G X 1""   AZUL (NIPRO) PED",110.0,,,,,,,,,,,,110.0,-32.0,0.5,,2026-02-01 00:00:00,0.0,,2025-04-01,20.0,12.0,1.0,6.0,39.0,9.75,39.0,78.0
9,"AGUJA 23G X 1-1/2"" AZUL (NIPRO)",108.0,,,,,,,,,,,,108.0,-94.0,0.5,,2029-05-01 00:00:00,0.0,,2024-12-01,4.0,1.0,1.0,1.0,7.0,1.75,7.0,14.0
10,AGUJA 24G X 1 MORADA ,151.0,,,,,,,,,,,,151.0,-141.0,0.5,,,0.0,,2020-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
11,AGUJA 25G X 1 NARANJA X 100 NIPRO,75.0,,,,,,,,,,,,75.0,-67.0,0.5,,,0.0,,2018-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
12,AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,83.0,,,,,,,,,,,,83.0,-75.0,0.5,,,0.0,,2019-07-01,,2.0,1.0,1.0,4.0,1.0,4.0,8.0
13,AGUJA 27G X 1/2,21.0,,,,,,,,,,,,21.0,15.0,0.5,,,0.0,,2019-08-01,10.0,6.0,1.0,1.0,18.0,4.5,18.0,36.0
