No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,ANARA SOLUCION GOTAS 20ML,2.0,,,,,,,,,,,,2.0,16.0,68.0,COIDE,2026-09-01,,,2024-11-01,1.0,1.0,1.0,6.0,9.0,2.25,9.0,18.0
2.0,ASPIRINA FORTE CAJA X 100 BLIST X 10 ,0.0,,,,,,,,,,,,0.0,0.0,0.0,BAYER,,,,,,,,,0.0,0.0,0.0,0.0
3.0,BRONCODIL GOTAS DE 30 ML,2.0,,,,,,,,,,,,2.0,6.0,59.0,INFASA,2026-10-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
4.0,BRONCODIL JBE. 120ML,2.0,,,,,,,,,,,,2.0,6.0,79.0,INFASA,2026-09-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
5.0,CHOCOLATES GRANDES,3.0,,,,,,,,,,,,3.0,65.0,11.0,NOE,,1.0,,2024-06-01,30.0,1.0,2.0,1.0,34.0,8.5,34.0,68.0
6.0,CHOCOLATES PEQUEÑOS,177.0,,4.0,,14.0,4.0,14.0,,,2.0,,,139.0,183.0,1.25,PRICES,,,,2023-09-01,28.0,44.0,29.0,60.0,161.0,40.25,161.0,322.0
7.0,DESODORANTE GILLET GEL 107 GRS,2.0,,,,,1.0,,,,,,,1.0,7.0,46.0,PRICES,2025-10-01,7.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
8.0,DEXA NEUROBION JER  PRELL,0.0,,,,,,,,,,,,0.0,0.0,105.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
9.0,DOLO KALORUB LINIM SPRAY 180 ML,1.0,,,,,,,,,,,,1.0,9.0,45.0,COIDE,2028-11-01,0.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
10.0,FERRIDOCE JBE 240ML,2.0,,,,,,,,,,,,2.0,8.0,55.0,COID/OLAM,2027-10-01,1.0,,2025-04-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
11.0,GLUCOSORAL 450 ML CEREZA,1.0,,,,,,,,,,,,1.0,9.0,22.0,ESQUINITA,2027-02-01,0.0,,2024-06-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
12.0,GLUCOSORAL 450 ML COCO,0.0,,,,,,,,,,,,0.0,10.0,22.0,ESQUINITA,2026-08-01,0.0,,2026-10-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
13.0,GLUCOSORAL 450 ML FRAMBUESA,2.0,,,,,,,,,,,,2.0,4.0,22.0,ESQUINITA,2026-04-01,0.0,,2026-10-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
