No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
1,ABREXIL SUSP 120ML,3.0,,,,,,,,,,,,3.0,7.0,45.0,,2027-03-01,2.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
2,ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,2.0,,,,,,,,,,,,2.0,8.0,18.0,,2027-10-01,2.0,,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
3,ACETAMINOFEN JBE 120 ML SELEC,5.0,,,,1.0,1.0,,,,,,,3.0,19.0,13.0,,2027-10-01,16.0,,2025-03-01,5.0,3.0,2.0,1.0,11.0,2.75,11.0,22.0
4,ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,6.0,,,,,,,,,,,,6.0,8.0,20.0,,2028-04-01,1.0,,2025-04-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
5,ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,12.0,,,,,,,,,1.0,,,11.0,1.0,12.0,,2027-11-01,1.0,,2025-04-01,3.0,2.0,3.0,2.0,10.0,2.5,10.0,20.0
6,ACICLOVIR 5% CREMA 10 GMS SELEC,3.0,,,,,,,,,,,,3.0,7.0,9.0,,2028-07-01,4.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
7,ACICLOVIR 5% CREMA 15 GMS CAPLIN,3.0,,,,,,,,,,,,3.0,5.0,11.0,,2027-05-01,4.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
8,ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,10.0,,,,,,,,,,,,10.0,6.0,5.0,,2027-04-01,1.0,,2025-01-01,2.0,2.0,2.0,2.0,8.0,2.0,8.0,16.0
9,AGUA DESTILADA PARA INYE 10 ML PROMEGAL,13.0,,,,,,3.0,,,2.0,,,8.0,6.0,2.5,,2025-06-01,0.0,,2024-06-01,2.0,1.0,2.0,2.0,7.0,1.75,7.0,14.0
10,AGUA OXIGENADA 3% SOL LORALVA 120 ML,15.0,,,,,,,,,,,,15.0,-1.0,2.0,COIDE,2027-01-01,10.0,,2025-04-01,1.0,2.0,1.0,3.0,7.0,1.75,7.0,14.0
11,ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,5.0,,,,,,,,,,,,5.0,17.0,8.0,,2027-05-01,10.0,,2025-03-01,2.0,2.0,5.0,2.0,11.0,2.75,11.0,22.0
12,ALCOHOL 120 ML ENFERMERITA 50 %,11.0,,,,,,4.0,,,,,,7.0,23.0,2.5,,2027-02-01,12.0,,2025-04-01,4.0,1.0,5.0,5.0,15.0,3.75,15.0,30.0
13,ALERMINE CORT CAJA X 10 TABS,16.0,,,,,,,,,,,,16.0,16.0,10.0,,2029-08-01,2.0,,2025-04-01,3.0,4.0,4.0,5.0,16.0,4.0,16.0,32.0
14,ALERMINE CORT JBE 60 ML,1.0,,,,,,,,,,,,1.0,1.0,65.0,,2028-04-01,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
15,AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,2.0,,,,,,,,,,,,2.0,6.0,59.0,,2026-04-01,0.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
16,AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,2.0,,,,,,,,,,,,2.0,6.0,72.0,,2026-07-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
17,AMOXICILINA 250 MG/ 120 ML SELECT,6.0,,,,,,,,,,,,6.0,12.0,19.0,,2028-07-01,5.0,,2025-04-01,1.0,3.0,2.0,3.0,9.0,2.25,9.0,18.0
18,AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,5.0,,1.0,,,,,,,,,,4.0,6.0,22.5,,2027-11-01,5.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
19,ANTIGRIP SOBRE X 4 TAB DISP X 100 ,12.0,,,,,,,,,,,,12.0,5.0,6.0,,2027-10-01,0.0,,2025-04-01,1.0,3.0,4.0,4.0,12.0,3.0,12.0,24.0
20,ANTIGRIPITO SOBRE X 4 TAB DISP X 100,5.0,,,,,,,,,,,,5.0,9.0,4.5,,2026-03-01,0.0,,2025-01-01,2.0,2.0,1.0,2.0,7.0,1.75,7.0,14.0
21,ATORVASTATINA 20 MGS CAJA X 30 BLIST X 10 WASHINTONG,0.0,,,,,,,,,,,,0.0,12.0,21.67,,2026-11-01,0.0,,2025-04-01,,6.0,,,6.0,1.5,6.0,12.0
22,ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,4.0,,,,,,,,,,,,4.0,1.0,47.0,,2026-08-01,1.0,,2025-04-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
23,AZITROMICINA 500 MGS CAJA X 3 UMEDICA,8.0,,1.0,,1.0,,,,,,,,6.0,12.0,15.0,,2026-04-01,12.0,,2025-04-01,5.0,1.0,1.0,2.0,9.0,2.25,9.0,18.0
24,AZITROMICINA 500 MGS CAJA X 5 SELECT,5.0,1.0,,,,,,,,,,,4.0,6.0,27.0,,2028-07-01,12.0,,2025-04-01,2.0,1.0,12.0,2.0,17.0,4.25,17.0,34.0
25,BABY OR NOT PRUEBA DE EMBARAZO DISMEV,7.0,,,,,,,,,,,,7.0,6.0,10.0,,2026-11-01,6.0,,2025-04-01,2.0,1.0,3.0,3.0,9.0,2.25,9.0,18.0
26,BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,3.0,,,,,,,,,,,,3.0,7.0,23.0,B Y F,2027-06-01,3.0,,2025-02-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
27,BIFONEX  CREMA 1% 15G SELEC TUBO,2.0,,,,,,,,,,,,2.0,6.0,34.0,,2028-09-01,0.0,,2024-05-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
28,BIFONEX  SPRAY 1% 40 G SELEC,1.0,,,,,,,,,,,,1.0,-1.0,59.0,,2025-08-01,0.0,,2024-05-01,,,,,0.0,0.0,0.0,0.0
29,BISALEX LAXANTE BLISTER X 10,94.0,,10.0,,,,3.0,,,,,,81.0,6.0,1.0,SOLER,2026-05-01,19.0,,2025-04-01,25.0,16.0,35.0,35.0,111.0,27.75,111.0,222.0
30,BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,3.0,,,,,,,,,,,,3.0,21.0,1.67,,2026-01-01,6.0,,2024-11-01,3.0,3.0,3.0,3.0,12.0,3.0,12.0,24.0
31,BROMURO DE OTILONIO CAJA X 30 BLIST X 15,51.0,,,,,,6.0,,,,,,45.0,29.0,3.8,GABRIEL,2027-05-01,0.0,,2025-03-01,15.0,3.0,12.0,7.0,37.0,9.25,37.0,74.0
32,BRONCOMAT 15 ML SOL/PARA RAESPIRAR,3.0,,,,,,,,,,,,3.0,7.0,58.0,SOLER,2026-05-01,2.0,,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
33,BRONCUROL NF BLIST X 10 TABS,84.0,,,,,,,,,,,,84.0,16.0,2.5,ROSADEL,2026-04-01,0.0,,2025-02-01,6.0,10.0,18.0,16.0,50.0,12.5,50.0,100.0
34,CALAMINA LOCION 100ML CAPLIN,3.0,,,,,,,,,,,,3.0,9.0,14.0,,2027-06-01,4.0,,2025-04-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
35,CEFADROXILO 250MG/60ML SUS SELEC,5.0,,,,,,,,,,,,5.0,3.0,22.0,SOLER,2028-04-01,0.0,,2023-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
36,CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,4.0,,,,,,,,,,,,4.0,4.0,15.0,,2026-10-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
37,CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,2.0,,,,,,,,,,,,2.0,4.6,52.0,,2027-09-01,2.0,,2025-04-01,0.3,1.0,1.0,1.0,3.3,0.825,3.3,6.6
38,CIKRASEL 40G SPRAY,2.0,,,,,,,,,,,,2.0,6.0,66.0,,2026-08-01,1.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
39,CIKRASEL CREMA TUBO 30GMS,2.0,,,,,,,,,,,,2.0,6.0,35.0,,2027-06-01,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
40,CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,6.0,,,,,,,,,,,,6.0,26.0,33.0,,2028-04-01,3.0,,2025-03-01,2.0,9.0,2.0,3.0,16.0,4.0,16.0,32.0
41,CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,13.0,1.0,,1.0,,,,,,,,,11.0,17.0,7.0,,2027-04-01,2.0,,2025-04-01,6.0,4.0,3.0,1.0,14.0,3.5,14.0,28.0
42,CIRUELAX 75 MG BLISTER X 10  GARDEN,37.0,,,,,,,,,,,,37.0,7.0,2.5,,2026-05-01,2.0,,2025-02-01,6.0,1.0,10.0,5.0,22.0,5.5,22.0,44.0
43,CIRUELAX FORTE CAJA X 24 BLIST X 12,32.0,,,,,,,,,,,,32.0,-20.0,4.33,,2025-07-01,0.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
44,CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,5.0,,,,,,,,,,,,5.0,9.0,32.0,,2027-05-01,4.0,,2025-04-01,1.0,3.0,1.0,2.0,7.0,1.75,7.0,14.0
45,CLORA+DEXA+NAFA GOTAS SELEC,4.0,,,,,,,,,,,,4.0,4.0,28.0,B Y F,2026-07-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
46,CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,4.0,,,,,,,,,,,,4.0,6.0,24.0,B Y F,2026-08-01,1.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
47,CLORANFENICOL 0.5% GOTAS 15 ML SELEC,4.0,,1.0,,,,,,,,,,3.0,3.0,16.0,,2026-05-01,1.0,,2025-04-01,1.0,1.0,2.0,2.0,6.0,1.5,6.0,12.0
48,CLORFENIRAMINA 10 MG AMP SELEC,3.0,,,,,,,,,,,,3.0,11.0,3.5,,2027-11-01,0.0,,2024-04-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
49,CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,9.0,,,,,1.0,,,,,,,8.0,12.0,4.0,,2028-08-01,2.0,,2025-04-01,3.0,4.0,2.0,1.0,10.0,2.5,10.0,20.0
50,CLORFENIRAMINA MALEATO 2MG JBE. SELECT,5.0,,,,,,,,,,,,5.0,9.0,10.0,,2028-08-01,5.0,,2025-04-01,3.0,1.0,1.0,2.0,7.0,1.75,7.0,14.0
51,CLOROMILAN CAJA X 102,59.0,,,,6.0,,,,,,,,53.0,41.0,1.0,,2027-04-01,1.0,,2025-04-01,17.0,10.0,10.0,10.0,47.0,11.75,47.0,94.0
52,CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,4.0,1.0,1.0,,,,,,,,,,2.0,2.0,10.0,,2028-09-01,4.0,,2025-04-01,2.0,2.0,1.0,1.0,6.0,1.5,6.0,12.0
53,CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,3.0,1.0,,,,,,,,,,,2.0,3.0,9.0,,2025-11-01,3.0,,2025-04-01,2.0,,1.0,1.0,4.0,1.0,4.0,8.0
54,CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,2.0,,,,,,,,,,,,2.0,4.0,20.0,,2026-12-01,4.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
55,CLOTRIPLEX TUBO 15 GMS ,2.0,,,,,,,,,1.0,,,1.0,13.0,16.0,,2027-05-01,6.0,,2025-04-01,2.0,1.0,3.0,1.0,7.0,1.75,7.0,14.0
56,COLAGENO CAJA X 100 CAP GEL BLISTER X 10,10.0,,,,,,,,,,,,10.0,4.0,17.0,,2026-11-01,0.0,,2025-03-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
57,COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,6.0,,,,,,,,,,,,6.0,4.0,20.0,,2028-02-01,1.0,,2025-03-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
58,COLCHICINA 0.5MG BLISTER X 10 CAPLIN,8.0,,,,,,,,,,,,8.0,20.0,10.0,,2026-07-01,0.0,,2024-02-01,1.0,10.0,2.0,1.0,14.0,3.5,14.0,28.0
59,COLECTOR DE HECES C/PALETA 60ML,14.0,,,,,,,,,,,,14.0,14.0,3.0,,,11.0,,2025-02-01,3.0,1.0,2.0,8.0,14.0,3.5,14.0,28.0
60,COLECTOR DE ORINA 120ML,16.0,,,,1.0,,5.0,,,,,,10.0,20.0,3.0,,,40.0,,2025-04-01,11.0,3.0,12.0,9.0,35.0,8.75,35.0,70.0
