No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,ACEITE DE RECINO 1 ONZ LASANA,3.0,,,,,,,,,,,,3,5,12.0,,2026-12-01,4.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
2.0,ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,61.0,2.0,2.0,,2.0,2.0,4.0,,,,,,49,77,2.5,,2026-03-01,11.0,,2025-04-01,10.0,14.0,27.0,12.0,63,15.75,63,126
3.0,ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,1.0,,,,,,,,,,,,1,7,38.0,,2025-10-01,0.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
4.0,ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,11.0,,,,,,,,,,,,11,33,2.5,,2025-09-01,0.0,,2025-04-01,4.0,5.0,8.0,5.0,22,5.5,22,44
5.0,ACIDO BORICO POLVO 1 ONZ BOLSA X 8,10.0,,,,,,,,,,,,10,14,5.0,,2027-11-01,0.0,,2024-12-01,1.0,1.0,5.0,5.0,12,3.0,12,24
6.0,ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,3.0,,,,,,,,,,,,3,7,7.0,,2025-10-01,4.0,,2025-04-01,1.0,1.0,2.0,1.0,5,1.25,5,10
7.0,ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,20.0,,1.0,7.0,,,,,,,,,12,12,5.0,,2026-05-01,0.0,,2025-04-01,4.0,1.0,3.0,4.0,12,3.0,12,24
8.0,ALCOHOL  ELITICO70% 1/2 LITRO VESA,2.0,,,,,,,,,,,,2,6,17.0,,2026-12-01,3.0,,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
9.0,ALCOHOL ALCANFORADO 120 ML SANTE,3.0,,,,,,,,,,,,3,7,8.0,,2026-05-01,3.0,,2025-01-01,1.0,1.0,2.0,1.0,5,1.25,5,10
10.0,ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,17.0,,1.0,,,,,,,,,,16,18,5.0,,2026-10-01,3.0,,2025-04-01,3.0,7.0,3.0,4.0,17,4.25,17,34
11.0,AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,22.0,,,,,,,,,,,,22,8,5.0,,2025-10-01,0.0,,2024-01-01,1.0,2.0,5.0,7.0,15,3.75,15,30
12.0,AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,29.0,,2.0,,,,,,,1.0,,,26,-10,4.0,,2027-03-01,3.0,,2025-02-01,1.0,3.0,3.0,1.0,8,2.0,8,16
13.0,AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN) ,1.0,,,,,,,,,,,,1,9,85.0,,2027-03-01,1.0,,2025-01-01,1.0,1.0,2.0,1.0,5,1.25,5,10
14.0,AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),22.0,,1.0,,2.0,,1.0,,,,,,18,44,6.0,,2026-06-01,4.0,,2025-04-01,7.0,6.0,13.0,5.0,31,7.75,31,62
15.0,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,10.0,,,,,,,,,,,,10,6,10.0,,2027-05-01,0.0,,2025-01-01,2.0,1.0,1.0,4.0,8,2.0,8,16
16.0,ANTIGRIPITO INFANIL JBE 60 ML,1.0,,,,,,,,,,,,1,7,29.0,,2027-10-01,1.0,,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
17.0,ATENOLOL 100 MG BLIST X A10 CAJA X 100 (ARGUS O CAPLIN),20.0,,,,,,,,,,,,20,-2,5.0,,2026-04-01,1.0,,2025-04-01,2.0,3.0,2.0,2.0,9,2.25,9,18
18.0,ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,0.0,,,,,,,,,,,,0,2,50.0,,2026-06-01,0.0,,2025-02-01,,1.0,,,1,0.25,1,2
19.0,AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,3.0,,,,,,,,,,,,3,5,23.0,,2027-03-01,2.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
20.0,AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,4.0,,,,,,,,,,,,4,4,25.0,ROSADEL,2027-04-01,0.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
21.0,AZITROMICINA 500 MG CAJA X 3 TAB,12.0,,,,1.0,,1.0,,,,,,10,12,18.0,,2027-03-01,38.0,,2025-04-01,3.0,3.0,4.0,1.0,11,2.75,11,22
22.0,BENZOATO DE BENCILO FCO X 120 ML SELEC,3.0,,,,,,,,,,,,3,5,19.0,,2026-10-01,2.0,,2025-04-01,1.0,1.0,1.0,1.0,4,1.0,4,8
23.0,BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,8.0,,,,,,,,,,,,8,4,9.0,,2026-06-01,6.0,,2025-04-01,1.0,1.0,2.0,2.0,6,1.5,6,12
24.0,CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,14.0,,,,,,,,,,,,14,2,6.0,,2028-06-01,0.0,,2025-02-01,3.0,1.0,2.0,2.0,8,2.0,8,16
25.0,CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,15.0,,,,,,,,,1.0,,,14,4,9.0,,2028-07-01,1.0,,2025-04-01,2.0,1.0,1.0,5.0,9,2.25,9,18
26.0,CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,11.0,,,,,,,,,,,,11,-1,5.0,,2027-05-01,0.0,,2025-02-01,1.0,2.0,1.0,1.0,5,1.25,5,10
27.0,CEFIXIMA 100MG/5ML X FCO 100 ML SHEKINAH,3.0,,,,,,,,,,,,3,7,37.0,,2027-03-01,1.0,,2025-04-01,1.0,2.0,1.0,1.0,5,1.25,5,10
28.0,CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,11.0,,,,,,,,,,,,11,5,10.0,,2026-12-01,0.0,,2025-04-01,4.0,1.0,2.0,1.0,8,2.0,8,16
29.0,CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,20.0,,,,,,,,,,,,20,80,1.5,,2026-08-01,6.0,,2024-12-01,10.0,10.0,20.0,10.0,50,12.5,50,100
30.0,CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC ,4.0,,,,,,,,,,,,4,6,30.0,,2027-05-01,0.0,,2025-02-01,2.0,1.0,1.0,1.0,5,1.25,5,10
31.0,CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,7.0,,,,4.0,,,,,,,,3,7,17.0,,2025-12-01,0.0,,2025-03-01,1.0,1.0,2.0,1.0,5,1.25,5,10
32.0,CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,0.0,,,,,,,,,,,,0,14,17.0,,2027-05-01,0.0,,2025-04-01,2.0,1.0,2.0,2.0,7,1.75,7,14
33.0,CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,2.0,,2.0,,,,,,,,,,0,10,16.0,,2027-01-01,0.0,,2025-03-01,1.0,1.0,2.0,1.0,5,1.25,5,10
34.0,CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40 ,65.0,,,,5.0,1.0,4.0,,,2.0,,,53,125,9.0,,2027-10-01,4.0,,2025-04-01,30.0,26.0,18.0,15.0,89,22.25,89,178
35.0,COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,15.0,,,,,1.0,,,,,,,14,0,2.0,,2027-04-01,0.0,,2025-03-01,2.0,1.0,2.0,2.0,7,1.75,7,14
36.0,COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN ,1.0,,,,,,,,,,,,1,15,40.0,,2026-06-01,3.0,,2025-01-01,1.0,2.0,4.0,1.0,8,2.0,8,16
37.0,COQUELUCHE FCO 120 ML,1.0,,,,,,,,,,,,1,9,39.0,,2026-02-01,0.0,,2023-03-01,1.0,2.0,1.0,1.0,5,1.25,5,10
38.0,CREMA LASSAR BB COOL 120 GRS,3.0,,,,,,,,,,,,3,1,23.0,,2027-08-01,2.0,,2025-01-01,,,,2.0,2,0.5,2,4
39.0,CUESIIGERMINA CAJA X 10 AMP PHARMAV,44.0,4.0,,,,,,,,,,,40,-6,15.0,,2026-03-01,2.0,,2025-03-01,3.0,6.0,4.0,4.0,17,4.25,17,34
40.0,DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,13.0,,,,,,,,,,,,13,-3,5.0,,2027-03-01,0.0,,2024-11-01,1.0,1.0,2.0,1.0,5,1.25,5,10
