No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE AJENJO 30 ML 1 ONZ ,3.0,4.75,12.0,0.6041666666666666,14.25,36.0
2,ACEITE DE ALMENDRAS 30 ML,2.0,4.75,9.0,0.4722222222222222,9.5,18.0
3,ACEITE DE NERVINO 30 ML,8.0,4.5,8.0,0.4375,36.0,64.0
4,ACEITE MINERAL 60 ML,3.0,5.75,10.0,0.425,17.25,30.0
5,ACETONA 120 ML PURA,5.0,7.5,15.0,0.5,37.5,75.0
6,ACETONA 60 ML PURA,4.0,5.5,10.0,0.45,22.0,40.0
7,ACHICORIA JBE 30 ML,2.0,4.5,8.0,0.4375,9.0,16.0
8,AÑILINA 1 GR CARTON X 9 0 UNID,71.0,0.79,1.5,0.47333333333333333,56.09,106.5
9,AÑILINA AMARILLA ,18.0,0.79,1.5,0.47333333333333333,14.22,27.0
10,AÑILINA CELESTE ,20.0,0.79,1.5,0.47333333333333333,15.8,30.0
11,AÑILINA CORINTA ,0.0,0.79,1.5,0.47333333333333333,0.0,0.0
12,AÑILINA NEGRA,15.0,0.79,1.5,0.47333333333333333,11.850000000000001,22.5
13,AÑILINA ROJA ,12.0,0.79,1.5,0.47333333333333333,9.48,18.0
14,AÑILINA ROSADA ,0.0,0.79,1.5,0.47333333333333333,0.0,0.0
15,AÑILINA TURQUESA ,1.0,0.79,1.5,0.47333333333333333,0.79,1.5
16,AÑILINA VERDE ,16.0,0.79,1.5,0.47333333333333333,12.64,24.0
17,AZUCAR DE ANIZ 1 ONZA,6.0,2.0,3.5,0.42857142857142855,12.0,21.0
18,AZUCAR DE LECHE 1 ONZ ,4.0,4.75,8.0,0.40625,19.0,32.0
19,AZUFRE SUBLIMADO POLVO 1 ONZ,0.0,2.25,4.0,0.4375,0.0,0.0
20,BICARBONATO DE SODIO LIBRA,0.0,8.4,15.0,0.44,0.0,0.0
21,BORAX 1 ONZ,6.0,2.25,4.0,0.4375,13.5,24.0
22,COLOR VEGETAL AMARILLO CARTON X 24,14.0,0.72,1.5,0.52,10.08,21.0
23,COLOR VEGETAL ANARANJADO,25.0,0.72,1.5,0.52,18.0,37.5
24,COLOR VEGETAL AZUL,21.0,0.72,1.5,0.52,15.12,31.5
25,COLOR VEGETAL CAFÉ,1.0,0.72,1.5,0.52,0.72,1.5
26,COLOR VEGETAL CELESTE,13.0,0.72,1.5,0.52,9.36,19.5
27,COLOR VEGETAL CORINTO,19.0,0.72,1.5,0.52,13.68,28.5
28,COLOR VEGETAL FUSIA,2.0,0.72,1.5,0.52,1.44,3.0
29,COLOR VEGETAL MORADO,15.0,0.72,1.5,0.52,10.799999999999999,22.5
30,COLOR VEGETAL NEGRO,15.0,0.72,1.5,0.52,10.799999999999999,22.5
31,COLOR VEGETAL ROJO,21.0,0.78,1.5,0.48,16.38,31.5
32,COLOR VEGETAL ROSADO,13.0,0.72,1.5,0.52,9.36,19.5
33,COLOR VEGETAL TURQUESA,4.0,0.72,1.5,0.52,2.88,6.0
34,COLOR VEGETAL VERDE,21.0,0.72,1.5,0.52,15.12,31.5
35,CREOLINA COMERCIAL 120 ML,1.0,6.5,14.0,0.5357142857142857,6.5,14.0
36,CREOLINA COMERCIAL 240 ML,1.0,9.0,20.0,0.55,9.0,20.0
37,CREOLINA COMERCIAL 500 ML,0.0,14.0,25.0,0.44,0.0,0.0
38,CREOLINA COMERCIAL LITRO,1.0,27.0,47.0,0.425531914893617,27.0,47.0
39,ENVASES DE PLASTICO 120ML ,3.0,1.25,3.0,0.5833333333333334,3.75,9.0
40,ESENCIA DE CLAVO  30 ML,2.0,27.0,40.0,0.325,54.0,80.0
41,GLICERINA 22 ML ,0.0,4.0,8.0,0.5,0.0,0.0
42,GLICERINA LIQUIDA 38 ML,3.0,7.0,15.0,0.5333333333333333,21.0,45.0
43,MERCURIO CROMO 2% SPRAY 120 ML,2.0,8.0,17.0,0.5294117647058824,16.0,34.0
44,MERCURIO CROMO 30 ML,5.0,7.5,14.0,0.4642857142857143,37.5,70.0
45,NEFTALINA  BOLSA X 5 UNIDADES,5.0,1.0,4.0,0.75,5.0,20.0
46,POMADA DE SULFATIAZOL 1 ONZA ,4.0,4.25,10.0,0.575,17.0,40.0
47,RUIBARBO TINTURA 30 ML,2.0,3.75,9.0,0.5833333333333334,7.5,18.0
48,SIETE ESPIRITUS 30 ML ,1.0,4.25,10.0,0.575,4.25,10.0
49,SODA CAUSTICA EN ESCAMAS LIBRA,2.0,9.75,24.0,0.59375,19.5,48.0
50,SOLUCION DE IBITANE AL 5% FCO  120 ML,4.0,5.35,10.0,0.465,21.4,40.0
51,THIMEROSAL 120 ML SPRAY,2.0,10.0,18.0,0.4444444444444444,20.0,36.0
52,THIMEROSAL 30 ML,4.0,7.75,14.0,0.44642857142857145,31.0,56.0
53,VASELINA BLANCA 1 ONZA,0.0,3.75,7.0,0.4642857142857143,0.0,0.0
54,VASELINA BLANCA 58 GRS,2.0,7.0,13.0,0.46153846153846156,14.0,26.0
55,VIOLETA DE GENCIANA SOLUCION 2% 30 ML,2.0,5.5,10.0,0.45,11.0,20.0
56,,0.0,,,,0.0,0.0
57,,,,,,0.0,0.0
58,,,,,,0.0,0.0
59,,,,,,770.0100000000001,1494.5
60,,,,,,,
61,,,,,,,724.4899999999999
62,,,,,,,0.48477082636333213
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
