No,ARTICULO NO SISTEMA ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PP,FECHA DE VENCIMIENTO,BODEGA,FECHA DE COMPRA
1,AMOXI 625 CAPLIN,0.0,,,,,,,,,,,,0.0,25.0,2025-04-01 00:00:00,,
2,AMOXI+CLAVU SUSP 312.5MG/5ML 60 ML BALAXI,1.0,,,,,,,,,,,,1.0,20.0,,,
3,ANARA CAJA X 50 SOBRES BLIST X 4,28.0,,,,,,,,,,,,28.0,2.0,,,2022-02-01
4,BABY STAR SHAMPOO BURBUJA ,19.0,,,,,,,,,,,,19.0,1.0,,,
5,BLOQUEADOR SUN CREAM SOLAR 130 ML,1.0,,,,,,,,,,,,1.0,80.0,2027-11-01 00:00:00,0.0,2024-02-01
6,BROMUTIL (BROMURO DE OTILONIO)  BLIST X 10,9.0,,,,,,,,,,,,9.0,20.0,2025-01-01 00:00:00,,
7,BRONCO-GRIP TOS ,27.0,,,,,,,,,,,,27.0,1.8,2026-11-01 00:00:00,,2023-12-01
8,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,1.0,,,,,,,,,,,,1.0,5.0,,,
9,CARDIO MARIANO FCO X 60 (PROTECTOR HIGADO),1.0,,,,,,,,,,,,1.0,60.0,2027-12-01 00:00:00,,2023-03-01
10,CEPILLO COLGATE PLUS 2 X 1,1.0,,,,,,,,,,,,1.0,10.0,,0.0,2022-09-01
11,CEPILLO DENTAL DENTITO,4.0,,,,,,,,,,,,4.0,4.0,,8.0,2022-08-01
12,CEPILLO DURA CLEAN ECONOMICO,2.0,,,,,,,,,,,,2.0,8.0,,,2022-11-01
13,CEPILLO ORAL SUAVE SUAVE 35,1.0,,,,,,,,,,,,1.0,5.0,,3.0,
14,CITOCOL AZUL No 43,1.0,,,,,,,,,,,,1.0,10.0,,,
15,CREMA ALOE VERA 150 ML,1.0,,,,,,,,,,,,1.0,25.0,,,
16,CREMA LUBRIDERM 1.5 LT,1.0,,,,,,,,,,,,1.0,150.0,,,
17,CREMA TEATRICAL ACLARADORA 100 GRS,0.0,,,,,,,,,,,,0.0,23.0,,0.0,2022-12-01
18,CREMA TEATRICAL ANTI ARRUGAS 100 GRS,1.0,,,,,,,,,,,,1.0,23.0,2026-03-01 00:00:00,0.0,2021-07-01
19,DESENFRIOL-ITO PLUS CAJA X 24 TABLETAS MASTICABLES,18.0,,,,,,,,,,,,18.0,2.0,0.5,,2024-01-01
20,DESODORANTE GILLETTE GEL H 82 GRS,2.0,,,,,,,,,,,,2.0,35.0,,,
21,DESODORANTE LADY SPEED ,2.0,,,,,,,,,,,,2.0,25.0,,,
22,DESODORANTE NIVEA MUJER BARRA,1.0,,,,,,,,,,,,1.0,30.0,2025-07-01 00:00:00,,2022-02-01
23,DESODORANTE NIVEA SPRAY HOMBRE150 ML,0.0,,,,,,,,,,,,0.0,22.0,2025-07-01 00:00:00,0.0,2024-01-01
24,DESODORANTE REXONA BARRA CLINICAL MUJER,2.0,,,,,,,,,,,,2.0,33.0,,2.0,
25,DESODORANTE REXONA BARRA MUJER,1.0,,,,,,,,,,,,1.0,25.0,,,
26,DEXA NEUROTROPAS X 3 DOSIS,0.0,,,,,,,,,,,,0.0,40.0,2026-02-01 00:00:00,,
