No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE COCO 120 ML ,1.0,17.65,29.0,0.39137931034482765,17.65,29.0
2,AFLAC GOTAS PEDIATRICAS 15 ML  (DICLOFENACO),3.0,16.95,29.0,0.41551724137931034,50.849999999999994,87.0
3,AGUA FLOLORIDA 4 ROSAS VESA  FCO 70 ML,2.0,2.2,4.0,0.44999999999999996,4.4,8.0
4,AGUA OXIGENADA 480 ML LA ENFERMERITA,5.0,6.1,11.0,0.4454545454545455,30.5,55.0
5,ALCANFOR PURO POLVO LATA 3 GRS DISFAVIL,2.0,2.35,5.0,0.53,4.7,10.0
6,ALCOHOL GEL 60 GRS (FQUIMICA),1.0,9.95,15.0,0.3366666666666667,9.95,15.0
7,ALFER NICOL UNGÜENTO TUBO 5 GRS,2.0,32.25,53.0,0.3915094339622642,64.5,106.0
8,AMOXI+CLAVU SUSP 312.5MG/5ML 100  ML BALAXI,1.0,18.75,33.0,0.4318181818181818,18.75,33.0
9,AMOXICILINA + ACIDO CLAVULANICO IV 1.2 VIAL 20ML ,3.0,34.95,59.0,0.40762711864406775,104.85000000000001,177.0
10,AMOXIPLUS 1 G (AMOXI+CLAV) BALAXI CJ X 14 BLIST X 7,18.0,16.795,30.0,0.4401666666666666,302.31000000000006,540.0
11,AMPICILINA+SULBACTAM 1.5 G POLVO P/SOL INYEC,6.0,5.45,22.0,0.7522727272727273,32.7,132.0
12,ANESTESIN 2% C/ EPINEFRINA 50 ML LIDOCAINA,1.0,30.45,51.0,0.40294117647058825,30.45,51.0
13,ARNICA + MANZANILLA GEL 120 ML ,0.0,13.98,24.0,0.4175,0.0,0.0
14,ARNICA GEL 120 ML,0.0,8.75,17.0,0.4852941176470588,0.0,0.0
15,ARNIDOL POMADA ARNICA 12 GRS,3.0,8.88,15.0,0.408,26.64,45.0
16,BAJA LENGUAS  DE MADERA CAJA X 100,84.0,0.139,0.25,0.44399999999999995,11.676000000000002,21.0
17,BALSAMICO DEL DEPORTISTA LATA 12 GRS,2.0,5.65,9.0,0.3722222222222222,11.3,18.0
18,BISMUTO BEBIBLE CAJA X 10 UNIDOSIS HIPER,11.0,3.08,5.0,0.384,33.88,55.0
19,CARDIOVITAL CAJA X 60 BLISTER X 10,4.0,13.0,20.0,0.35,52.0,80.0
20,CEFIXIMA 400 MG CAJA X 10 TAB ,2.0,46.75,80.0,0.415625,93.5,160.0
21,CEFTRIAXONA 1G VITALIS VIAL INY,11.0,8.89,17.0,0.47705882352941176,97.79,187.0
22,CERENERVOL CJ X 10 AMP BEBIBLES,1.0,59.95,102.0,0.4122549019607843,59.95,102.0
23,CIRUELA SEN CAJA X 15 H & V,45.0,1.22,2.333,0.47706815259322766,54.9,104.98500000000001
24,COLIVERIO PLUS CJ X30 CAPS  BLIST X 5,15.0,4.665,7.0,0.3335714285714286,69.975,105.0
25,DIPRONOVA 1 ML AMP,5.0,31.97,57.0,0.43912280701754386,159.85,285.0
26,EQUIPO  PARA SUERO NIPRO  ,5.0,3.5,7.0,0.5,17.5,35.0
27,ESENCIA DE CLAVO 15 ML DISFAVIL ,2.0,21.0,32.0,0.34375,42.0,64.0
28,ESOMEPRAZOL 40 MG IV AMPOLLA LOTUS BALAXI,4.0,10.77,30.0,0.641,43.08,120.0
29,FERULA TIPO BASBALL TALLA M,1.0,18.95,32.0,0.4078125,18.95,32.0
30,FERULA TIPO RANITA TALLA M,2.0,18.75,32.0,0.4140625,37.5,64.0
31,FUNGIFAR TALCO MEDIANO P/HONGOS 50 GRS,2.0,15.2,26.0,0.4153846153846154,30.4,52.0
32,FUNGIFAR ULTRA CEREMA 15 GRS (BUTENAFINA),1.0,40.6,68.0,0.4029411764705882,40.6,68.0
33,FUROSEMIDA 10 MG ML AMP BALAXI,4.0,1.2,4.0,0.7,4.8,16.0
