ID,PRODUCTO,INV,COST,PRESENTACION COSTO,PP,VC,FC,UBICA,FF,QUE ES,P QUE S,DOSIFICA,PA
1,ACEITE DE RECINO 1 ONZ LASANA,3.0,6.5,FRASCO,11.0,2026-08-01,2024-12-01,,,,,,
2,ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,147.0,1.27,CAJA,2.1,2025-03-01,2024-11-01,,,,,,
3,ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,2.0,19.95,FRASCO,38.0,2025-10-01,2023-11-01,,,,,,
4,ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,8.0,0.8,BLSTER,2.5,2025-04-01,2024-03-01,,,,,,
5,ACIDO BORICO POLVO 1 ONZ BOLSA X 8,12.0,1.65,BOLSA,5.0,2027-11-01,2024-12-01,,,,,,
6,ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,7.0,3.25,FRASCO,7.0,2025-10-01,2025-01-01,,,,,,
7,ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,9.0,0.817,CAJA,5.0,2026-04-01,2024-03-01,,,,,,
8,ALCOHOL  ELITICO70% 1/2 LITRO VESA,3.0,9.5,BOTELLA,15.0,2026-10-01,2024-11-01,,,,,,
9,ALCOHOL ALCANFORADO 120 ML SANTE,3.0,4.55,BOTELLA,8.0,2026-05-01,2024-09-01,,,,,,
10,ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,8.0,3.0,BLISTER,5.0,2026-10-01,2024-12-01,,,,,,
11,AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,16.0,2.23,BLISTER,5.0,2025-10-01,2024-01-01,,,,,,
12,AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,22.0,1.624,BLISTER,4.0,2027-03-01,2024-12-01,,,,,,
13,AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN) ,2.0,51.95,FRASCO,85.0,2026-05-01,2024-12-01,,,,,,
14,AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),17.0,2.77,BLISTER,6.0,2026-10-01,2024-12-01,,,,,,
15,AMPICILINA 500 MG BLISTER X 10 CAJA X  100,0.0,4.63,BLISTER,10.0,2027-05-01,2025-01-01,,,,,,
16,ATENOLOL 100 MG BLIST X A10 CAJA X 100 (ARGUS O CAPLIN),13.0,1.78,BLISTER,5.0,2026-04-01,2024-08-01,,,,,,
17,AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,2.0,12.0,FRASCO,23.0,2026-10-01,2025-01-01,,,,,,
18,AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,3.0,14.65,FRASCO,25.0,2026-03-01,2024-03-01,,,,,,
19,AZITROMICINA 500 MG CAJA X 3 TAB,14.0,8.04,CAJA,18.0,2027-03-01,2025-01-01,,,,,,
20,BENZOATO DE BENCILO FCO X 120 ML SELEC,2.0,10.8,FRASCO,19.0,2026-04-01,2024-08-01,,,,,,
21,BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,7.0,3.9,BOLSA,7.0,2026-06-01,2025-01-01,,,,,,
22,CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,10.0,3.56,BLISTER,6.0,2028-06-01,2025-01-01,,,,,,
23,CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,14.0,5.0,BLISTER,9.0,2028-07-01,2024-12-01,,,,,,
24,CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,9.0,2.595,BLISTER,5.0,2026-04-01,2024-11-01,,,,,,
25,CEFIXIMA 100MG/5ML X FCO 60 ML ARGUS O CAPLIN,2.0,18.0,FRASCO,34.0,2026-08-01,2024-10-01,,,,,,
26,CEFTRIAXONA 1G VIAL PANAL CAJA X 10 ARGUS,9.0,5.25,VIAL,10.0,2025-03-01,2024-07-01,,,,,,
27,CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,16.0,4.595,TABLETA,10.0,2027-05-01,2024-12-01,,,,,,
28,CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,40.0,0.695,TABLETA,1.5,2026-08-01,2024-12-01,,,,,,
29,CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC ,2.0,17.55,FRASCO,30.0,2027-02-01,2024-09-01,,,,,,
30,CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100,10.0,8.315,BLISTER,17.0,2028-12-01,2024-10-01,,,,,,
31,CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,3.0,9.75,TUBO,17.0,2028-02-01,2024-12-01,,,,,,
32,CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,2.0,8.75,TUBO,16.0,2026-08-01,2024-09-01,,,,,,
33,CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40 ,63.0,5.3,LATITA,8.0,2027-08-01,2025-01-01,,,,,,
34,COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,10.0,0.8,BLISTER,2.0,2026-10-01,2024-12-01,,,,,,
35,COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN ,1.0,22.95,SOBRE,40.0,2026-05-01,2024-12-01,,,,,,
36,COQUELUCHE FCO 120 ML,1.0,23.85,FRASCO,39.0,2026-02-01,2023-03-01,,,,,,
37,CREMA LASSAR BB COOL 120 GRS,3.0,13.45,FRASCO,23.0,2027-08-01,2025-01-01,,,,,,
38,DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,14.0,2.78,BLISTER,5.0,2027-03-01,2024-11-01,,,,,,
39,DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,20.0,4.4,BLISTER,8.0,2027-07-01,2025-01-01,,,,,,
40,DESLORTADINA JARABE FCO X 60 ML SELEC,4.0,22.95,FRASCO,39.0,2027-06-01,2024-10-01,,,,,,
41,DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,12.0,4.0,BLISTER,7.0,2027-03-01,2025-01-01,,,,,,
42,DEXTROMETORFANO  JBE 120 ML SELEC,5.0,9.85,FRASCO,17.0,2026-02-01,2023-08-01,,,,,,
43,DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,12.0,2.875,BLISTER,7.0,2026-06-01,2024-09-01,,,,,,
44,DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,11.0,4.4,BLISTER,9.0,2025-10-01,2024-12-01,,,,,,
45,DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,55.0,0.43,GEL CAPS,0.8,2026-06-01,2025-01-01,,,,,,
46,DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100 ARGUS,27.0,0.94,BLISTER,2.5,2027-02-01,2024-11-01,,,,,,
47,DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,14.0,1.265,BLISTER,2.5,2028-04-01,2024-03-01,,,,,,
48,DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,5.0,8.35,BLISTER,17.0,2026-07-01,2024-08-01,,,,,,
49,DIPIRONA AMPOLLA 2 ML CAPLIN,8.0,1.75,AMPOLLA,3.0,2027-06-01,2025-01-01,,,,,,
50,DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,7.0,6.5,BLISTER,12.0,2026-03-01,2024-05-01,,,,,,
51,DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,4.0,6.75,BLISTER,13.0,2026-09-01,2024-09-01,,,,,,
52,DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,5.0,4.04,FRASCO,7.0,2025-11-01,2024-11-01,,,,,,
53,DOLO-NERVISEL  KIT ,12.0,10.88,BLISTER,19.0,2027-05-01,2024-12-01,,,,,,
54,DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,66.0,1.25,BLISTER,4.0,2025-08-01,2024-09-01,,,,,,
55,DROPADEX DUO BLIST X 10 CAJA X 50 ,26.0,2.5,BLISTER,4.5,2026-04-01,2024-12-01,,,,,,
56,ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,17.0,4.25,BLISTER,8.0,2026-01-01,2025-01-01,,,,,,
57,ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,10.0,8.03,BLISTER,15.0,2027-08-01,2025-01-01,,,,,,
58,ENZITROL BLIST X 10 CAJA X 100,13.0,7.92,BLISTER,13.0,2027-08-01,2025-01-01,,,,,,
59,ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,6.0,11.46,BLISTER,20.0,2026-01-01,2024-01-01,,,,,,
