No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,BACAOLINA JARABE 480 ML,1.0,25.0,47.0,0.46808510638297873,25.0,47.0
2,BOLSA HORINA P/PIERNA,1.0,9.1,15.0,0.39333333333333337,9.1,15.0
3,CABESTRILLO  L,1.0,39.85,68.0,0.4139705882352941,39.85,68.0
4,CABESTRILLO S Y M,2.0,40.925,68.0,0.3981617647058824,81.85,136.0
5,CURITAS CAJA X 100 CUREFAST,2.0,10.0,17.0,0.4117647058823529,20.0,34.0
6,ESPARADRAPO 1/2,2.0,8.0,13.0,0.38461538461538464,16.0,26.0
7,ESPARADRAPO DE 1,2.0,15.0,25.0,0.4,30.0,50.0
8,GASA SIMPLE ESTERIL CAJA X 100 SOBRES,83.0,0.68,1.25,0.45599999999999996,56.440000000000005,103.75
9,GELPROFEN 600 MG CJ X50 CAPS,4.0,5.6,12.0,0.5333333333333333,22.4,48.0
10,GUANTES ESTERILES CAJA X 50 ,44.0,3.95,7.0,0.43571428571428567,173.8,308.0
11,HOJA DE BISTURI No 21,2.0,0.85,3.0,0.7166666666666667,1.7,6.0
12,HOJA DE BISTURI No 22,2.0,0.85,3.0,0.7166666666666667,1.7,6.0
13,HOJA DE BISTURI No 24,4.0,0.85,3.0,0.7166666666666667,3.4,12.0
14,JERINGA DE 20 CC,4.0,1.95,4.0,0.5125,7.8,16.0
15,JERINGA DE 50 CC,4.0,3.65,7.0,0.4785714285714286,14.6,28.0
16,KETOC (KETOCONAZOL OVULOS ) X 3 U,2.0,37.95,65.0,0.4161538461538461,75.9,130.0
17,LIGADURA PARA TORNIQUETE,3.0,4.75,8.0,0.40625,14.25,24.0
18,METHYCOBAL KIT INYEC,2.0,10.0,25.0,0.6,20.0,50.0
19,MIXAGRIP  GOTAS PEDIATRICAS 15 ML,0.0,8.0,14.0,0.42857142857142855,0.0,0.0
20,PERILLA DE HULE (SACA MOCOS) No 1,2.0,9.1,16.0,0.43125,18.2,32.0
21,REDECILLA NEGRA,8.0,1.35,2.5,0.45999999999999996,10.8,20.0
22,ROCEFORT (CEFTRIAXONA) 1 GRAMO,13.0,20.81,45.0,0.5375555555555556,270.53,585.0
23,SERTAL GOTAS 20 ML,1.0,20.0,50.0,0.6,20.0,50.0
24,SUKROL NIÑO JARABE 240 ML,0.0,12.0,25.0,0.52,0.0,0.0
25,SUTURA NYLON NEGRA No 3-0,3.0,17.5,30.0,0.4166666666666667,52.5,90.0
26,SUTURA NYLON NEGRO No 2-0,3.0,14.65,30.0,0.5116666666666666,43.95,90.0
27,SUTURA SEDA NEGRA No 3-0,8.0,17.5,30.0,0.4166666666666667,140.0,240.0
28,VITABALANCE FEM CAJA X 40 GOMITAS,1.0,30.0,70.0,0.5714285714285714,30.0,70.0
29,VITABALANCE KIDS CAJA X 60 GOMITAS,1.0,30.0,70.0,0.5714285714285714,30.0,70.0
30,,,,,,0.0,0.0
31,,,,,,0.0,0.0
32,,,,,,1229.77,2354.75
33,,,,,,,
34,,,,,,,1124.98
35,,,,,,,
36,,,,,,,0.47774923027922284
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
