id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACETAMINOFEN MK GOTAS FCO 30 ML,"{'FRASCO': [1, 31.0]}",Gotas,Analgésico y antipirético,Acetaminofen,Según indicación médica,Reduce la fiebre y alivia el dolor,1,4.0,18.0,31.0,0.4193548387096774,72.0,124.0
2,ACETAMINOFEN MK JBE NIÑOS 120 MG X 60 ML,"{'JARABE': [1, 32.0]}",Jarabe,Analgésico y antipirético para niños,Acetaminofen,Según indicación médica,Reduce la fiebre y alivia el dolor en niños,2,2.0,18.3,32.0,0.428125,36.6,64.0
3,ALGODÓN ROLLO LIBRA,"{'BOLSA': [1, 45.0]}",Rollo,Para uso en curaciones y limpieza de heridas,No aplica,Según necesidad,Absorbe líquidos y protege la piel,3,1.0,25.3,45.0,0.4377777777777777,25.3,45.0
4,ALKA  AD CAJA X 72,"{'CAJA': [72, 144.0], 'BOLSA': [1, 2.0]}",Tabletas efervescentes,Antiácido y analgésico,Aluminio hidróxido y magnesio hidróxido,Según indicación médica,Neutraliza el ácido estomacal y alivia el dolor,4,66.0,0.56,2.0,0.72,36.96,132.0
5,ANADENT CAJA  X 100 BLIST X 4,"{'CAJA': [100, 56.25], 'BLISTER': [4, 2.25]}",Tabletas,Analgésico y antiinflamatorio,Diclofenaco,Según indicación médica,Alivia el dolor y reduce la inflamación,5,99.0,1.3,2.25,0.4222222222222222,128.70000000000002,222.75
6,ARTRI AJO KING  X 100 TAB,"{'TABLETA': [1, 85.0]}",Tabletas,Suplemento alimenticio,Ajo,1 tableta al día,Ayuda a mantener la salud cardiovascular,6,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
7,ARTRI KING CAJA X 100 TABS,"{'CAJA': [100, 8500.0], 'TABLETA': [1, 85.0]}",Tabletas,Suplemento alimenticio,Glucosamina y condroitina,Según indicación médica,Ayuda a mantener la salud de las articulaciones,7,1.0,50.3,85.0,0.4082352941176471,50.3,85.0
8,ARTRIBION FORTE FCO X 100 TABS,"{'FRASCO': [1, 40.0]}",Tabletas,Analgésico y antiinflamatorio,"Diclofenaco, paracetamol y vitaminas",Según indicación médica,Alivia el dolor y reduce la inflamación,8,1.0,20.3,40.0,0.4925,20.3,40.0
9,ARTRIBION VITAMINADO BLIST X 4 CAJA X 20 SOBRES,"{'BLISTER': [4, 5.0], 'CAJA': [20, 25.0]}",Sobres,Suplemento alimenticio,"Glucosamina, condroitina, vitaminas y minerales",Según indicación médica,Ayuda a mantener la salud de las articulaciones y aporta nutrientes esenciales,9,8.0,3.25,5.0,0.35,26.0,40.0
10,BARMICIL  TUBO 40 GRS,"{'TUBO': [1, 26.0]}",Crema,Antibiótico y antiinflamatorio tópico,Betametasona y gentamicina,Aplicar en la zona afectada según indicación médica,Combate infecciones y reduce la inflamación en la piel,10,2.0,13.0,26.0,0.5,26.0,52.0
11,BETA 2 PAN KIT AMPOLLA,"{'KIT': [1, 63.0]}",Ampolla,Broncodilatador,Salbutamol,2.5 mg/2.5 ml,Relajante de la musculatura lisa de las vías respiratorias,11,3.0,37.3,63.0,0.407936507936508,111.9,189.0
12,BISMUTO X 100 U,"{'BOLSA': [1, 0.75]}",Tableta,Antiácido y gastroprotector,Bismuto,100 mg,Protección de la mucosa gástrica,12,50.0,0.2,0.75,0.7333333333333334,10.0,37.5
13,BROMHEXINA 120 ML JBE SELEC (EXIFLEM),"{'JARABE': [1, 12.0]}",Jarabe,Mucolítico y expectorante,Bromhexina,4 mg/ml,Facilita la eliminación de secreciones bronquiales,13,4.0,7.0,12.0,0.4166666666666667,28.0,48.0
14,BRONCUROL JBE 120 ML,"{'JARABE': [1, 30.0]}",Jarabe,Antitusivo y broncodilatador,Ambroxol,15 mg/5 ml,Alivia la tos y facilita la respiración,14,3.0,12.3,30.0,0.59,36.900000000000006,90.0
15,BUSCAPINA COMPUESTA BLISTER X 12 CAJA X 24,"{'BLISTER': [12, 2.5], 'CAJA': [24, 5.0]}",Tableta,Analgésico y antiespasmódico,Butilhioscina y paracetamol,10 mg y 500 mg,Alivia el dolor abdominal y los espasmos intestinales,15,24.0,0.43,2.5,0.828,10.32,60.0
16,BUTAZOLIDINA BLIS X 10 CAJA X 100 SANDOZ,"{'BLIS': [10, 10.0], 'CAJA': [100, 100.0]}",Tableta,Antiinflamatorio no esteroideo,Fenilbutazona,100 mg,Reduce la inflamación y el dolor,16,9.0,2.5,10.0,0.75,22.5,90.0
17,CALCIO + MAGNESIO VESA FCO X 100 GELCAPS,"{'FRASCO': [1, 68.0]}",Cápsula,Suplemento dietético,Calcio y magnesio,500 mg y 250 mg,Fortalece los huesos y músculos,17,1.0,38.3,68.0,0.436764705882353,38.3,68.0
18,CANESTEN EXTRA,"{'BOLSA': [1, 45.0]}",Crema,Antifúngico,Clotrimazol,1%,Tratamiento de infecciones por hongos en la piel,18,2.0,15.0,45.0,0.6666666666666666,30.0,90.0
