id,medicamento,presentacion,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica,No,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
1,ACEITE DE HIGADO X 100 SIETE MARES,"{'BOTE': [1, 37.0]}",Cápsulas,Suplemento alimenticio,Aceite de hígado de pescado,1 cápsula al día,Aporte de ácidos grasos omega-3 y vitaminas A y D,1,2.0,24.0,37.0,0.3513513513513513,48.0,74.0
2,ACEITE DE OLIVA PREDILECTO 120 ML,"{'BOTE': [1, 8.0]}",Solución oral,Suplemento alimenticio,Aceite de oliva,Según indicación médica,Fuente de ácidos grasos monoinsaturados y vitamina E,2,2.0,4.69,8.0,0.4137499999999999,9.38,16.0
3,ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100,"{'BLISTER': [10, 8.0], 'CAJA': [100, 80.0]}",Tabletas,Analgésico y antipirético,Acetaminofén,1 tableta cada 4-6 horas según necesidad,Inhibición de la síntesis de prostaglandinas,3,17.0,4.83,8.0,0.39625,82.11,136.0
4,AGUJA 18G X 1-1/2 ROSADA,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular,4,107.0,0.28,0.5,0.4399999999999999,29.960000000000004,53.5
5,AGUJA 18G X 1-1/4 ROSADA,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular,5,0.0,0.23,0.5,0.54,0.0,0.0
6,AGUJA 20G X 1 -1/2  AMARILLA,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos por vía intravenosa,No aplica,Según indicación médica,Facilita la inyección intravenosa,6,109.0,0.23,0.5,0.54,25.07,54.5
7,AGUJA 21G X 1 X 1/2 VERDE,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos por vía subcutánea,No aplica,Según indicación médica,Facilita la inyección subcutánea,7,78.0,0.23,0.5,0.54,17.94,39.0
8,AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular,8,40.0,0.31,0.5,0.38,12.4,20.0
10,"AGUJA 23G X 1-1/2"" AZUL (NIPRO)","{'JERINGA PRELLENADA': [1, 0.5]}",Aguja estéril,Para administración de medicamentos,No aplica,Según indicación médica,Facilita la inyección,10,6.0,0.31,0.5,0.38,1.86,3.0
11,AGUJA 24G X 1 MORADA,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja,Para administración de medicamentos por vía subcutánea,No aplica,24G x 1,Facilita la administración de medicamentos de forma segura,11,153.0,0.25,0.5,0.5,38.25,76.5
12,AGUJA 25G X 1 NARANJA X 100 NIPRO,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja,Para administración de medicamentos por vía subcutánea,No aplica,25G x 1,Facilita la administración de medicamentos de forma segura,12,75.0,0.23,0.5,0.54,17.25,37.5
13,AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja,Para administración de medicamentos por vía subcutánea,No aplica,25G x 1-1/2,Facilita la administración de medicamentos de forma segura,13,85.0,0.23,0.5,0.54,19.55,42.5
14,AGUJA 27G X 1/2,"{'JERINGA PRELLENADA': [1, 0.5]}",Aguja,Para administración de medicamentos por vía subcutánea,No aplica,27G x 1/2,Facilita la administración de medicamentos de forma segura,14,23.0,0.24,0.5,0.52,5.52,11.5
15,AGUJA 30G X 1/2  AMARILLA (NIPRO),"{'JERINGA PRELLENADA': [1, 1.0]}",Aguja,Para administración de medicamentos por vía subcutánea,No aplica,30G x 1/2,Facilita la administración de medicamentos de forma segura,15,33.0,0.43,1.0,0.5700000000000001,14.19,33.0
16,ALCOHOL  ELITICO LORALVA 70% 960 ML,"{'BOTE': [1, 28.0]}",Solución,Desinfectante de uso tópico,Alcohol etílico al 70%,960 ml,Elimina microorganismos en la piel,16,2.0,16.79,28.0,0.4003571428571429,33.58,56.0
17,ALCOHOL ETILICO VESA 70% SPRAY 120 ML,"{'SPRAY': [1, 15.0]}",Spray,Desinfectante de uso tópico,Alcohol etílico al 70%,120 ml,Elimina microorganismos en la piel,17,2.0,8.65,15.0,0.4233333333333333,17.3,30.0
18,ALEVE EXTRA FUERTE X 36 TAB,"{'CAJA': [36, 90.0], 'TABLETA': [1, 2.5]}",Tableta,Analgésico y antiinflamatorio,Naproxeno,36 tabletas,Alivia el dolor y reduce la inflamación,18,27.0,1.24,2.5,0.504,33.48,67.5
19,ALEVE LQUID GELS X 24,"{'CAJA': [24, 90.0], 'TABLETA': [1, 3.75]}",Cápsula,Analgésico y antiinflamatorio,Naproxeno,24 cápsulas,Alivia el dolor y reduce la inflamación,19,30.0,2.25,3.75,0.4,67.5,112.5
20,ALEVE MAX CAJA X 10 TAB,"{'CAJA': [10, 35.0], 'TABLETA': [1, 3.5]}",Tableta,Analgésico y antiinflamatorio,Naproxeno,10 tabletas,Alivia el dolor y reduce la inflamación,20,24.0,2.32,3.5,0.3371428571428572,55.67999999999999,84.0
21,ALGODÓN BOLSA X 25,"{'BOLSA': [1, 0.5]}",Bolsa,Para limpieza y curación de heridas,Algodón,Uso externo,Absorción de líquidos y secreciones,21,7.0,0.3,0.5,0.4,2.1,3.5
22,ALGODÓN ZUUM 50 GRS,"{'BOLSA': [1, 12.0]}",Algodón,Para limpieza y curación de heridas,Algodón,Uso externo,Absorción de líquidos y secreciones,22,0.0,6.2,12.0,0.4833333333333333,0.0,0.0
23,ALKA GASTRIC DISP. X 36 TAB,"{'DISPENSADOR': [36, 108.0], 'TABLETA': [1, 3.0]}",Tableta dispersable,Para aliviar la acidez estomacal,Hidróxido de aluminio y magnesio,Según indicación médica,Neutralización del ácido gástrico,23,39.0,1.84,3.0,0.3866666666666666,71.76,117.0
24,ALKA SELTZER DISP X 60,"{'DISPENSADOR': [60, 90.0], 'TABLETA': [1, 1.5]}",Tableta efervescente,Para aliviar la acidez estomacal y el dolor de cabeza,"Ácido acetilsalicílico, bicarbonato de sodio y ácido cítrico",Según indicación médica,Analgésico y antiinflamatorio,24,108.0,1.01,1.5,0.3266666666666666,109.08,162.0
25,ANESTENCA TUBO X 5 ML,"{'TUBO': [5, 32.0]}",Crema,Anestésico tópico para aliviar el dolor en la piel,Lidocaína,Uso externo,Anestésico local,25,1.0,19.85,32.0,0.3796874999999999,19.85,32.0
26,ANGIOCAT # 16,"{'BOLSA': [1, 10.0]}",Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos,26,2.0,5.4,10.0,0.4599999999999999,10.8,20.0
27,ANGIOCAT # 18,"{'BOLSA': [1, 10.0]}",Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos,27,7.0,5.65,10.0,0.4349999999999999,39.55,70.0
28,ANGIOCAT # 20,"{'BOLSA': [1, 10.0]}",Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos,28,4.0,3.75,10.0,0.625,15.0,40.0
29,ANGIOCAT # 22,"{'BOLSA': [1, 10.0]}",Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos,29,5.0,5.65,10.0,0.4349999999999999,28.25,50.0
30,ANGIOCAT # 24,"{'BOLSA': [1, 10.0]}",Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos,30,4.0,5.4,10.0,0.4599999999999999,21.6,40.0
