medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACETAMINOFEN BAYER 500 MG CJ X 100 BLIST X 10,Comprimido,Analgésico y antipirético para el alivio del dolor y la fiebre.,Acetaminofén,"Adultos y niños mayores de 12 años: 1-2 comprimidos cada 4-6 horas según sea necesario, sin exceder 8 comprimidos en 24 horas.",Inhibe la síntesis de prostaglandinas en el sistema nervioso central.
CURITAS HANSAPLAST TRANSPARENTE,Curita,Protección de heridas pequeñas y cortes.,No aplica,Aplicar sobre la herida limpia y seca. Cambiar diariamente o según sea necesario.,Protege la herida de la suciedad y las bacterias.
JABON AZUFRE 100 GRS,Jabón en barra,Tratamiento de piel grasa y acné.,Azufre,"Usar una o dos veces al día sobre la piel húmeda, enjuagar bien.","Antiséptico y queratolítico, ayuda a reducir el exceso de grasa y las impurezas de la piel."
JABÓN HIPOALERGÉNICO 100G (NEUTRO),Jabón en barra,Limpieza suave para piel sensible.,No aplica,Usar diariamente según sea necesario.,"Limpia sin irritar, adecuado para piel sensible."
LANCETAS NIPRO CAJA X 100,Lanceta,Para la obtención de muestras de sangre capilar.,No aplica,Usar una lanceta nueva para cada prueba de glucosa.,Permite la punción de la piel para obtener muestras de sangre.
LANCETAS NIPRO CAJA X 100 X UNIDAD,Lanceta,Para la obtención de muestras de sangre capilar.,No aplica,Usar una lanceta nueva para cada prueba de glucosa.,Permite la punción de la piel para obtener muestras de sangre.
MEDIDOR DE GLUCOSA PREMIER KIT,Kit de medidor de glucosa,Monitoreo de los niveles de glucosa en sangre.,No aplica,Usar según las instrucciones del fabricante para medir los niveles de glucosa.,Proporciona lecturas de glucosa en sangre para el manejo de la diabetes.
MYDOCALM-A CAJA X 30 BLIST X 10 CAPS,Cápsula,Relajante muscular para el alivio de espasmos musculares.,Tolperisona,Adultos: 1 cápsula 2-3 veces al día después de las comidas.,Relaja los músculos esqueléticos y mejora la circulación sanguínea.
PARCHES PARA ACNE CAJA X 24 INVISIBLE,Parche,Tratamiento localizado para el acné.,No aplica,Aplicar un parche sobre el área afectada y dejar actuar durante varias horas o toda la noche.,Absorbe las impurezas y protege la piel de contaminantes externos.
TINTE GALLO AMARILLO 15 grs,Tinte en polvo,Coloración temporal para el cabello.,No aplica,Mezclar con agua y aplicar sobre el cabello según las instrucciones del fabricante.,Proporciona coloración temporal al cabello.
TINTE GALLO ANARANJADO 15 grs,Polvo,Tinte para textiles,Colorante anaranjado,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO AZUL MARINO 15 grs,Polvo,Tinte para textiles,Colorante azul marino,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO AZUL MEZCLILLA 15 grs,Polvo,Tinte para textiles,Colorante azul mezclilla,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO CAFÉ 15 grs,Polvo,Tinte para textiles,Colorante café,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO CASTAÑO 15 grs,Polvo,Tinte para textiles,Colorante castaño,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO CELESTE 15 grs,Polvo,Tinte para textiles,Colorante celeste,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO GRIS 15 grs,Polvo,Tinte para textiles,Colorante gris,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO NEGRO 15 grs,Polvo,Tinte para textiles,Colorante negro,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO ROJO 15 grs,Polvo,Tinte para textiles,Colorante rojo,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO ROSADO 15 grs,Polvo,Tinte para textiles,Colorante rosado,Disolver en agua caliente y aplicar sobre el tejido deseado,No aplica
TINTE GALLO VERDE 15 grs,Tinte en polvo,Producto para teñir el cabello.,Compuestos colorantes,"Aplicar sobre el cabello seco, dejar actuar 30 minutos y enjuagar.",No aplica
TIRAS PREMIER NIPRO CAJA X 50,Tiras reactivas,Medición de glucosa en sangre.,Glucosa oxidasa,Usar según las indicaciones del medidor de glucosa.,No aplica
TIRAS PREMIER NIPRO CAJA X 50 X UNIDAD,Tiras reactivas,Medición de glucosa en sangre.,Glucosa oxidasa,Usar según las indicaciones del medidor de glucosa.,No aplica
TROJAN DOBLE ACCION X 3 CONDONES,Condones,Prevención de embarazos y enfermedades de transmisión sexual.,Látex,Usar un condón nuevo para cada acto sexual.,No aplica
TROJAN PIEL DESNUDA X 3 CONDONES,Condones,Prevención de embarazos y enfermedades de transmisión sexual.,Látex,Usar un condón nuevo para cada acto sexual.,No aplica
TROJAN SEGURIDAD X 3 CONDONES,Condones,Prevención de embarazos y enfermedades de transmisión sexual.,Látex,Usar un condón nuevo para cada acto sexual.,No aplica
TROJAN TEXTURIZADO X 3 CONDONES,Condones,Prevención de embarazos y enfermedades de transmisión sexual.,Látex,Usar un condón nuevo para cada acto sexual.,No aplica
X-ACTO PRUEBA DE EMBARAZO,Prueba de diagnóstico,Detección de embarazo a través de la orina.,Anticuerpos anti-hCG,Sumergir la tira en orina y esperar 5 minutos para leer el resultado.,No aplica
ZEPOL INHALADOR NASAL,Inhalador nasal,Alivio de la congestión nasal.,"Mentol, alcanfor",Inhalar profundamente por cada fosa nasal según sea necesario.,Descongestionante nasal
