medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE BEBE BABY CHIC MEDIANO 115 ML,Aceite,Cuidado de la piel del bebé,Aceite mineral,Aplicar una cantidad adecuada sobre la piel del bebé,Hidratante y protector de la piel
AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,Suspensión oral,Tratamiento de infecciones bacterianas,Amoxicilina y ácido clavulánico,400 mg de amoxicilina y 57 mg de ácido clavulánico por 5 ml,Antibiótico de amplio espectro
ARCO CORT 40MG KIT,Kit de inyección,Tratamiento de condiciones inflamatorias,Metilprednisolona,40 mg por vial,Corticosteroide antiinflamatorio
AVAMIGRAN BLISTER X 10,Tabletas,Alivio de migrañas y dolores de cabeza,"Ergotamina, cafeína, dimenhidrinato",Dosis según prescripción médica,Vasoconstrictor y analgésico
BACTID SPRAY TOPICO 30 ML,Spray tópico,Antiséptico para heridas menores,Clorhexidina,Aplicar sobre la zona afectada según necesidad,Antiséptico y desinfectante
BIFONAZOL GOTAS TOPICAS 15 ML,Gotas tópicas,Tratamiento de infecciones fúngicas de la piel,Bifonazol,Aplicar una vez al día sobre la zona afectada,Antifúngico
BINOTAL (AMPICILINA) 1000MG BLISTER X 6,Tabletas,Tratamiento de infecciones bacterianas,Ampicilina,1000 mg por tableta,Antibiótico de amplio espectro
BROMHEXINA CAPLIN JARABE 120 ML,Jarabe,Tratamiento de trastornos respiratorios con secreciones viscosas,Bromhexina,8 mg/5 ml,Mucolítico
BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,Spray nasal,Tratamiento de rinitis alérgica,Budesonida,200 mcg por aplicación,Corticosteroide antiinflamatorio
CANDERSARTAN 32 BLS X 10 CAJA X 30 TABS CAPLIN,Tabletas,Tratamiento de la hipertensión arterial,Candesartán,32 mg por tableta,Antagonista de los receptores de angiotensina II
CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,Inyección,Antibiótico para el tratamiento de infecciones bacterianas.,"Ceftriaxona, Sulbactam",1-2 g de ceftriaxona con 0.5-1 g de sulbactam cada 12 horas,Inhibe la síntesis de la pared celular bacteriana.
CLARITROMICINA 500 MGS BLIST X 10 BALAXI,Tableta,Antibiótico para tratar diversas infecciones bacterianas.,Claritromicina,500 mg cada 12 horas durante 7-14 días,Inhibe la síntesis de proteínas bacterianas.
CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO,Elixir,Suplemento de potasio para prevenir o tratar niveles bajos de potasio en la sangre.,Gluconato de potasio,"20-40 mEq al día, según necesidad",Reemplaza el potasio en el cuerpo.
CUERPO AMARILLO AMPOLLA KIT PIERSAN,Ampolla,Utilizado en tratamientos de fertilidad.,Gonadotropina coriónica humana (hCG),"5,000-10,000 UI según indicación médica",Estimula la ovulación y la producción de progesterona.
CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,Inyección,Anticonceptivo hormonal mensual.,Medroxiprogesterona,150 mg cada 28-30 días,Inhibe la ovulación y altera el moco cervical.
DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,Tableta,Tratamiento de diarreas bacterianas.,Nifuroxazida,400 mg cada 6-8 horas,"Antiséptico intestinal, inhibe el crecimiento bacteriano."
DEAREXIN SUSPENSIÓN 120 ML,Suspensión,Tratamiento de diarreas bacterianas en niños.,Nifuroxazida,5 ml cada 6-8 horas,"Antiséptico intestinal, inhibe el crecimiento bacteriano."
DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),Crema,Tratamiento de hemorroides.,"Hidrocortisona, Lidocaína",Aplicar 2-3 veces al día,Reduce la inflamación y alivia el dolor.
DEXAVITANERVO KIT AMPOLLA,Ampolla,Suplemento vitamínico para el sistema nervioso.,Complejo de vitaminas B,Según prescripción médica,Mejora la función nerviosa y alivia el dolor neuropático.
DOLO MENALGIL KIT AMPOLLA MENARINI,Ampolla,Alivio del dolor agudo.,"Diclofenaco, Metamizol",Según prescripción médica,Analgésico y antiinflamatorio.
ENANTYUM 25 MG SOLUCION ORAL 10 ML,Solución oral,Analgésico para el tratamiento del dolor leve a moderado.,Dexketoprofeno,25 mg por 10 ml,"Inhibidor de la síntesis de prostaglandinas, con acción antiinflamatoria y analgésica."
ENZIFLAT (ENZIMAS) BLIST X 10 CAJA X 120 TABS,Tabletas,Ayuda a la digestión de alimentos y alivia la distensión abdominal.,"Pancreatina, simeticona",Consultar la etiqueta del producto para la dosificación específica.,"Enzimas digestivas que ayudan en la digestión de grasas, proteínas y carbohidratos."
EQUILIV GOTAS 10 ML,Gotas orales,Suplemento vitamínico para mejorar el bienestar general.,Vitaminas y minerales,Consultar la etiqueta del producto para la dosificación específica.,Aporte de vitaminas y minerales esenciales para el organismo.
FARLABORIN PHARLAND,No especificada,No disponible,No disponible,No disponible,No disponible
FEMITAB (KETO +CLINDA) OVULOS CAJA X 7,Óvulos,Tratamiento de infecciones vaginales.,"Ketoconazol, Clindamicina",Un óvulo al día durante 7 días.,Antifúngico y antibacteriano para el tratamiento de infecciones vaginales.
GARGADIN FRAMBUESA CAJA X 56 PASTI,Pastillas para chupar,Alivio del dolor y la irritación de garganta.,Consultar la etiqueta del producto para los principios activos específicos.,Consultar la etiqueta del producto para la dosificación específica.,Alivio local del dolor de garganta.
GARGADIN MIEL LIMON CAJA X 56 PASTI,Pastillas para chupar,Alivio del dolor y la irritación de garganta.,Consultar la etiqueta del producto para los principios activos específicos.,Consultar la etiqueta del producto para la dosificación específica.,Alivio local del dolor de garganta.
GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS,Pastillas para chupar,Alivio del dolor y la irritación de garganta.,Consultar la etiqueta del producto para los principios activos específicos.,Consultar la etiqueta del producto para la dosificación específica.,Alivio local del dolor de garganta.
GLICITOS C (AMBROXOL+CLEMBUTEROL) 120 ML SELEC,Jarabe,Tratamiento de afecciones respiratorias con exceso de moco.,"Ambroxol, Clembuterol",Consultar la etiqueta del producto para la dosificación específica.,Mucolítico y broncodilatador para facilitar la respiración.
GLICITOS S (AMBROXOL+SALBUTAMOL) 120ML SELEC,Jarabe,Tratamiento de afecciones respiratorias con exceso de moco.,"Ambroxol, Salbutamol",Consultar la etiqueta del producto para la dosificación específica.,Mucolítico y broncodilatador para facilitar la respiración.
GUANTES LATEX GRANDE X 100,Guantes,Protección de manos en procedimientos médicos,N/A,N/A,N/A
GUANTES LATEX MEDIANO X 100,Guantes,Protección de manos en procedimientos médicos,N/A,N/A,N/A
GUANTES LATEX PEQUEÑO X 100,Guantes,Protección de manos en procedimientos médicos,N/A,N/A,N/A
HIERRO SACAROSA 100/MG AMP 5ML IV CAPLIN CJ X 10,Ampolla,Tratamiento de la deficiencia de hierro,Hierro sacarosa,100 mg/5 ml,Suplemento de hierro intravenoso
HIGO MIEL 120 ML,Jarabe,Alivio de la tos y molestias de garganta,Extracto de higo y miel,Según indicaciones del médico,Emoliente y expectorante
HISTAPRIN CAJA X20 TAB BLIS X10,Tabletas,Tratamiento de alergias,Loratadina,10 mg por tableta,Antihistamínico
JABON PARA BEBE JOHNSON ANTES DE DORMIR 75 GRS,Jabón,Limpieza suave para bebés antes de dormir,N/A,Uso externo,Limpieza e hidratación de la piel
JABON PARA BEBE JOHNSON ORIGINAL CREMOSO 75 GRS,Jabón,Limpieza suave para la piel del bebé,N/A,Uso externo,Limpieza e hidratación de la piel
KOACT 1 GR AMOX+CLAV CAJA X 15 TAB BLISTER X 5,Tabletas,Tratamiento de infecciones bacterianas,Amoxicilina y ácido clavulánico,875 mg/125 mg por tableta,Antibiótico
KOACT 62.5 AMOXI 500 ACIDOCLAV X 15 TAB BLISTER X 5,Tabletas,Tratamiento de infecciones bacterianas,Amoxicilina y ácido clavulánico,500 mg/62.5 mg por tableta,Antibiótico
KOREOFIN CAPLIN,Cápsula,Utilizado para el tratamiento de condiciones específicas según prescripción médica.,No especificado,No especificado,No especificado
LEVOTIROXINA MERCK BLISTER X 25 CAJA X 100,Tableta,Tratamiento del hipotiroidismo y otras condiciones relacionadas con la tiroides.,Levotiroxina sódica,25 mcg por tableta,Hormona tiroidea sintética que regula el metabolismo.
LOSART50/12.5MG HIDRO CJ X 30 BLIST X 10 TABS CAPLIN,Tableta,Tratamiento de la hipertensión arterial.,Losartán potásico e hidroclorotiazida,50 mg de losartán y 12.5 mg de hidroclorotiazida por tableta,Antagonista del receptor de angiotensina II y diurético.
LOSARTAN 50 MG BLIS X 10 CAJA X 100 CAPLIN,Tableta,Tratamiento de la hipertensión arterial.,Losartán potásico,50 mg por tableta,Antagonista del receptor de angiotensina II.
LUSIA FX CAJA X 28 TAB,Tableta,Anticonceptivo oral para la prevención del embarazo.,No especificado,No especificado,No especificado
MASCARILLA QUIRURGICA CELESTE CAJA X 50,Mascarilla,Protección contra partículas y microorganismos.,No aplica,No aplica,No aplica
MASCARILLA QUIRURGICA NEGRA CAJA X 50,Mascarilla,Protección contra partículas y microorganismos.,No aplica,No aplica,No aplica
MASCARILLA QUIRURGICA NIÑO CAJA X 50,Mascarilla,Protección contra partículas y microorganismos para niños.,No aplica,No aplica,No aplica
MAVIFEM CREMA VAGINAL CAJA X 6 (CLINDA+KETO),Crema vaginal,Tratamiento de infecciones vaginales.,Clindamicina y ketoconazol,No especificado,Antibiótico y antifúngico.
MESI 3 (ANTICONCEPTIVO 3 MESES) PIERSAN,Inyección,Anticonceptivo inyectable de larga duración.,No especificado,No especificado,No especificado
METAFE SPRAY 60 ML VESA,Spray,Para el alivio temporal del dolor muscular y articular.,"Metil salicilato, mentol",Aplicar en el área afectada 3-4 veces al día.,Analgésico tópico
METFORMINA 1000 MG C SEVEN CAJA X 100,Tabletas,Tratamiento de la diabetes tipo 2.,Metformina,1000 mg una o dos veces al día con las comidas.,Antidiabético oral
MICROPORE BLANCO 1 X 10 YDS,Cinta adhesiva,Para fijación de apósitos y dispositivos médicos.,No aplica,Uso según necesidad para fijación.,Adhesivo médico
MICROPORE BLANCO 1/2 PULGADA,Cinta adhesiva,Para fijación de apósitos y dispositivos médicos.,No aplica,Uso según necesidad para fijación.,Adhesivo médico
MICROPORE PIEL 1 PULGADA,Cinta adhesiva,Para fijación de apósitos y dispositivos médicos.,No aplica,Uso según necesidad para fijación.,Adhesivo médico
MICROPORE PIEL 1/2 PULGADA,Cinta adhesiva,Para fijación de apósitos y dispositivos médicos.,No aplica,Uso según necesidad para fijación.,Adhesivo médico
MIGRADOLOSINA PIERSAN BLIST X 10,Tabletas,Alivio de migrañas y dolores de cabeza.,"Paracetamol, cafeína, ergotamina",Según prescripción médica.,Analgésico y antimigrañoso
PARACETAMOL 500 MGS BLIST X 10 CAJA X 100,Tabletas,Alivio del dolor leve a moderado y fiebre.,Paracetamol,500 mg cada 4-6 horas según necesidad.,Analgésico y antipirético
PEDIAFLORA GRANU DISP X 50 SOBRES PAHIL,Sobres de granulado,Suplemento probiótico para niños.,Lactobacillus acidophilus,Un sobre al día disuelto en agua o leche.,Probiótico
PREBALIX CAJA X 30 BLIST X 10 (PREGABALINA 75 MGS),Cápsulas,Tratamiento del dolor neuropático y fibromialgia.,Pregabalina,75 mg dos veces al día.,Antiepiléptico y analgésico
RELAFLEX KIT AMPOLLA VIJOSA,Ampolla,Se utiliza para el tratamiento de espasmos musculares.,Metocarbamol,100 mg/mL,Relajante muscular
ROYALINE 5MG CAJA X 30 TAB BLIST X 10,Tableta,Indicado para el tratamiento de la hipertensión arterial.,Amlodipino,5 mg,Antihipertensivo
SALBUTAMOL INHALADOR CAPLIN,Inhalador,Utilizado para el alivio del broncoespasmo en pacientes con asma o EPOC.,Salbutamol,100 mcg por inhalación,Broncodilatador
SANTEMICINA 7.5 GRS SOBRE CAJA X 50,Sobre,Antibiótico utilizado para el tratamiento de infecciones bacterianas.,Sulfametoxazol/Trimetoprima,800 mg/160 mg,Antibiótico
SARPIOL FCO 30 ML,Solución oral,Indicado para el tratamiento de infecciones por hongos.,Nistatina,"100,000 UI/mL",Antifúngico
SELLO DE HEPARINA ESTERIL OPERSON,Solución inyectable,Utilizado para prevenir la formación de coágulos sanguíneos.,Heparina,100 UI/mL,Anticoagulante
SENOSIAIN ADULTO SUPOSITORIO CAJA X 20,Supositorio,Utilizado para el alivio del estreñimiento ocasional.,Bisacodilo,10 mg,Laxante
SENOSIAIN NIÑO SUPOSITORIO CAJA X 20,Supositorio,Utilizado para el alivio del estreñimiento en niños.,Bisacodilo,5 mg,Laxante
SOLUCION SALINA 100 ML BOLSA,Solución,Utilizada para la rehidratación y como vehículo para medicamentos.,Cloruro de sodio,0.9%,Solución isotónica
SPASMO-UROLONG BLIST X 10TAB,Tableta,Indicado para el tratamiento de espasmos del tracto urinario.,Flavoxato,200 mg,Antiespasmódico urinario
SUERO ORAL ANCALMO COCO X 54,Solución oral,Rehidratación oral en casos de deshidratación leve a moderada.,Electrolitos,"54 mEq/L de sodio, 20 mEq/L de potasio, 30 mEq/L de cloruro, 10 mEq/L de citrato, 111 mmol/L de glucosa",Rehidratante oral
SUERO ORAL ANCALMO NARANJA X 54,Solución oral,Rehidratación oral en casos de deshidratación leve a moderada.,Electrolitos,"54 mEq/L de sodio, 20 mEq/L de potasio, 30 mEq/L de cloruro, 10 mEq/L de citrato, 111 mmol/L de glucosa",Rehidratante oral
SUERO ORAL VIT ANCALMO X 54,Solución oral,Rehidratación oral en casos de deshidratación leve a moderada.,Electrolitos y vitaminas,"54 mEq/L de sodio, 20 mEq/L de potasio, 30 mEq/L de cloruro, 10 mEq/L de citrato, 111 mmol/L de glucosa, vitaminas del complejo B",Rehidratante oral con vitaminas
TERMOMETRO DIGITAL MICROLIFE,Dispositivo médico,Medición de la temperatura corporal.,No aplica,No aplica,No aplica
VIROGRIP 3 DOBLE TERAPIA INYECTADO,Inyección,Tratamiento de síntomas de resfriado y gripe.,"Paracetamol, clorfenamina, fenilefrina","Paracetamol 500 mg, clorfenamina 4 mg, fenilefrina 10 mg por dosis","Analgésico, antihistamínico, descongestionante"
