medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE BEBE BABY CHIC MEDIANO 115 ML,Aceite,Hidratar y proteger la piel del bebé.,Aceite mineral,Aplicar una pequeña cantidad sobre la piel del bebé después del baño.,Emoliente e hidratante.
AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,Suspensión oral,Tratamiento de infecciones bacterianas.,Amoxicilina y ácido clavulánico,Niños: 25-45 mg/kg/día en dos dosis divididas cada 12 horas.,Antibiótico de amplio espectro.
ARCO CORT 40MG KIT,Inyección,Tratamiento de condiciones inflamatorias y alérgicas.,Triamcinolona,"Administrar según indicación médica, generalmente cada 4-6 semanas.",Corticosteroide antiinflamatorio.
AVAMIGRAN BLISTER X 10,Tabletas,Alivio de migrañas y dolores de cabeza.,"Ergotamina, cafeína, y otras sustancias","Tomar 1-2 tabletas al inicio del dolor, no exceder 4 tabletas en 24 horas.",Vasoconstrictor y analgésico.
BACTID SPRAY TOPICO 30 ML,Spray tópico,Desinfección de heridas y piel.,Clorhexidina,Aplicar sobre la zona afectada 2-3 veces al día.,Antiséptico.
BIFONAZOL GOTAS TOPICAS 15 ML,Gotas tópicas,Tratamiento de infecciones fúngicas de la piel.,Bifonazol,Aplicar una vez al día sobre la zona afectada.,Antifúngico.
BINOTAL (AMPICILINA) 1000MG BLISTER X 6,Tabletas,Tratamiento de infecciones bacterianas.,Ampicilina,Adultos: 250-500 mg cada 6 horas.,Antibiótico de amplio espectro.
BROMHEXINA CAPLIN JARABE 120 ML,Jarabe,Tratamiento de trastornos respiratorios con producción de moco.,Bromhexina,Adultos: 10 ml 3 veces al día. Niños: 5 ml 3 veces al día.,Mucolítico.
BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,Spray nasal,Tratamiento de rinitis alérgica.,Budesonida,1-2 pulverizaciones en cada fosa nasal una vez al día.,Corticosteroide antiinflamatorio.
CANDERSARTAN 32 BLS X 10 CAJA X 30 TABS CAPLIN,Tabletas,Tratamiento de la hipertensión arterial.,Candesartán,16-32 mg una vez al día.,Antagonista de los receptores de angiotensina II.
CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,Inyección,Antibiótico utilizado para tratar infecciones bacterianas.,"Ceftriaxona, Sulbactam","Administrar por vía intramuscular o intravenosa cada 12 horas, según indicación médica.",Inhibe la síntesis de la pared celular bacteriana.
CLARITROMICINA 500 MGS BLIST X 10 BALAXI,Tableta,Antibiótico macrólido utilizado para tratar diversas infecciones bacterianas.,Claritromicina,"500 mg cada 12 horas durante 7-14 días, según la infección.",Inhibe la síntesis proteica bacteriana al unirse a la subunidad ribosomal 50S.
CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO,Elixir,Suplemento de potasio para prevenir o tratar niveles bajos de potasio en sangre.,Gluconato de potasio,La dosificación depende de los niveles de potasio en sangre; seguir indicaciones médicas.,"Reemplaza el potasio en el cuerpo, esencial para la función celular."
CUERPO AMARILLO AMPOLLA KIT PIERSAN,Ampolla,Utilizado en tratamientos de fertilidad.,No especificado,Administrar según indicaciones médicas específicas para tratamientos de fertilidad.,Estimula la producción de hormonas necesarias para la ovulación.
CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,Inyección,Anticonceptivo hormonal mensual.,No especificado,Una inyección intramuscular cada 30 días.,Previene la ovulación y altera el moco cervical.
DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,Tableta,Antibacteriano intestinal utilizado para tratar diarreas infecciosas.,Nifuroxazida,400 mg cada 6-8 horas durante 5-7 días.,Inhibe el crecimiento de bacterias en el intestino.
DEAREXIN SUSPENSIÓN 120 ML,Suspensión oral,Antibacteriano intestinal utilizado para tratar diarreas infecciosas.,Nifuroxazida,5 ml cada 6-8 horas durante 5-7 días.,Inhibe el crecimiento de bacterias en el intestino.
DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),Crema rectal,Alivio de los síntomas de las hemorroides.,No especificado,Aplicar en la zona afectada 2-3 veces al día.,Reduce la inflamación y alivia el dolor y picazón.
DEXAVITANERVO KIT AMPOLLA,Ampolla,Suplemento vitamínico para el sistema nervioso.,No especificado,Administrar según indicaciones médicas.,Apoya la función del sistema nervioso.
DOLO MENALGIL KIT AMPOLLA MENARINI,Ampolla,Analgésico y antiinflamatorio.,No especificado,Administrar según indicaciones médicas para el alivio del dolor.,Reduce la inflamación y alivia el dolor.
ENANTYUM 25 MG SOLUCION ORAL 10 ML,Solución oral,Analgésico para el tratamiento del dolor agudo de leve a moderado.,Dexketoprofeno,"Tomar 1 ml (25 mg) cada 8 horas según necesidad, sin exceder 75 mg al día.","Inhibidor de la síntesis de prostaglandinas, aliviando el dolor y la inflamación."
ENZIFLAT (ENZIMAS) BLIST X 10 CAJA X 120 TABS,Tabletas,Suplemento enzimático para mejorar la digestión y reducir la hinchazón.,Enzimas digestivas,Tomar 1-2 tabletas con cada comida principal.,"Ayuda en la digestión de proteínas, grasas y carbohidratos."
EQUILIV GOTAS 10 ML,Gotas orales,Suplemento para mejorar la función hepática.,Extracto de plantas,"Tomar 10 gotas, 3 veces al día.",Estimula la función hepática y ayuda en la desintoxicación.
FARLABORIN PHARLAND,No especificada,Información no disponible.,Información no disponible.,Información no disponible.,Información no disponible.
FEMITAB (KETO +CLINDA) OVULOS CAJA X 7,Óvulos,Tratamiento de infecciones vaginales mixtas.,Ketoconazol y Clindamicina,"Aplicar un óvulo al día, preferiblemente por la noche, durante 7 días.",Antifúngico y antibacteriano para tratar infecciones vaginales.
