medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE AJENJO 30 ML 1 ONZ,Aceite,Tradicionalmente utilizado para aliviar problemas digestivos y como tónico general.,Ajenjo,"Aplicar de 2 a 3 gotas en la zona afectada, 1-2 veces al día.",Estimulante digestivo y tónico.
ACEITE DE ALMENDRAS 30 ML,Aceite,Utilizado para hidratar y suavizar la piel.,Aceite de almendras,"Aplicar una pequeña cantidad sobre la piel limpia, 1-2 veces al día.",Emoliente e hidratante.
ACEITE DE NERVINO 30 ML,Aceite,Utilizado para calmar los nervios y aliviar el estrés.,Extractos herbales,"Aplicar de 2 a 3 gotas en las sienes o en la zona deseada, 1-2 veces al día.",Calmante y relajante.
ACEITE MINERAL 60 ML,Aceite,Utilizado como laxante y para suavizar la piel.,Aceite mineral,"Tomar 1-2 cucharadas por vía oral como laxante, o aplicar externamente según sea necesario.",Laxante y emoliente.
ACETONA 120 ML PURA,Líquido,Utilizado para remover esmalte de uñas.,Acetona,Aplicar con un algodón sobre las uñas hasta remover el esmalte.,Disolvente.
ACETONA 60 ML PURA,Líquido,Utilizado para remover esmalte de uñas.,Acetona,Aplicar con un algodón sobre las uñas hasta remover el esmalte.,Disolvente.
ACHICORIA JBE 30 ML,Jarabe,Utilizado como suplemento digestivo.,Achicoria,"Tomar 1 cucharadita antes de las comidas, 2-3 veces al día.",Digestivo.
AGUA DE ROSAS 120 ML,Líquido,Utilizado como tónico facial y para refrescar la piel.,Extracto de rosas,"Aplicar con un algodón sobre el rostro limpio, 1-2 veces al día.",Tónico y refrescante.
AÑILINA 1 GR CARTON X 9 0 UNID,Polvo,Utilizado como colorante.,Añilina,Usar según las instrucciones del producto para colorear.,Colorante.
AÑILINA AMARILLA,Polvo,Utilizado como colorante.,Añilina amarilla,Usar según las instrucciones del producto para colorear.,Colorante.
AÑILINA CELESTE,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA CORINTA,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA NEGRA,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA ROJA,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA ROSADA,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA TURQUESA,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AÑILINA VERDE,Polvo,Colorante para uso externo,Colorante sintético,Uso según indicaciones específicas del producto,No aplica
AZUCAR DE ANIZ 1 ONZA,Polvo,Edulcorante con sabor a anís,Azúcar y extracto de anís,Uso según indicaciones específicas del producto,No aplica
AZUCAR DE LECHE 1 ONZ,Polvo,Edulcorante,Lactosa,Uso según indicaciones específicas del producto,No aplica
AZUFRE SUBLIMADO POLVO 1 ONZ,Polvo,Uso tópico para afecciones de la piel,Azufre,Aplicar en el área afectada según indicaciones del médico,Antiséptico y queratolítico
BICARBONATO DE SODIO LIBRA,Polvo,Se utiliza para tratar la acidez estomacal y la indigestión.,Bicarbonato de sodio,"1/2 a 1 cucharadita disuelta en un vaso de agua, cada 2 horas según sea necesario.",Antiácido
BORAX 1 ONZ,Polvo,Utilizado en la industria y en productos de limpieza; no se recomienda para uso médico sin supervisión.,Borato de sodio,No aplicable para uso médico sin supervisión.,No aplicable
COLOR VEGETAL AMARILLO CARTON X 24,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL ANARANJADO,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL AZUL,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL CAFÉ,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL CELESTE,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL CORINTO,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL FUSIA,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL MORADO,Colorante,Utilizado para dar color a alimentos y bebidas.,Colorante vegetal,Cantidad suficiente para lograr el color deseado.,No aplicable
COLOR VEGETAL NEGRO,Líquido,Utilizado para teñir productos alimenticios o cosméticos.,Colorante vegetal,Usar según las instrucciones del producto específico.,No aplica
COLOR VEGETAL ROJO,Líquido,Utilizado para teñir productos alimenticios o cosméticos.,Colorante vegetal,Usar según las instrucciones del producto específico.,No aplica
COLOR VEGETAL ROSADO,Líquido,Utilizado para teñir productos alimenticios o cosméticos.,Colorante vegetal,Usar según las instrucciones del producto específico.,No aplica
COLOR VEGETAL TURQUESA,Líquido,Utilizado para teñir productos alimenticios o cosméticos.,Colorante vegetal,Usar según las instrucciones del producto específico.,No aplica
COLOR VEGETAL VERDE,Líquido,Utilizado para teñir productos alimenticios o cosméticos.,Colorante vegetal,Usar según las instrucciones del producto específico.,No aplica
CREOLINA COMERCIAL 120 ML,Líquido,Desinfectante y desodorizante para uso industrial y doméstico.,Cresoles,Diluir 1 parte de creolina en 100 partes de agua para limpieza general.,Antiséptico y desinfectante
CREOLINA COMERCIAL 240 ML,Líquido,Desinfectante y desodorizante para uso industrial y doméstico.,Cresoles,Diluir 1 parte de creolina en 100 partes de agua para limpieza general.,Antiséptico y desinfectante
CREOLINA COMERCIAL 500 ML,Líquido,Desinfectante y desodorizante para uso industrial y doméstico.,Cresoles,Diluir 1 parte de creolina en 100 partes de agua para limpieza general.,Antiséptico y desinfectante
ENVASES DE PLASTICO 120ML,Contenedor,Utilizado para almacenar líquidos o productos en pequeñas cantidades.,No aplica,No aplica,No aplica
ESENCIA DE CLAVO 30 ML,Líquido,Utilizado como aromatizante o en aplicaciones medicinales por sus propiedades analgésicas.,Aceite esencial de clavo,Aplicar unas gotas en el área deseada o diluir en agua para enjuague bucal.,Analgésico y antiséptico
GLICERINA 22 ML,Líquido,Uso tópico para hidratar y suavizar la piel.,Glicerina,Aplicar una pequeña cantidad sobre la piel según sea necesario.,Emoliente e hidratante.
GLICERINA LIQUIDA 38 ML,Líquido,Uso tópico para hidratar y suavizar la piel.,Glicerina,Aplicar una pequeña cantidad sobre la piel según sea necesario.,Emoliente e hidratante.
MERCURIO CROMO 30 ML,Solución,Antiséptico para heridas superficiales.,Mercurocromo,Aplicar sobre la herida limpia una o dos veces al día.,Antiséptico.
MERCURIO CROMO 2% SPRAY 120 ML,Spray,Antiséptico para heridas superficiales.,Mercurocromo,Rociar sobre la herida limpia una o dos veces al día.,Antiséptico.
NEFTALINA BOLSA X 5 UNIDADES,Bolsa,Uso como repelente de polillas y otros insectos en textiles.,Naftaleno,Colocar en armarios o cajones según sea necesario.,Repelente de insectos.
POMADA DE SULFATIAZOL 1 ONZA,Pomada,Uso tópico para infecciones bacterianas de la piel.,Sulfatiazol,Aplicar una capa delgada sobre el área afectada 1-2 veces al día.,Antibacteriano.
RUIBARBO TINTURA 30 ML,Tintura,Uso tradicional para problemas digestivos.,Rheum officinale,"Tomar 10-15 gotas diluidas en agua, 1-3 veces al día.",Laxante y digestivo.
SIETE ESPIRITUS 30 ML,Líquido,Uso tradicional como tónico.,Mezcla de extractos herbales,"Tomar 10-20 gotas diluidas en agua, 1-2 veces al día.",Tónico revitalizante.
SODA CAUSTICA EN ESCAMAS LIBRA,Escamas,Uso industrial para limpieza y desatascos.,Hidróxido de sodio,Usar según las instrucciones de seguridad industrial.,Agente cáustico.
SOLUCION DE IBITANE AL 5% FCO 120 ML,Solución,Antiséptico para uso tópico.,Clorhexidina,Aplicar sobre el área afectada 1-2 veces al día.,Antiséptico.
THIMEROSAL 120 ML SPRAY,Spray,Antiséptico tópico para la piel.,Thimerosal,Aplicar una o dos veces al día sobre la zona afectada.,Antiséptico y desinfectante.
THIMEROSAL 30 ML,Solución,Antiséptico tópico para la piel.,Thimerosal,Aplicar una o dos veces al día sobre la zona afectada.,Antiséptico y desinfectante.
VASELINA BLANCA 1 ONZA,Ungüento,Hidratante y protector de la piel.,Petrolato,Aplicar una capa fina sobre la piel según sea necesario.,Emoliente y protector cutáneo.
VASELINA BLANCA 58 GRS,Ungüento,Hidratante y protector de la piel.,Petrolato,Aplicar una capa fina sobre la piel según sea necesario.,Emoliente y protector cutáneo.
VIOLETA DE GENCIANA SOLUCION 2% 30 ML,Solución,Antiséptico y tratamiento de infecciones fúngicas.,Violeta de genciana,Aplicar una vez al día sobre la zona afectada.,Antiséptico y antifúngico.
