medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE COCO 120 ML,Aceite,Uso tópico para hidratación de la piel y el cabello.,Aceite de coco,Aplicar una cantidad moderada sobre la piel o el cabello según sea necesario.,Emoliente e hidratante.
AFLAC GOTAS PEDIATRICAS 15 ML (DICLOFENACO),Gotas,Alivio del dolor y la inflamación en niños.,Diclofenaco,"La dosis debe ser determinada por un médico, generalmente 1-2 gotas cada 8 horas.",Antiinflamatorio no esteroideo (AINE).
AGUA FLOLORIDA 4 ROSAS VESA FCO 70 ML,Líquido,Uso tópico para refrescar y tonificar la piel.,Extractos de flores y alcohol,Aplicar sobre la piel según sea necesario.,Refrescante y tonificante.
AGUA OXIGENADA 480 ML LA ENFERMERITA,Líquido,Desinfección de heridas y limpieza de la piel.,Peróxido de hidrógeno,Aplicar directamente sobre la herida o diluir en agua para enjuagues bucales.,Antiséptico.
ALCANFOR PURO POLVO LATA 3 GRS DISFAVIL,Polvo,Uso tópico para aliviar dolores musculares y articulares.,Alcanfor,Aplicar una pequeña cantidad sobre el área afectada 2-3 veces al día.,Analgésico y rubefaciente.
ALCOHOL GEL 60 GRS (FQUIMICA),Gel,Desinfección de manos.,Alcohol etílico,Aplicar sobre las manos y frotar hasta que se sequen.,Antiséptico.
ALFER NICOL UNGÜENTO TUBO 5 GRS,Ungüento,Tratamiento de infecciones cutáneas.,Neomicina y bacitracina,Aplicar una capa fina sobre el área afectada 1-3 veces al día.,Antibacteriano.
AMOXI+CLAVU SUSP 312.5MG/5ML 60 ML BALAXI,Suspensión oral,Tratamiento de infecciones bacterianas.,Amoxicilina y ácido clavulánico,"5 ml cada 8 horas, o según indicación médica.",Antibiótico de amplio espectro.
AMOXICILINA + ACIDO CLAVULANICO IV 1.2 VIAL 20ML,Inyección,Tratamiento de infecciones bacterianas graves.,Amoxicilina y ácido clavulánico,"La dosis debe ser determinada por un médico, generalmente cada 8 horas.",Antibiótico de amplio espectro.
AMOXIPLUS 1 G (AMOXI+CLAV) BALAXI CJ X 14 BLIST X 7,Tableta,Tratamiento de infecciones bacterianas.,Amoxicilina y ácido clavulánico,"1 tableta cada 12 horas, o según indicación médica.",Antibiótico de amplio espectro.
AMPICILINA+SULBACTAM 1.5 G POLVO P/SOL INYEC,Polvo para solución inyectable,Antibiótico usado para tratar infecciones bacterianas.,"Ampicilina, Sulbactam","La dosis habitual es de 1.5 a 3 g cada 6 horas, administrada por vía intravenosa o intramuscular.",Inhibe la síntesis de la pared celular bacteriana.
ANESTEVIL GOTAS 5 ML (ANESTESICO LOCAL),Gotas,Anestésico local para aliviar el dolor en procedimientos menores.,Procaína,Aplicar 1-2 gotas en el área afectada según sea necesario.,Bloquea la conducción nerviosa al inhibir el flujo de iones de sodio.
ARNICA + MANZANILLA GEL 120 ML,Gel,Alivio tópico del dolor muscular y articular.,"Árnica, Manzanilla",Aplicar una capa delgada sobre el área afectada 2-3 veces al día.,Reduce la inflamación y alivia el dolor.
ARNICA GEL 120 ML,Gel,Alivio tópico del dolor muscular y articular.,Árnica,Aplicar una capa delgada sobre el área afectada 2-3 veces al día.,Reduce la inflamación y alivia el dolor.
ARNIDOL POMADA ARNICA 12 GRS,Pomada,Alivio tópico de contusiones y dolores musculares.,Árnica,Aplicar una pequeña cantidad sobre el área afectada 2-3 veces al día.,Reduce la inflamación y alivia el dolor.
ARTROSIL (GLUCOSAMINA + CONDROITINA),Tabletas,Suplemento para el tratamiento de la osteoartritis.,"Glucosamina, Condroitina",Tomar 1-2 tabletas al día con las comidas.,Promueve la salud del cartílago y reduce el dolor articular.
BAJA LENGUAS DE MADERA CAJA X 100,Instrumento médico,Utilizado para deprimir la lengua durante exámenes orales.,N/A,Uso único por examen.,N/A
BALSAMICO DEL DEPORTISTA LATA 12 GRS,Pomada,Alivio del dolor muscular y articular en deportistas.,"Mentol, Salicilato de metilo",Aplicar sobre el área afectada 3-4 veces al día.,Proporciona un efecto analgésico y antiinflamatorio.
BISMUTO BEBIBLE CAJA X 10 UNIDOSIS HIPER,Suspensión oral,Alivio de malestares digestivos como acidez y náuseas.,Subsalicilato de bismuto,"Tomar una dosis cada 30-60 minutos según sea necesario, no exceder 8 dosis en 24 horas.",Protege la mucosa gástrica y reduce la inflamación.
CARDIOVITAL CAJA X 60 BLISTER X 10,Cápsulas,Suplemento para la salud cardiovascular.,"Omega-3, Coenzima Q10",Tomar 1 cápsula al día con una comida.,Mejora la función cardiovascular y reduce el riesgo de enfermedades cardíacas.
