medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ANARA SOLUCION GOTAS 20ML,Solución oral,Indicado para el alivio de síntomas alérgicos.,Loratadina,10 mg una vez al día.,Antihistamínico
ASPIRINA FORTE CAJA X 100 BLIST X 10,Tabletas,Alivio del dolor y reducción de la fiebre.,Ácido acetilsalicílico,1-2 tabletas cada 4-6 horas según sea necesario.,Analgésico y antipirético
BRONCODIL GOTAS DE 30 ML,Gotas orales,Tratamiento de afecciones respiratorias.,Salbutamol,10-20 gotas cada 6-8 horas.,Broncodilatador
BRONCODIL JBE. 120ML,Jarabe,Alivio de broncoespasmos en enfermedades respiratorias.,Salbutamol,5 ml cada 6-8 horas.,Broncodilatador
CHOCOLATES GRANDES,No aplica,No es un medicamento.,No aplica,No aplica,No aplica
CHOCOLATES PEQUEÑOS,No aplica,No es un medicamento.,No aplica,No aplica,No aplica
DESODORANTE GILLET GEL 107 GRS,Gel,No es un medicamento.,No aplica,No aplica,No aplica
DEXA NEUROBION JER PRELL,Inyección,Tratamiento de deficiencias de vitamina B y condiciones inflamatorias.,Dexametasona y complejo de vitaminas B,Según prescripción médica.,Antiinflamatorio y suplemento vitamínico
DOLO KALORUB LINIM SPRAY 180 ML,Spray,Alivio del dolor muscular y articular.,Mentol y salicilato de metilo,Aplicar sobre el área afectada 3-4 veces al día.,Analgésico tópico
FERRIDOCE JBE 240ML,Jarabe,Suplemento de hierro para el tratamiento de la anemia.,Hierro,5-10 ml una o dos veces al día.,Suplemento de hierro
GLUCOSORAL 450 ML CEREZA,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
GLUCOSORAL 450 ML COCO,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
GLUCOSORAL 450 ML FRAMBUESA,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
GLUCOSORAL 450 ML MANZANA,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
GLUCOSORAL 450 ML MELOCOTON,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
GLUCOSORAL 450 ML UVA,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
HIPOPRESS GOTAS 20 ML,Gotas orales,Tratamiento de síntomas de resfriado común,"Fenilefrina, clorfenamina",Administrar 10 gotas cada 6 horas,Descongestionante y antihistamínico
LECHE DE MAGNESIA PHILIPS 120 ML,Suspensión oral,Laxante y antiácido,Hidróxido de magnesio,Administrar 30-60 ml como laxante o 5-15 ml como antiácido,Neutraliza el ácido estomacal y alivia el estreñimiento
LEVUSOL 500 ML CEREZA,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
LEVUSOL 500 ML COCO,Solución oral,Rehidratación oral,"Glucosa, electrolitos",Administrar 100-200 ml después de cada evacuación líquida,Reponer líquidos y electrolitos perdidos
LEVUSOL 500 ML MANZANA,Solución oral,Suplemento alimenticio,Lecitina de soya,"Tomar 15 ml al día, preferiblemente con las comidas",Mejora la función hepática y ayuda en la digestión de grasas
LEVUSOL 500 ML PIÑA,Solución oral,Suplemento alimenticio,Lecitina de soya,"Tomar 15 ml al día, preferiblemente con las comidas",Mejora la función hepática y ayuda en la digestión de grasas
M & M,Dulce,Son dulces de M & M,chocolate,No disponible,Dulces de M & M
METHYCOBAL 500 MG BLIST X 10 TAB,Tableta,Tratamiento de deficiencia de vitamina B12,Metilcobalamina,Tomar 1 tableta al día después de las comidas,"Suplemento de vitamina B12, ayuda en la producción de glóbulos rojos y mantenimiento del sistema nervioso"
MILORIX CREMA HEMORROIDAL 20MG,Crema,Alivio de síntomas de hemorroides,No disponible,Aplicar una pequeña cantidad en la zona afectada 2-3 veces al día,Alivio del dolor y la inflamación en hemorroides
MOMMEX SPRAY NASAL 18G/18ML 140 DOSIS,Spray nasal,Tratamiento de rinitis alérgica,Mometasona furoato,1-2 aplicaciones en cada fosa nasal una vez al día,Corticosteroide que reduce la inflamación nasal
PANADOL MULTISINTOMAS CAJA X 8 SOBRES,Polvo para solución oral,Alivio de síntomas de resfriado y gripe,"Paracetamol, fenilefrina, clorfenamina",Disolver el contenido de un sobre en agua caliente y tomar cada 4-6 horas,"Analgésico, antipirético y descongestionante"
PASTA COLGATE TOTAL 12 150 ML,Pasta dental,Higiene bucal,"Fluoruro de sodio, triclosán",Cepillar los dientes dos veces al día,Prevención de caries y control de placa bacteriana
PRELONE 20 MGS CAJA X 10,Tableta,Tratamiento de condiciones inflamatorias,Prednisolona,"Dosis según indicación médica, generalmente 5-60 mg al día",Corticosteroide que reduce la inflamación
REUMETAN CREMA 30 GRS. TUBO,Crema,Alivio de dolor muscular y articular,No disponible,Aplicar en la zona afectada 3-4 veces al día,Alivio del dolor y la inflamación
