medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
BACAOLINA JARABE 480 ML,Jarabe,Utilizado para el alivio de la tos y síntomas del resfriado.,No especificado,Adultos: 10 ml cada 6-8 horas. Niños: Consultar al médico.,Antitusivo y expectorante
BOLSA HORINA P/PIERNA,Dispositivo médico,Utilizado para la recolección de orina en pacientes con catéter.,No aplica,Usar según las indicaciones del médico o personal de salud.,No aplica
CABESTRILLO L,Dispositivo médico,Utilizado para inmovilizar y soportar el brazo o el hombro.,No aplica,Usar según las indicaciones del médico o fisioterapeuta.,No aplica
CABESTRILLO S Y M,Dispositivo médico,Utilizado para inmovilizar y soportar el brazo o el hombro.,No aplica,Usar según las indicaciones del médico o fisioterapeuta.,No aplica
CURITAS CAJA X 100 CUREFAST,Apósito adhesivo,Utilizado para cubrir y proteger heridas menores.,No aplica,Aplicar sobre la herida limpia y seca. Cambiar según sea necesario.,No aplica
ESPARADRAPO 1/2,Cinta adhesiva,Utilizado para fijar vendajes y apósitos.,No aplica,Cortar la cantidad necesaria y aplicar según sea necesario.,No aplica
ESPARADRAPO DE 1,Cinta adhesiva,Utilizado para fijar vendajes y apósitos.,No aplica,Cortar la cantidad necesaria y aplicar según sea necesario.,No aplica
GASA SIMPLE ESTERIL CAJA X 100 SOBRES,Gasa estéril,"Utilizado para limpiar, cubrir o proteger heridas.",No aplica,Usar una gasa por aplicación. Cambiar según sea necesario.,No aplica
GELPROFEN 600 MG CJ X50 CAPS,Cápsulas,Utilizado para el alivio del dolor y la inflamación.,Ibuprofeno,Adultos: 1 cápsula cada 6-8 horas según sea necesario.,Antiinflamatorio no esteroideo (AINE)
GUANTES ESTERILES CAJA X 50,Guantes estériles,Utilizado para procedimientos médicos que requieren esterilidad.,No aplica,Usar un par por procedimiento. Desechar después de su uso.,No aplica
HOJA DE BISTURI No 21,Instrumento quirúrgico,Utilizado para realizar incisiones precisas en procedimientos quirúrgicos.,No aplica,Usar según las indicaciones del procedimiento quirúrgico.,No aplica
HOJA DE BISTURI No 22,Instrumento quirúrgico,Utilizado para realizar incisiones precisas en procedimientos quirúrgicos.,No aplica,Usar según las indicaciones del procedimiento quirúrgico.,No aplica
HOJA DE BISTURI No 24,Instrumento quirúrgico,Utilizado para realizar incisiones precisas en procedimientos quirúrgicos.,No aplica,Usar según las indicaciones del procedimiento quirúrgico.,No aplica
KETOC (KETOCONAZOL OVULOS ) X 3 U,Óvulo,Tratamiento de infecciones vaginales por hongos.,Ketoconazol,Un óvulo al día durante 3 días consecutivos.,Antifúngico
LIGADURA PARA TORNIQUETE,Instrumento médico,Utilizado para detener temporalmente el flujo sanguíneo.,No aplica,Usar según las indicaciones del procedimiento médico.,No aplica
METHYCOBAL KIT INYEC,Inyección,Tratamiento de deficiencia de vitamina B12.,Metilcobalamina,Una ampolla intramuscular cada 2-3 días según indicación médica.,Suplemento vitamínico
MIXAGRIP GOTAS PEDIATRICAS 15 ML,Gotas orales,Alivio de síntomas de resfriado común y gripe en niños.,"Paracetamol, Clorfenamina, Fenilefrina","Según la edad y peso del niño, generalmente cada 4-6 horas.","Analgésico, antihistamínico, descongestionante"
PERILLA DE HULE (SACA MOCOS) No 1,Dispositivo médico,Utilizado para extraer mucosidad de las fosas nasales de bebés.,No aplica,Usar según las necesidades del bebé.,No aplica
REDECILLA NEGRA,Accesorio médico,Utilizado para mantener el cabello en su lugar durante procedimientos médicos.,No aplica,Usar según las indicaciones del procedimiento.,No aplica
ROCEFORT (CEFTRIAXONA) 1 GRAMO,Inyección,Tratamiento de infecciones bacterianas.,Ceftriaxona,"1-2 gramos al día, administrado por vía intravenosa o intramuscular, según indicación médica.",Antibiótico
SERTAL GOTAS 20 ML,Gotas,Alivio de los síntomas gastrointestinales como cólicos y espasmos.,Propinoxato,"Adultos: 15 a 20 gotas, 3 a 4 veces al día. Niños: 5 a 10 gotas, 3 a 4 veces al día.",Antiespasmódico
SUKROL NIÑO JARABE 240 ML,Jarabe,Suplemento alimenticio para niños que ayuda a mejorar la concentración y el rendimiento mental.,Vitaminas del complejo B y otros nutrientes,Niños de 4 a 12 años: 1 cucharadita (5 ml) al día.,Suplemento vitamínico
SUTURA NYLON NEGRA No 3-0,Sutura,Utilizada para el cierre de heridas externas.,No aplica,Uso según indicación médica para cierre de heridas.,No aplica
SUTURA SEDA NEGRA No 3-0,Sutura,Utilizada para el cierre de heridas externas.,No aplica,Uso según indicación médica para cierre de heridas.,No aplica
VITABALANCE FEM CAJA X 40 GOMITAS,Gomitas,Suplemento vitamínico para mujeres que ayuda a mantener el equilibrio nutricional.,Vitaminas y minerales,2 gomitas al día.,Suplemento vitamínico
VITABALANCE KIDS CAJA X 60 GOMITAS,Gomitas,Suplemento vitamínico para niños que ayuda a mantener el equilibrio nutricional.,Vitaminas y minerales,2 gomitas al día.,Suplemento vitamínico
