medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE COCO SAN LUCAS 450 ML,Aceite,Uso cosmético y culinario,No aplica,Aplicar sobre la piel o usar en la cocina según sea necesario,No aplica
ACETONA 100 ML DAROSA,Líquido,Removedor de esmalte de uñas,No aplica,Aplicar con un algodón sobre las uñas para remover esmalte,No aplica
ACETONA 60 ML DAROSA,Líquido,Removedor de esmalte de uñas,No aplica,Aplicar con un algodón sobre las uñas para remover esmalte,No aplica
ALMENDRA ENTERA BOLSITA,Alimento,Consumo alimenticio,No aplica,Consumir como snack o en recetas según preferencia,No aplica
ALMENDRA RAYADA BOLSITA,Alimento,Consumo alimenticio,No aplica,Usar en recetas o como topping según preferencia,No aplica
ARANDANOS BOLSA,Alimento,Consumo alimenticio,No aplica,Consumir como snack o en recetas según preferencia,No aplica
BATERIA RAYOVAC DOBLE A X 6,No aplica,Proveer energía a dispositivos electrónicos,No aplica,Insertar en el dispositivo según las instrucciones del fabricante,No aplica
BATERIA RAYOVAC TRIPLE A X 6,No aplica,Proveer energía a dispositivos electrónicos,No aplica,Insertar en el dispositivo según las instrucciones del fabricante,No aplica
BLOQUADOR SOLAR RADICAL F60 120 GRS,Crema,Protección solar,No aplica,Aplicar generosamente sobre la piel antes de la exposición al sol,No aplica
BLOQUEADOR INSIGNIS SOLAR 70 GRS,Crema,Protección solar,No aplica,Aplicar generosamente sobre la piel antes de la exposición al sol,No aplica
CHICLE TRIDENT,No aplica,No aplica,No aplica,Masticar según necesidad,No aplica
CHICLES BUBA BUBA METRO,No aplica,No aplica,No aplica,Masticar según necesidad,No aplica
CHISPITAS DE CHOCOLATES,No aplica,No aplica,No aplica,Consumir según preferencia,No aplica
CHOCOLATE HERSHEYS BLANCO PEQ,No aplica,No aplica,No aplica,Consumir según preferencia,No aplica
CHOCOLATES KISSES,No aplica,No aplica,No aplica,Consumir según preferencia,No aplica
CORTA UÑAS CORONA MEDIANA CAJA X 12,No aplica,No aplica,No aplica,Usar según necesidad,No aplica
CREMA BABY HERER 8 ONZ,Crema,Hidratación y cuidado de la piel del bebé,No aplica,Aplicar según necesidad en la piel del bebé,Hidratante
CREMA DIABETEX TX 400 ML,Crema,Cuidado de la piel para personas con diabetes,No aplica,Aplicar dos veces al día en las áreas afectadas,Hidratante y protector
CREMA GOICOCHEA ARNICA Y MANZANILLA 400 ML,Crema,Alivio de piernas cansadas,"Árnica, Manzanilla",Aplicar dos veces al día con un suave masaje,Antiinflamatorio y relajante
CREMA GOICOCHEA DOBLE MENTOL,Crema,Alivio de piernas cansadas y dolor muscular,Mentol,Aplicar dos veces al día con un suave masaje,Refrescante y analgésico
CREMA GOICOCHEA GINKO BILOBA 400 ML,Crema,Ayuda a mejorar la circulación y aliviar la sensación de piernas cansadas.,Ginkgo Biloba,"Aplicar una cantidad suficiente sobre la piel limpia y seca, masajeando suavemente hasta su absorción. Usar dos veces al día, por la mañana y por la noche.",Mejora la circulación sanguínea y alivia la pesadez en las piernas.
CREMA GOICOCHEA SERUM PIEL DESHIDRATADA 400 ML,Crema,"Hidrata profundamente la piel deshidratada, proporcionando suavidad y elasticidad.",No aplica,"Aplicar diariamente sobre la piel limpia y seca, masajeando hasta su completa absorción.",Hidratación intensiva para piel deshidratada.
CREMA GOICOCHEA SERUM PIEL SECA 400 ML,Crema,"Proporciona hidratación y nutrición a la piel seca, mejorando su apariencia y textura.",No aplica,"Aplicar generosamente sobre la piel limpia y seca, masajeando hasta su completa absorción. Usar diariamente.",Hidratación y nutrición para piel seca.
CREMA LUBRIDERM 400 ML AZUL,Crema,Hidratación diaria para piel normal a seca.,No aplica,"Aplicar diariamente sobre la piel según sea necesario, masajeando hasta su completa absorción.",Hidratación diaria para mantener la piel suave y saludable.
CREMA LUBRIDERM 400 ML DORADA,Crema,Hidratación intensiva para piel extra seca.,No aplica,"Aplicar generosamente sobre la piel seca, masajeando hasta su completa absorción. Usar diariamente.",Hidratación intensiva para piel extra seca.
CREMA LUBRIDERM 400 ML MORADA,Crema,Hidratación y cuidado para piel sensible.,No aplica,"Aplicar diariamente sobre la piel limpia y seca, masajeando hasta su completa absorción.",Hidratación y cuidado para piel sensible.
CREMA LUBRIDERM 400 ML PIEL SENSIBLE,Crema,Hidratación suave para piel sensible.,No aplica,"Aplicar diariamente sobre la piel limpia y seca, masajeando hasta su completa absorción.",Hidratación suave para piel sensible.
