medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE RECINO 1 ONZ LASANA,Aceite,Laxante,Aceite de ricino,Según indicación médica,Estimula el peristaltismo intestinal
ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,Tableta,Analgésico y antipirético,Acetaminofen,500 mg,Alivio del dolor y reducción de la fiebre
ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,Suspensión oral,Tratamiento de infecciones causadas por el virus del herpes simple y herpes zóster,Aciclovir,400 mg/5ml,Antiviral
ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,Tableta,"Analgésico, antiinflamatorio y antipirético",Ácido Acetilsalicílico,100 mg,Inhibidor de la síntesis de prostaglandinas
ACIDO BORICO POLVO 1 ONZ BOLSA X 8,Polvo,Antiséptico y desinfectante,Ácido bórico,Según indicación médica,Antiséptico y desinfectante
ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,Suspensión,Antiparasitario utilizado en el tratamiento de infecciones causadas por parásitos intestinales como lombrices y tenias.,Albendazol,400 mg,"Antihelmíntico de amplio espectro que actúa impidiendo la absorción de glucosa en los parásitos, lo que lleva a su muerte."
ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,Tabletas,Antiparasitario para el tratamiento de infecciones causadas por parásitos intestinales,Albendazol,400 mg por tableta,Antihelmíntico de amplio espectro
ALCOHOL  ELITICO70% 1/2 LITRO VESA,Solución,Desinfectante de uso tópico,Alcohol etílico al 70%,"Aplicar sobre la piel limpia y seca, sin diluir",Antiséptico y desinfectante
ALCOHOL ALCANFORADO 120 ML SANTE,Solución tópica,Antiséptico y desinfectante de uso externo,Alcohol etílico y alcanfor,Aplicar sobre la piel limpia la cantidad necesaria y frotar suavemente,"Antiséptico, desinfectante y refrescante"
ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,Tableta,Tratamiento de la gota y la hiperuricemia,Allopurinol,300 mg,Inhibidor de la enzima xantina oxidasa
AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,Tableta,Tratamiento de la hipertensión arterial y la angina de pecho,Amlodipina,10 mg,Inhibidor de los canales de calcio
AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,Tableta,Tratamiento de la hipertensión arterial y la angina de pecho,Amlodipina,5 mg,Antihipertensivo y antianginoso
AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN) ,Suspensión oral,Antibiótico utilizado en el tratamiento de infecciones bacterianas,Amoxicilina y Ácido Clavulánico,400 mg de amoxicilina y 57 mg de ácido clavulánico cada 12 horas,Inhibe la síntesis de la pared celular bacteriana y protege a la amoxicilina de la degradación por las enzimas bacterianas
AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),Tableta,Antibiótico utilizado para tratar infecciones bacterianas,Amoxicilina,500 mg,Inhibe la síntesis de la pared celular bacteriana
AMPICILINA 500 MG BLISTER X 10 CAJA X  100,Tableta,Tratamiento de infecciones causadas por bacterias sensibles a la ampicilina,Ampicilina,500 mg,Antibiótico de amplio espectro
ANTIGRIPITO INFANIL JBE 60 ML,Jarabe,Tratamiento de los síntomas de la gripe en niños,Paracetamol,Según indicación médica,Analgésico y antipirético
ATENOLOL 100 MG BLIST X 10 CAJA X 100ARGUS,Tableta,"Tratamiento de la hipertensión, angina de pecho y arritmias cardiacas",Atenolol,100 mg,"Antihipertensivo, antianginoso, antiarrítmico"
ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,Cápsula,"Tratamiento de la hipertensión arterial, angina de pecho, arritmias cardiacas y prevención de infartos",Atenolol,100 mg,Betabloqueante selectivo
AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,Suspensión oral,"Antibiótico utilizado para tratar infecciones causadas por bacterias, como infecciones respiratorias, de la piel, de los ojos, entre otras.",Azitromicina,200 mg/5 ml,"Inhibe la síntesis de proteínas en las bacterias, lo que impide su crecimiento y reproducción."
