medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ACEITE DE HIGADO X 100 SIETE MARES,Cápsulas,Suplemento alimenticio,Aceite de hígado de pescado,1 cápsula al día,Aporte de ácidos grasos omega-3 y vitaminas A y D
ACEITE DE OLIVA PREDILECTO 120 ML,Solución oral,Suplemento alimenticio,Aceite de oliva,Según indicación médica,Fuente de ácidos grasos monoinsaturados y vitamina E
ACETAMINOFEN MK 500 MGS BLIST X 10 CAJA X 100,Tabletas,Analgésico y antipirético,Acetaminofén,1 tableta cada 4-6 horas según necesidad,Inhibición de la síntesis de prostaglandinas
AGUJA 18G X 1-1/2 ROSADA,Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular
AGUJA 18G X 1-1/4 ROSADA,Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular
AGUJA 20G X 1 -1/2  AMARILLA,Aguja estéril,Para administración de medicamentos por vía intravenosa,No aplica,Según indicación médica,Facilita la inyección intravenosa
AGUJA 21G X 1 X 1/2 VERDE,Aguja estéril,Para administración de medicamentos por vía subcutánea,No aplica,Según indicación médica,Facilita la inyección subcutánea
AGUJA 22 G X 1 1/2 CAPLIN (NEGRA),Aguja estéril,Para administración de medicamentos por vía intramuscular,No aplica,Según indicación médica,Facilita la inyección intramuscular
"AGUJA 23G X 1"" AZUL (NIPRO) PED",Aguja estéril,Para administración de medicamentos en pediatría,No aplica,Según indicación médica,Facilita la inyección en niños
"AGUJA 23G X 1-1/2"" AZUL (NIPRO)",Aguja estéril,Para administración de medicamentos,No aplica,Según indicación médica,Facilita la inyección
AGUJA 24G X 1 MORADA,Aguja,Para administración de medicamentos por vía subcutánea,No aplica,24G x 1,Facilita la administración de medicamentos de forma segura
AGUJA 25G X 1 NARANJA X 100 NIPRO,Aguja,Para administración de medicamentos por vía subcutánea,No aplica,25G x 1,Facilita la administración de medicamentos de forma segura
AGUJA 25G X 1-1/2 NARANJA X 100 NIPRO,Aguja,Para administración de medicamentos por vía subcutánea,No aplica,25G x 1-1/2,Facilita la administración de medicamentos de forma segura
AGUJA 27G X 1/2,Aguja,Para administración de medicamentos por vía subcutánea,No aplica,27G x 1/2,Facilita la administración de medicamentos de forma segura
AGUJA 30G X 1/2  AMARILLA (NIPRO),Aguja,Para administración de medicamentos por vía subcutánea,No aplica,30G x 1/2,Facilita la administración de medicamentos de forma segura
ALCOHOL  ELITICO LORALVA 70% 960 ML,Solución,Desinfectante de uso tópico,Alcohol etílico al 70%,960 ml,Elimina microorganismos en la piel
ALCOHOL ETILICO VESA 70% SPRAY 120 ML,Spray,Desinfectante de uso tópico,Alcohol etílico al 70%,120 ml,Elimina microorganismos en la piel
ALEVE EXTRA FUERTE X 36 TAB,Tableta,Analgésico y antiinflamatorio,Naproxeno,36 tabletas,Alivia el dolor y reduce la inflamación
ALEVE LQUID GELS X 24,Cápsula,Analgésico y antiinflamatorio,Naproxeno,24 cápsulas,Alivia el dolor y reduce la inflamación
ALEVE MAX CAJA X 10 TAB,Tableta,Analgésico y antiinflamatorio,Naproxeno,10 tabletas,Alivia el dolor y reduce la inflamación
ALGODÓN BOLSA X 25,Bolsa,Para limpieza y curación de heridas,Algodón,Uso externo,Absorción de líquidos y secreciones
ALGODÓN ZUUM 50 GRS,Algodón,Para limpieza y curación de heridas,Algodón,Uso externo,Absorción de líquidos y secreciones
ALKA GASTRIC DISP. X 36 TAB,Tableta dispersable,Para aliviar la acidez estomacal,Hidróxido de aluminio y magnesio,Según indicación médica,Neutralización del ácido gástrico
ALKA SELTZER DISP X 60,Tableta efervescente,Para aliviar la acidez estomacal y el dolor de cabeza,"Ácido acetilsalicílico, bicarbonato de sodio y ácido cítrico",Según indicación médica,Analgésico y antiinflamatorio
ANESTENCA TUBO X 5 ML,Crema,Anestésico tópico para aliviar el dolor en la piel,Lidocaína,Uso externo,Anestésico local
ANGIOCAT # 16,Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos
ANGIOCAT # 18,Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos
ANGIOCAT # 20,Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos
ANGIOCAT # 22,Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos
ANGIOCAT # 24,Catéter,Para procedimientos de angiografía,No aplica,Según indicación médica,Visualización de vasos sanguíneos
APOSITOS PARA CAYOS HANSAPLAST  X 6,Apósitos,Para el tratamiento de callos y durezas en los pies.,No especificado,Seguir las instrucciones del empaque,Protege y alivia la presión sobre los callos y durezas.
AQUAMAR FCO 50 ML SPRAY NASAL,Spray nasal,Descongestionante nasal para aliviar la congestión y secreción nasal.,Agua de mar,Seguir las instrucciones del empaque,Ayuda a limpiar y descongestionar las fosas nasales.
ARCO PULMIN INY ADULTO PIERSAN,Inyección,Tratamiento de enfermedades respiratorias como la bronquitis.,No especificado,Seguir las indicaciones del médico,Ayuda a mejorar la función pulmonar y aliviar la tos y la dificultad para respirar.
ASPIRADOR NASAL GERBER,Aspirador nasal,Para limpiar la mucosidad nasal de los bebés.,No aplica,Seguir las instrucciones del fabricante,Ayuda a despejar las vías respiratorias de los bebés.
ASPIRINA ADULTO BLIST X 10 CAJA X 100,Tabletas,Analgésico y antipirético para adultos.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre.
ASPIRINA FORTE CAJA X 100 BLIST X 10,Tabletas,Analgésico y antipirético de mayor concentración.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre de forma más potente.
ASPIRINA NIÑOS BLIST X 10 CAJA X 100,Tabletas,Analgésico y antipirético para niños.,Ácido acetilsalicílico,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre en niños.
BALLENA AZUL 200 ml,Jarabe,Suplemento vitamínico para niños.,Vitaminas y minerales,Seguir las indicaciones del fabricante,Ayuda a complementar la dieta de los niños con vitaminas y minerales esenciales.
BALSAMICO GMS 12 GRS,Crema,Para aliviar la congestión nasal y el malestar en el pecho.,Mentol y eucalipto,Aplicar en la zona afectada según sea necesario,Proporciona alivio temporal de la congestión y el malestar respiratorio.
BAYKID DOLOR Y FIEBRE CAJA X 36 BLIST X 12 TAB,Tabletas,Analgésico y antipirético para niños.,Paracetamol,Seguir las indicaciones del médico,Alivia el dolor y reduce la fiebre en niños de forma segura.
BEBETINA  BLIST X 10 CAJA X 100 TAB,Tabletas,Analgésico y antipirético,Paracetamol,1 tableta cada 6 horas,Alivio del dolor y reducción de la fiebre
BEPHANTHENE CREMA 5% 30G QUEMADURAS,Crema,Tratamiento de quemaduras leves,Dexpantenol,Aplicar una capa fina sobre la zona afectada 2-3 veces al día,Promueve la regeneración de la piel
BEPHANTHENE POMADA 5% 30G PROTECTORA,Pomada,Protección de la piel irritada,Dexpantenol,Aplicar una capa fina sobre la piel irritada 2-3 veces al día,Hidrata y protege la piel
BICARBONATO  X 25 SOBRES DE 10 GRS VESA,Sobres,Antiácido,Bicarbonato de sodio,Disolver un sobre en agua y tomar después de las comidas,Neutraliza el ácido estomacal
BICARBONATO X 1 LIBRA DISFAVIL,Polvo,Antiácido,Bicarbonato de sodio,Seguir indicaciones del médico,Neutraliza el ácido estomacal
BICARBONATO X 16 SOBRES DE 28 GRS DISFAVIL,Sobres,Antiácido,Bicarbonato de sodio,Disolver un sobre en agua y tomar después de las comidas,Neutraliza el ácido estomacal
BOLSA DE ALGODÓN 160 BOLITAS SUPERIOR,Bolitas de algodón,Para limpieza y curación de heridas,Algodón,Seguir indicaciones del médico,Absorbe líquidos y protege la herida
CALCIO VITAMINADO AMPOLLA,Ampolla,Suplemento de calcio y vitaminas,Calcio,Seguir indicaciones del médico,Fortalece los huesos y dientes
CALLOFIN POMADA 12 GRS,Pomada,Tratamiento de callos y durezas,Ácido salicílico,Aplicar sobre el callo o dureza 1-2 veces al día,Suaviza la piel y ayuda a eliminar callosidades
CALMANTE SOBRE BOLSA X 100,Sobres,Analgésico y antipirético,Paracetamol,Seguir indicaciones del médico,Alivio del dolor y reducción de la fiebre
CANESTEN 100 MG X 18 OVULOS VAG,Óvulos vaginales,Tratamiento de infecciones vaginales por hongos,Clotrimazol,100 mg,Antifúngico
CANESTEN ORAL 150 MG X 1 CAP,Cápsula oral,Tratamiento de infecciones por hongos en la boca y garganta,Clotrimazol,150 mg,Antifúngico
CANESTEN TRIPLE ACCION 15 GRS,Crema,Tratamiento de infecciones cutáneas por hongos,Clotrimazol,15 g,Antifúngico
