medicamento,Forma Farmaceutica,Descripcion de Uso,principio_activo,dosificacion,accion_farmacologica
ABREXIL SUSP 120ML,Suspensión,Alivio de la congestión nasal y de los síntomas asociados al resfriado común,"Clorfenamina, Fenilefrina",Tomar 5 ml cada 6 horas,"Antihistamínico, Descongestionante nasal"
ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,Gotas,Alivio del dolor y la fiebre,Acetaminofén,Según indicación médica,"Analgésico, Antipirético"
ACETAMINOFEN JBE 120 ML SELEC,Jarabe,Alivio del dolor y la fiebre,Acetaminofén,Según indicación médica,"Analgésico, Antipirético"
ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,Comprimidos,Tratamiento de infecciones por herpes simple y herpes zóster,Aciclovir,Tomar 1 comprimido cada 8 horas,Antiviral
ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,Comprimidos,Tratamiento de infecciones por herpes simple y herpes zóster,Aciclovir,Tomar 1 comprimido cada 8 horas,Antiviral
ACICLOVIR 5% CREMA 10 GMS SELEC,Crema,Tratamiento tópico de infecciones por herpes labial,Aciclovir,Aplicar en la zona afectada cada 4 horas,Antiviral
ACICLOVIR 5% CREMA 15 GMS CAPLIN,Crema,Tratamiento tópico de infecciones por herpes labial,Aciclovir,Aplicar en la zona afectada cada 4 horas,Antiviral
ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,Comprimidos,Suplemento de ácido fólico en casos de deficiencia,Ácido fólico,Según indicación médica,Suplemento vitamínico
AGUA DESTILADA PARA INYE 10 ML PROMEGAL,Solución inyectable,Solución estéril para uso en procedimientos médicos,Agua destilada,Según procedimiento médico,Solución estéril
AGUA OXIGENADA 3% SOL LORALVA 120 ML,Solución,Desinfectante y antiséptico tópico,Peróxido de hidrógeno,Según indicación médica,Antiséptico
ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,Suspensión,Antiparasitario,Albendazol,200mg/5ml,Antihelmíntico
ALCOHOL 120 ML ENFERMERITA 50 %,Solución,Desinfectante,Alcohol,50%,Antiséptico
ALERMINE CORT CAJA X 10 TABS,Tabletas,Antialérgico,Desloratadina,Desloratadina 5mg + Prednisona 5mg,Antihistamínico + Corticoide
ALERMINE CORT JBE 60 ML,Jarabe,Antialérgico,Desloratadina,Desloratadina 2.5mg/5ml + Prednisona 2.5mg/5ml,Antihistamínico + Corticoide
AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,Suspensión,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 250mg/5ml + Ácido Clavulánico 62.5mg/5ml,Antibacteriano
AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,Tabletas,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 875mg + Ácido Clavulánico 125mg,Antibacteriano
AMOXICILINA 250 MG/ 120 ML SELECT,Suspensión,Antibiótico,Amoxicilina,250mg/5ml,Antibacteriano
AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,Tabletas,Antibiótico,Amoxicilina + Ácido Clavulánico,Amoxicilina 500mg + Ácido Clavulánico 125mg,Antibacteriano
ANTIGRIP SOBRE X 4 TAB DISP X 100,Tabletas,Antigripal,Paracetamol + Clorfenamina + Fenilefrina,Según indicaciones,Analgésico + Antihistamínico + Descongestionante
ANTIGRIPITO INFANIL JBE 60 ML,Jarabe,Antigripal Infantil,Paracetamol + Fenilefrina + Dextrometorfano,Según indicaciones,Analgésico + Descongestionante + Antitusivo
ANTIGRIPITO SOBRE X 4 TAB DISP X 100,Tableta,Tratamiento de los síntomas de la gripe y resfriado común,Desconocido,4 tabletas por sobre,Alivio de los síntomas de la gripe y resfriado
ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,Tableta,Reducción del colesterol y prevención de enfermedades cardiovasculares,Atorvastatina,40 mg,Inhibición de la enzima HMG-CoA reductasa para reducir la síntesis de colesterol
