No,ARTICULO,presentaciones
1,ABREXIL SUSP 120ML,{'SUSPENSION': 1}
2,ACETAMINOFEN GOTAS 100 MG FCO 30 ML SELEC,{'FRASCO': 1}
3,ACETAMINOFEN JBE 120 ML SELEC,{'JARABE': 1}
4,ACICLOVIR 400 MG BLIST X 10 CAJA X 50 SELEC,"{'BLISTER': 10, 'CAJA': 50}"
5,ACICLOVIR 400 MG BLISTER X 10 CAJA X 100 CAPLIN,"{'BLISTER': 10, 'CAJA': 100}"
6,ACICLOVIR 5% CREMA 10 GMS SELEC,{'CREMA': 1}
7,ACICLOVIR 5% CREMA 15 GMS CAPLIN,{'CREMA': 1}
8,ACIDO FOLICO 5 MG BLISTER X 20 CAJA X 100 SELEC,"{'BLISTER': 20, 'CAJA': 100}"
9,AGUA DESTILADA PARA INYE 10 ML PROMEGAL,"{'BOTE': 1}"
10,AGUA OXIGENADA 3% SOL LORALVA 120 ML,"{'BOTE':1}"
11,ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,{'SUSPENSION': 1}
12,ALCOHOL 120 ML ENFERMERITA 50 %,"{'BOTE': 1}"
13,ALERMINE CORT CAJA X 10 TABS,{'CAJA': 1}
14,ALERMINE CORT JBE 60 ML,{'JARABE': 1}
15,AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,{'SUSPENSION': 1}
16,AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,{'CAJA': 1}
17,AMOXICILINA 250 MG/ 120 ML SELECT,"{'BOTE': 1}"
18,AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,{'CAJA': 1}
19,ANTIGRIP SOBRE X 4 TAB DISP X 100 ,"{'CAJA': 4, 'TABLETA': 1}"
20,ANTIGRIPITO INFANIL JBE 60 ML,{'JARABE': 1}
21,ANTIGRIPITO SOBRE X 4 TAB DISP X 100,"{'SOBRE': 4, 'TABLETA': 1}"
22,ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,"{'BLISTER': 10, 'CAJA': 20}"
23,AZITROMICINA 500 MGS CAJA X 3 UMEDICA,{'CAJA': 1}
24,AZITROMICINA 500 MGS CAJA X 5 SELECT,{'CAJA': 1}
25,BABY OR NOT PRUEBA DE EMBARAZO DISMEV,"{'SUPOSITORIO': 1}"
26,BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,{'TUBO': 1}
27,BIFONEX  CREMA 1% 15G SELEC TUBO,"{'CREMA': 1}"
28,BIFONEX  SPRAY 1% 40 G SELEC,"{'SPRAY':1}"
29,BISALEX LAXANTE BLISTER X 10,"{'BLISTER': 10 , CAPSULA: '1'}"
30,BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,"{'CAJA': 16, 'SOBRE': 1}"
31,BROMURO DE OTILONIO CAJA X 30 BLIST X 15,"{'CAJA': 30, 'BLISTER': 15}"
32,BRONCOMAT 15 ML SOL/PARA RAESPIRAR,"{'BOTE': 1}"
33,BRONCUROL NF BLIST X 10 TABS,"{'BLISTER': 10, 'TABLETA': 1}"
34,CALAMINA LOCION 100ML CAPLIN,"{'SPRAY': 1}"
35,CEFADROXILO 250MG/60ML SUS SELEC,"{'SUSPENSION': 1}"
36,CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,"{'BLIS': 10, 'CAJA': 50 }"
37,CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,"{'CAJA':1}"
38,CIKRASEL 40G SPRAY,"{'SPRAY': 1}"
39,CIKRASEL CREMA TUBO 30GMS,"{'CREMA': 1}"
40,CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,"{'BLISTER': 10, 'CAJA': 30}"
41,CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,"{'BLISTER': 10, 'CAJA': 100}"
42,CIRUELAX 75 MG BLISTER X 10  GARDEN,"{'BLISTER': 10, 'TABLETA': 1}"
43,CIRUELAX FORTE CAJA X 24 BLIST X 12,"{'CAJA': 24, 'BLISTER': 12}"
44,CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,"{'BLISTER': 10, 'TABLETA': 1}"
45,CLORA+DEXA+NAFA GOTAS SELEC,"{'FRASCO': 1}"
46,CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,"{'FRASCO': 1}"
47,CLORANFENICOL 0.5% GOTAS 15 ML SELEC,"{'FRASCO': 1}"
48,CLORFENIRAMINA 10 MG AMP SELEC,{'AMPOLLA': 1}
49,CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,"{'BLISTER': 20, 'CAJA': 100}"
50,CLORFENIRAMINA MALEATO 2MG JBE. SELECT,{'JARABE': 1}
51,CLOROMILAN CAJA X 102,{'CAJA': 102}
52,CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,{'CREMA': 1}
53,CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,"{'TUBO': 1}"
54,CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,{'CAJA': 1}
55,CLOTRIPLEX TUBO 15 GMS ,{'TUBO': 1}
56,COFAL FORTE TARRO 60 GRS ROJO,"{'BOTE': 1}"
57,COFAL TARRO 60 GRS AZUL,"{'BOTE': 1}"
58,COLAGENO CAJA X 100 CAP GEL BLISTER X 10,"{'CAJA': 100, 'BLISTER': 10}"
59,COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,"{'BLISTER': 20, 'CAJA': 100}"
60,COLCHICINA 0.5MG BLISTER X 10 CAPLIN,{'BLISTER': 1 }
61,COLECTOR DE HECES C/PALETA 60ML,"{'BOTE': 1}"
62,COLECTOR DE ORINA 120ML,"{'BOTE': 1}"
63,COLECTOR ORINA PEDIATRICO BOLSA OPERSON,{'BOLSA': 1}
64,CROSPOVIDONA 20%  SUSP 60 ML SELEC,{'SUSPENSION': 1}
65,CYCLOFEM AMPOLLA PANAL 1 ML,{'AMPOLLA': 1}
66,DENGUINA CAJA X 100 BLIST X 10 ,"{'CAJA': 100, 'BLISTER': 10}"
67,DEXA+NEOMICINA 1 % OFTALMICA SELEC,"{'FRASCO': 1}"
68,DEXAMETASONA AMPOLLA 8 MG CAPLIN,{'AMPOLLA': 1}
69,DEXANERVISEL KIT ,{'KIT': 1}
70,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),"{'BLISTER': 20, 'TABLETA': 1}"
71,DICLOFENACO 1% GEL TUBO 20 GR SELECT,"{'TUBO': 1}"
72,DICLOFENACO 1% GEL TUBO 25 GR BALAXI,"{'TUBO': 1}"
73,DICLOFENACO ACIDO LIBRE 9MG FCO 120 ML SELE,{'FRASCO': 1}
74,DICLOFENACO AMPOLLA 75 MGS,{'AMPOLLA': 1}
75,DICLOFENACO POT 50 MGS BLIST X 10 CAJA X 100 SELEC,"{'BLISTER': 10, 'CAJA': 100}"
76,DOLOFOR 500 MGS (DIPIRONA MAGNESICA) BLIST X 10,"{'BLISTER': 10, 'TABLETA': 1}"
77,DOLONERVISEL BLIST X 10 CAJA X 100,"{'BLISTER': 10, 'CAJA': 100}"
78,DROPA GEL (KETOPROFENO 2.5%) 50G,{'GELATINA BLANDA': 1}
79,EFFCEE + ZINC  CAJA X 12 TAB. SOBRE X 4,"{'CAJA': 12, 'SOBRE': 4}"
80,ENALAPRIL 10 MGS BLISTER X 20  CAJA X 100 SELEC,"{'BLISTER': 20, 'CAJA': 100}"
81,ENALAPRIL 20 MG BLISTER X 10 CAJA X 100  CAPLIN,"{'BLISTER': 10, 'CAJA': 100}"
82,ESOMEPRAZOL 40 MG BLIS X 10  CAJA X 100 BALAXI,"{'BLIS': 10, 'CAJA': 100}"
83,EX -FLU ANTIGRIPAL GOTAS 30ML SELEC,"{'FRASCO': 1}"
84,EX -FLU TOS 120 ML SELEC,"{'JARABE': 1}"
