Nombre,COSTO,EXISTENCIA,COSTO_UNIDAD,CANTIDAD_TOTAL_UNIDADES,FECHA_COMPRA,FECHA_VENCIMIENTO
ACEITE DE RECINO 1 ONZ LASANA,6.85,3.0,6.85,3.0,2025-04-01,2026-12-01
ACETAMINOFEN  500 MG BLISTR X 10 CAJA X 100,1.418,61.0,0.142,610.0,2025-04-01,2026-03-01
ACICLOVIR 400 MG/5ML  FCO 100 ML CAPLIN,19.95,1.0,19.95,1.0,2023-11-01,2025-10-01
ACIDO ACETILSALICILICO 100 MG BLISTER X 10 CAJA X 100,0.8,11.0,0.08,110.0,2025-04-01,2025-09-01
ACIDO BORICO POLVO 1 ONZ BOLSA X 8,1.65,10.0,1.65,10.0,2024-12-01,2027-11-01
ALBENDAZOL 400 MG SUSP FCO X 10 ML CAPLIN,3.25,3.0,3.25,3.0,2025-04-01,2025-10-01
ALBENDAZOL CAJA X 2 TAB CAPLIN Y ARGUS,1.2,20.0,1.2,20.0,2025-04-01,2026-05-01
ALCOHOL  ELITICO70% 1/2 LITRO VESA,9.9,2.0,9.9,2.0,2025-03-01,2026-12-01
ALCOHOL ALCANFORADO 120 ML SANTE,4.55,3.0,4.55,3.0,2025-01-01,2026-05-01
ALOPURINOL 300 MG BLISTER X 10 CAJA X 100,3.0,17.0,0.3,170.0,2025-04-01,2026-10-01
AMLODIPINA 10 MG BLISTER X 10 CAJA X 100,2.23,22.0,0.223,220.0,2024-01-01,2025-10-01
AMLODIPINA 5 MG BLISTER X 10 CAJA X 100,1.62,29.0,0.162,290.0,2025-02-01,2027-03-01
AMOXI+CLAV 400+57MG BID 70 ML (LEVECILIN),51.95,1.0,51.95,1.0,2025-01-01,2027-03-01
AMOXICILINA 500 MG BLIST X 10 CAJA X 100 (ARGUS O CAPLIN),2.895,22.0,0.29,220.0,2025-04-01,2026-06-01
AMPICILINA 500 MG BLISTER X 10 CAJA X  100,4.63,10.0,0.463,100.0,2025-01-01,2027-05-01
ANTIGRIPITO INFANIL JBE 60 ML,16.6,1.0,16.6,1.0,2025-03-01,2027-10-01
ATENOLOL 100 MG BLIST X 10 CAJA X 100ARGUS,1.7,20.0,0.17,200.0,,
ATENOLOL 100 MG CAPLIN BLIST X 10 CAJA X 100,29.95,0.0,2.995,0.0,2025-02-01,2026-06-01
AZITROMICINA 200 MGS FCO X 30 ML CAPLIN,12.0,3.0,12.0,3.0,2025-04-01,2027-03-01
AZITROMICINA 200 MGS SUSP FCO X 15 ML SELEC,14.65,4.0,14.65,4.0,2025-04-01,2027-04-01
AZITROMICINA 500 MG CAJA X 3 TAB,8.04,12.0,8.04,12.0,2025-04-01,2027-03-01
BENZOATO DE BENCILO FCO X 120 ML SELEC,10.8,3.0,10.8,3.0,2025-04-01,2026-10-01
BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,4.4,8.0,4.4,8.0,2025-04-01,2026-06-01
CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,3.56,14.0,0.356,140.0,2025-02-01,2028-06-01
CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,5.0,15.0,0.5,150.0,2025-04-01,2028-07-01
CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,2.595,11.0,0.26,110.0,2025-02-01,2027-05-01
CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,4.595,11.0,0.459,110.0,2025-04-01,2026-12-01
CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,0.695,20.0,0.695,20.0,2024-12-01,2026-08-01
CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC,17.55,4.0,17.55,4.0,2025-02-01,2027-05-01
CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,8.315,7.0,0.831,70.0,2025-03-01,2025-12-01
CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,9.75,0.0,9.75,0.0,2025-04-01,2027-05-01
CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,8.75,2.0,8.75,2.0,2025-03-01,2027-01-01
CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40,5.44,65.0,5.44,65.0,2025-04-01,2027-10-01
COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,0.8,15.0,0.08,150.0,2025-03-01,2027-04-01
COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN,22.95,1.0,22.95,1.0,2025-01-01,2026-06-01
COQUELUCHE FCO 120 ML,23.85,1.0,23.85,1.0,2023-03-01,2026-02-01
CREMA LASSAR BB COOL 120 GRS,13.45,3.0,13.45,3.0,2025-01-01,2027-08-01
CUESIIGERMINA CAJA X 10 AMP PHARMAV,5.62,44.0,5.62,44.0,2025-03-01,2026-03-01
DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,2.78,13.0,0.278,130.0,2024-11-01,2027-03-01
DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,4.4,13.0,0.22,260.0,2025-04-01,2027-07-01
DESLORTADINA JARABE FCO X 60 ML SELEC,22.95,4.0,22.95,4.0,2024-10-01,2027-06-01
DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,4.0,7.0,0.4,70.0,2025-04-01,2027-06-01
DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),0.43,77.0,0.022,1540.0,2025-03-01,2028-01-01
DEXTROMETORFANO  JBE 120 ML SELEC,9.85,4.0,9.85,4.0,2025-04-01,2027-05-01
DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,2.875,8.0,0.288,80.0,2024-09-01,2026-06-01
DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,4.4,13.0,0.44,130.0,2025-04-01,2026-09-01
