ID,DIRECCION,CONTACTO,NUMEROS,T,T_,CONTACTO_1,CONTACTO_2,SUPPLIER
2,"5ta avenida A, 6-43 zona 4 terminal","",24956767  23017474,,t,Ninguno,Jackeline ,BENDICION Y FE
3,ZONA 6,"",NINGUNO,,t,Ninguno,FERNANDO,ROSADEL
4,14 AV. 1-44 ZONA 6,"",23820300  Y 41493429,,t,LUCIA,JEIMY,COIDE
5,KM 15.5 CALZADA ROOSEVELT,"",24115454 Y 58745259,,t,,ALDO,INFASA
6,TERMINAL ZONA 4,"",48616661,,t,CALIN,JOSE ,BENDICION
7,ZONA 6,"",36506274,,t,,BENJAMIN,TORRE FUERTE
8,COLONIA GALILEA ZONA 18,"",39018114   36561884,,t,ISAAC,TELE VENTAS,GENESIS
9,7A AV. A 17-67 COL AURORA 1 ZONA 13,"",23084353 Y 30248155,,t,,DANY,OLAM
10,PINARES ZONA 18,"",55501596,,t,MOLINA,ESTUARDO,ESTUARDO
11,5A AV. 4-12 ZONA 1,"",24293300 Y 42197089,,t,,PAOLA,AMICELCO
12,PINARES ZONA 18,"",55501596,,t,,ESTUARDO,PRECIO BAJO
13,4ta CALLE 9-45 ZONA 1,"",24909090,,t,,SECRETARIA,LAFIMARQ
14,PINARES ZONA 18,"",55501596,,t,,ESTUARDO,TIENDA
15,5TA AV 8-38 ZONA 12 5TO NIVEL,"",24714638 Y 56312089,,t,,DANIEL,ROXVEL
16,TERMINAL ZONA 4,"",51557768,,t,,LUIS,RABI
17,35 CALLE 19-02 ZONA 12,"",23284050 Y 45264689,,t,,CELULA 6 ,BOFASA
18,11 CALLE 3A Y 4TA AV ZONA 1,"",22518198,,t,,"",HOSPIGEN
19,PINARES ZONA 18,"",55501596,,t,,ESTUARDO,NO SISTEMA
20,ZONA 1,"",23367194,,t,,"",EL CISNE
21,TERMINAL ZONA 4,"",53627851 Y 23317184,,t,,"",ESQUINITA
22,TERMINAL ZONA 4,"",000,,t,,"",H & D
23,COL LANDIVAR ZONA 7,"",42153251,,t,HEIDY,ANDREA,NOE
24,CALZADA LA PAZ,"",000,,t,,"",PRICESMART
25,TERMINAL ZONA 4,"",0000,,t,,"",SILOE
26,TERMINAL ZONA 4,"",0000,,t,,"",TERMINAL
27,MERCADO ZONA 6,"",36421130 Y 59455669,,t,,WILLY Y NATY,WILLY 
28,UTATLAN,"",23134122 Y 30903118,,t,,LEONEL,ACANTO
29,NARANJO,"",53575871,,t,,ANDREA,ANDREA
30,TERMINAL ZONA 4,"",0000,,t,,"",BUEN PRECIO
31,ZACUALPILLA,"",55177792,,t,,CELIA,CELIA
32,ZONA 1,"",0000,,t,,"",CHINOS 
33,TIKAL FUTURA,"",00000,,t,,"",DONOVAN
34,TERMINAL ZONA 4,"",40869705,,t,,NOE,FE Y ALEGRIA
35,ZONA 14,"",57817776,,t,,HENRY,LA MERCED
36,ZONA 11,"",38898257,,t,,FABIOLA,LADI
37,ZONA 1,"",47170435,,t,,"",NISSI
38,ZONA 1,"",0000,,t,,"",QUIMICA UNIVERSAL 
39,TERMINAL ZONA 4,"",31036597,,t,,SAIDA,SAN FRANCISCO
40,ZONA 1,"",41530410,,t,,OSWALDO,SOLER
41,METRO NORTE ZONA 17,"",000,,t,,"",WALMART
42,ZONA 1,"",0000,,t,,"",BAYER
